epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,7.002089500427246,0.008623254485428333,0.667838454246521,0.0,0.0,0.015914566814899445,0.1132616475224495,5.6303731980733573e-05,0.018790943548083305,7.436350279022008e-05,0.0011570010101422668,1.6608445644378662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08886156231164932,2.0,0.0,0.0,0,3.0000009536743164,0.2833213210105896,0.26793543901333017,0.26793543901333017,0.4860447137940892,0.4860447137940892,4.489608024486785,4.489608024486785,4.481404167978668,4.481404167978668,0.04901865159848762,0.04901865159848762,74.24251556396484,74.24251556396484,4.481404167978668,0.04901865159848762,74.24251556396484,24.406219579835774,1,0.2,0.2
2,3.4395110607147217,0.001726138056255877,0.2516433596611023,0.0,0.0,0.12975682318210602,0.5757007002830505,0.001859111711382866,0.0011770165292546153,0.00046847123303450644,0.005505838431417942,2.3019917011260986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178940623998642,2.0,0.0,0.0,0,3.0000009536743164,0.3166525959968567,,,,,,,,,,,,,,,,3.4395110607147217,0,,
3,2.283510208129883,0.00027954153483733535,0.09687945246696472,0.0,0.0,0.24718914926052094,0.8283414244651794,0.0013081184588372707,4.068802809342742e-05,0.00024172922712750733,0.0005465516587719321,4.872241497039795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05503910779953003,2.0,0.0,0.0,0,3.0000009536743164,0.35340118408203125,,,,,,,,,,,,,,,,2.283510208129883,0,,
4,1.8982511758804321,5.465451977215707e-05,0.0385318323969841,0.0,0.0,0.3333876132965088,0.9323264956474304,0.0005441259709186852,1.3015296644880436e-06,7.738823478575796e-05,0.005475707817822695,11.994807243347168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03914683684706688,2.0,0.0,0.0,0,3.0000009536743164,0.3937302529811859,,,,,,,,,,,,,,,,1.8982511758804321,0,,
5,1.7683666944503784,1.8064836694975384e-05,0.016157161444425583,0.0,0.0,0.3894944190979004,0.9722843766212463,0.00015543561312370002,7.938711519273056e-07,2.0520787074929103e-05,0.022701401263475418,4.885830402374268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02481459639966488,2.0,0.0,0.0,0,3.0000009536743164,0.4376382827758789,,,,,,,,,,,,,,,,1.7683666944503784,0,,
6,1.7239775657653809,8.353661542059854e-06,0.007287601940333843,0.0,0.0,0.42491859197616577,0.9877542853355408,3.5668232158059254e-05,3.168466378156154e-07,5.515411430678796e-06,0.059010010212659836,21.243078231811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012909161858260632,2.0,0.0,0.0,0,3.0000009536743164,0.4847446084022522,,,,,,,,,,,,,,,,1.7239775657653809,0,,
7,1.70945405960083,4.658052148442948e-06,0.0035663265734910965,0.0,0.0,0.4472098648548126,0.9941043853759766,4.833248112845467e-06,1.1759674833911049e-07,1.596424567651411e-06,0.06406020373106003,7.873977184295654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423872567713261,2.0,0.0,0.0,0,3.0000009536743164,0.5338533520698547,,,,,,,,,,,,,,,,1.70945405960083,0,,
8,1.708712100982666,2.9120842555130366e-06,0.0018931942759081721,0.0,0.0,0.461494505405426,0.996929407119751,9.848122317634989e-08,4.609186632364981e-08,5.152720063961169e-07,0.0043946970254182816,3.4798483848571777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003028791688848287,2.0,0.0,0.0,0,3.0000009536743164,0.5821675062179565,,,,,,,,,,,,,,,,1.708712100982666,0,,
9,1.7173733711242676,1.8717934153755778e-06,0.0010846421355381608,0.0,0.0,0.4708990454673767,0.9982604384422302,1.303362296312116e-06,1.9736273060289022e-08,1.8722477079791133e-07,0.09312812983989716,21.723154067993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009554732241667807,2.0,0.0,0.0,0,3.0000009536743164,0.624483048915863,,,,,,,,,,,,,,,,1.7173733711242676,0,,
10,1.7322481870651245,1.321070158155635e-06,0.0006659342907369137,0.0,0.0,0.4772730767726898,0.9989418387413025,2.986357230838621e-06,9.303917636316328e-09,7.639945920345781e-08,0.037705980241298676,17.697467803955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005362078547477722,2.0,0.0,0.0,0,3.0000009536743164,0.6545076370239258,,,,,,,,,,,,,,,,1.7322481870651245,0,,
