mach,alpha,representation,representation_label,anchor_strategy,anchor_label,w_integral_norm,combo_label,run_dir,best_epoch,best_ci_mae,best_p_rel,best_env,best_phase,last_epoch,last_ci_mae,last_p_rel,last_env,last_phase
0.5,0.2,cartesian,Re/Im,point_max,Anchor point+max,0.5,Re/Im | Anchor point+max | w_int=0.5,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.200_cartesian_point_max_wint_0.5,1300,0.000596479512365633,0.2054141889426725,0.1882685864674177,0.040641889721946,1500,0.0005709687244017658,0.26159260072666835,0.23864235882850587,0.051556199642795196
0.5,0.2,cartesian,Re/Im,point_max,Anchor point+max,1.0,Re/Im | Anchor point+max | w_int=1,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.200_cartesian_point_max_wint_1,1200,0.0012718001376708088,0.21714913730829108,0.2110371855755724,0.02360744978064108,1500,8.611287960214042e-05,0.22903593056862673,0.21748061732573198,0.03161010293238818
0.5,0.2,cartesian,Re/Im,point_max,Anchor point+max,2.0,Re/Im | Anchor point+max | w_int=2,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.200_cartesian_point_max_wint_2,1500,0.001524046994360262,0.22389474310726168,0.20562555945883199,0.04571197575735307,1500,0.001524046994360262,0.22389474310726168,0.20562555945883199,0.04571197575735307
0.5,0.2,cartesian,Re/Im,point_max,Anchor point+max,4.0,Re/Im | Anchor point+max | w_int=4,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.200_cartesian_point_max_wint_4,1500,0.0007575908671935139,0.28031853944774215,0.2664578888311242,0.05045995294029013,1500,0.0007575908671935139,0.28031853944774215,0.2664578888311242,0.05045995294029013
0.5,0.2,cartesian,Re/Im,point_max,Anchor point+max,8.0,Re/Im | Anchor point+max | w_int=8,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.200_cartesian_point_max_wint_8,1400,0.0004154602061827717,0.25995634201577394,0.2506984073331107,0.02854484797503936,1500,0.0008381167422850666,0.26732901968298256,0.2575020401733175,0.03193180419725333
0.5,0.5,cartesian,Re/Im,point_max,Anchor point+max,0.5,Re/Im | Anchor point+max | w_int=0.5,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.500_cartesian_point_max_wint_0.5,200,0.0031765869105477296,0.47467862706943886,0.4636665859509619,0.05943228761561109,1500,0.0007032880341391601,0.757182185618887,0.7526600385851306,0.028037661480153984
0.5,0.5,cartesian,Re/Im,point_max,Anchor point+max,1.0,Re/Im | Anchor point+max | w_int=1,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.500_cartesian_point_max_wint_1,200,5.5772975621704024e-05,0.5131217531306911,0.5044958871743745,0.04725150913649609,1500,0.0011712441002707519,0.6480746573139349,0.6454875521780213,0.015490989025446131
0.5,0.5,cartesian,Re/Im,point_max,Anchor point+max,2.0,Re/Im | Anchor point+max | w_int=2,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.500_cartesian_point_max_wint_2,200,0.0014952251469473876,0.5151231032083853,0.5097663416218795,0.027570918474866143,1500,0.0009718665634970702,0.7560718203647269,0.7535823613570516,0.016714371684198762
0.5,0.5,cartesian,Re/Im,point_max,Anchor point+max,4.0,Re/Im | Anchor point+max | w_int=4,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.500_cartesian_point_max_wint_4,100,0.00261141152733374,0.25602403189381767,0.24670164559148236,0.034688605690819406,1500,0.002297563270268921,0.6026548588987898,0.5994738582507727,0.019351082582475143
0.5,0.5,cartesian,Re/Im,point_max,Anchor point+max,8.0,Re/Im | Anchor point+max | w_int=8,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.500_cartesian_point_max_wint_8,300,0.0011775323902945556,0.3750110498983784,0.3632956605527739,0.03798596378969744,1500,0.0010494122063498534,0.534086348701864,0.5288320243426852,0.025516474354638025
0.5,0.8,cartesian,Re/Im,point_max,Anchor point+max,0.5,Re/Im | Anchor point+max | w_int=0.5,results/subsonic_pinn_integral_norm_ablation_cartesian/alpha_0.800_cartesian_point_max_wint_0.5,1500,0.001162498435300162,0.8575439198658598,0.8572865088102459,0.008427792986316752,1500,0.001162498435300162,0.8575439198658598,0.8572865088102459,0.008427792986316752
