alpha,Mach,cr,ci,omega_i
0.02,0.0,0.014355529478116757,0.40319579431157965,0.008063915886231593
0.18333333333333332,0.0,0.022244572034117834,0.40483101545597,0.07421901950026116
0.3466666666666667,0.0,0.017943258532630336,0.39938223440025283,0.138452507925421
0.51,0.0,0.01055603471149266,0.40541390900393065,0.20676109359200465
0.6733333333333333,0.0,-0.011152894043076749,0.2996928539063768,0.20179318829696039
0.8366666666666667,0.0,-0.004619507074202055,0.29863860849973173,0.2498609691114422
1.0,0.0,0.0,0.0,0.0
0.02,0.16333333333333333,0.017467690550518444,0.4053371035150821,0.008106742070301643
0.18333333333333332,0.16333333333333333,0.020819954033275287,0.3976540515321727,0.07290324278089833
0.3466666666666667,0.16333333333333333,0.01643834478576308,0.4065178782683339,0.1409261977996891
0.51,0.16333333333333333,0.017559582736319967,0.41346486594148185,0.21086708163015574
0.6733333333333333,0.16333333333333333,-0.0017526838327737004,0.30557922055171244,0.20575667517148638
0.8366666666666667,0.16333333333333333,-0.004245562892920375,0.298256114725841,0.24954094932062032
1.0,0.16333333333333333,0.0,0.0,0.0
0.02,0.32666666666666666,0.020365126729159074,0.40479909749493753,0.00809598194989875
0.18333333333333332,0.32666666666666666,0.01728156051827265,0.4024694486621617,0.07378606558806297
0.3466666666666667,0.32666666666666666,0.01106975271698143,0.4104159674983825,0.14227753539943927
0.51,0.32666666666666666,-0.014498804819199223,0.4088577007130564,0.20851742736365875
0.6733333333333333,0.32666666666666666,-0.0015106901681405283,0.3051673344970058,0.20547933856131723
0.8366666666666667,0.32666666666666666,-0.0036831900307687797,0.29707240436271437,0.24855057831680435
1.0,0.32666666666666666,0.0,0.0,0.0
0.02,0.49,0.01567777318878596,0.40766231376115764,0.008153246275223153
0.18333333333333332,0.49,0.019316653577420993,0.414069588677501,0.07591275792420851
0.3466666666666667,0.49,0.012386943074932443,0.4119720454266063,0.1428169757478902
0.51,0.49,-0.01368388759656495,0.4167190009956937,0.2125266905078038
0.6733333333333333,0.49,-0.0015871830171356764,0.3213308310801514,0.21636275959396864
0.8366666666666667,0.49,-0.0048968054587705595,0.2987165370871007,0.24992616936287426
1.0,0.49,0.0,0.0,0.0
0.02,0.6533333333333333,-0.02123515070530129,0.39761896429562366,0.007952379285912473
0.18333333333333332,0.6533333333333333,-0.022566404353904036,0.3977390601529765,0.07291882769471235
0.3466666666666667,0.6533333333333333,0.0194111346712725,0.3926290331849849,0.13611139817079476
0.51,0.6533333333333333,-0.008931778377093247,0.4018507085505846,0.20494386136079815
0.6733333333333333,0.6533333333333333,-0.0045898506928115125,0.3086126006551558,0.2077991511078049
0.8366666666666667,0.6533333333333333,0.0,0.0,0.0
1.0,0.6533333333333333,0.0,0.0,0.0
0.02,0.8166666666666667,0.016146173163520797,0.41108247776484225,0.008221649555296844
0.18333333333333332,0.8166666666666667,0.018390921076936625,0.41510813767685273,0.07610315857408965
0.3466666666666667,0.8166666666666667,-0.014870446688778143,0.40092861676497726,0.13898858714519213
0.51,0.8166666666666667,-0.001001726977388138,0.41169178274203655,0.20996280919843865
0.6733333333333333,0.8166666666666667,0.0,0.0,0.0
0.8366666666666667,0.8166666666666667,0.0,0.0,0.0
1.0,0.8166666666666667,0.0,0.0,0.0
0.02,0.98,0.022064664278071126,0.41025337111500443,0.008205067422300089
0.18333333333333332,0.98,0.011154542815670987,0.41809821284559145,0.07665133902169176
0.3466666666666667,0.98,0.0,0.0,0.0
0.51,0.98,0.0,0.0,0.0
0.6733333333333333,0.98,0.0,0.0,0.0
0.8366666666666667,0.98,0.0,0.0,0.0
1.0,0.98,0.0,0.0,0.0
