alpha,Mach,current_ci,mstab_ci,ci_abs_diff,current_omega_i,mstab_omega_i,omega_abs_diff,current_success,mstab_success
0.3,0.0,0.5768959252007521,0.5769116022963369,1.5677095584809564e-05,0.17306877756022562,0.17307348068890105,4.703128675426216e-06,True,True
0.5,0.0,0.37500407518626816,0.3750126804541254,8.605267857231258e-06,0.18750203759313408,0.1875063402270627,4.302633928615629e-06,True,True
0.5,0.4,0.3057123735155678,0.3057247447521327,1.237123656488981e-05,0.1528561867577839,0.15286237237606634,6.185618282444905e-06,True,True
0.3,0.6,0.39436741187174784,0.3943624689733152,4.942898432669374e-06,0.11831022356152435,0.11830874069199454,1.4828695298063632e-06,True,True
0.2,0.8,0.3620144443443208,0.36203854303282085,2.4098688500062693e-05,0.07240288886886416,0.07240770860656418,4.819737700015314e-06,True,True
