epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,3.014096736907959,0.01532655954360962,0.03468068316578865,0.0,0.0,0.4307554364204407,0.9895092248916626,0.0010730093345046043,0.0008450505556538701,0.004085335414856672,4.272507190704346,31.609821319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011259770020842552,2.0,0.0,0.0,0,3.0000009536743164,0.184218630194664,0.08311548622005988,0.08311548622005988,0.3109048864607738,0.3109048864607738,8.86038395324961,8.86038395324961,8.835513877837107,8.835513877837107,0.16814971640743487,0.16814971640743487,74.24251556396484,74.24251556396484,8.835513877837107,0.16814971640743487,74.24251556396484,27.895795058132336,1,0.5,0.5
2,4.429744720458984,0.036184780299663544,0.22007805109024048,0.0,0.0,0.2873748242855072,0.7869142293930054,0.04351814091205597,0.016302483156323433,0.056140270084142685,0.36404258012771606,20.1491756439209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006908182054758072,2.0,0.0,0.0,0,3.0000009536743164,0.2100011110305786,,,,,,,,,,,,,,,,4.429744720458984,0,,
3,3.2298264503479004,0.006278947927057743,0.0915696769952774,0.0,0.0,0.3089771270751953,0.8937566876411438,0.01257442869246006,0.010065254755318165,0.00593824265524745,0.9320988655090332,25.22692108154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032870720606297255,2.0,0.0,0.0,0,3.0000009536743164,0.23843473196029663,,,,,,,,,,,,,,,,3.2298264503479004,0,,
4,2.9785947799682617,0.007271737325936556,0.04143267124891281,0.0,0.0,0.4011707603931427,0.9164407849311829,0.030172031372785568,0.0005574694368988276,0.0,0.12859433889389038,9.596147537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008351719588972628,2.0,0.0,0.0,0,3.0000009536743164,0.26836392283439636,,,,,,,,,,,,,,,,2.9785947799682617,0,,
5,3.0817506313323975,0.01926775835454464,0.04365275055170059,0.0,0.0,0.4282946288585663,0.9830103516578674,0.004372668918222189,0.0014944099821150303,0.005767154973000288,0.5621789693832397,38.37717819213867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0605890565784648e-06,2.0,0.0,0.0,0,3.0000009536743164,0.29598289728164673,,,,,,,,,,,,,,,,3.0817506313323975,0,,
6,3.2779452800750732,0.022403869777917862,0.060000162571668625,0.0,0.0,0.44708573818206787,0.9840731620788574,0.0037808178458362818,0.0006279828958213329,0.013249515555799007,1.6196871995925903,128.86045837402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008207533974200487,2.0,0.0,0.0,0,3.0000009536743164,0.3141741454601288,,,,,,,,,,,,,,,,3.2779452800750732,0,,
7,3.1505675315856934,0.015297708101570606,0.0468117818236351,0.0,0.0,0.4497230350971222,0.9685612916946411,0.012764141894876957,0.0004953874740749598,0.004564665257930756,0.04893540218472481,34.410125732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021939894650131464,2.0,0.0,0.0,0,3.0000009536743164,0.31954115629196167,,,,,,,,,,,,,,,,3.1505675315856934,0,,
8,2.8213343620300293,0.005503907799720764,0.017959849908947945,0.0,0.0,0.4322471618652344,0.9771968126296997,0.007004083134233952,0.0002322144719073549,0.00018609370454214513,0.270719438791275,25.45766830444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027255762834101915,2.0,0.0,0.0,0,3.0000009536743164,0.3148680329322815,,,,,,,,,,,,,,,,2.8213343620300293,0,,
9,2.6616294384002686,0.0003736924263648689,0.009000993333756924,0.0,0.0,0.4041929543018341,0.9800187349319458,9.997118468163535e-05,4.3522172745724674e-06,0.0,0.005761672277003527,4.610744476318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002259477274492383,2.0,0.0,0.0,0,3.0000009536743164,0.30413398146629333,,,,,,,,,,,,,,,,2.6616294384002686,0,,
10,2.7565603256225586,0.0007597791263833642,0.028014399111270905,0.0,0.0,0.36658430099487305,0.9550347924232483,0.0032505460549145937,0.0007621362456120551,0.0001209795955219306,0.09593375772237778,3.881052017211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001354231033474207,2.0,0.0,0.0,0,3.0000009536743164,0.29053670167922974,,,,,,,,,,,,,,,,2.7565603256225586,0,,
