epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,8.45755386352539,0.35871583223342896,7.918312072753906,0.6741793155670166,0.058825958520174026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03610523045063019,5.0,0.2,0.2,0,3.0000009536743164,0.20397239923477173,0.15513444532121562,0.42608418501916134,0.7845088837879993,11.31864209910137,0.6398376047027562,1.0749618785312447,0.44915893626188474,0.8326887994899526,0.4041561823772942,0.5865308037788155,2.1477299145289828,14.66289682388306,0.44915893626188474,0.4041561823772942,2.1477299145289828,2.7395139592949334,8,0.05,0.10999999999999999
2,5.941507339477539,1.2030444145202637,4.247928619384766,0.1731829196214676,0.12580496072769165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09810687601566315,5.0,0.2,0.2,0,3.0000009536743164,0.20758940279483795,,,,,,,,,,,,,,,,5.941507339477539,0,,
3,2.171682596206665,0.3449801206588745,1.730745553970337,0.09680367261171341,0.03813544660806656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019191395491361618,5.0,0.2,0.2,0,3.0000009536743164,0.21095943450927734,,,,,,,,,,,,,,,,2.171682596206665,0,,
4,3.59275221824646,0.2506961226463318,3.2099461555480957,0.20919884741306305,0.05589788779616356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026421979069709778,5.0,0.2,0.2,0,3.0000009536743164,0.21447089314460754,,,,,,,,,,,,,,,,3.59275221824646,0,,
5,3.6463191509246826,0.2153194695711136,3.3603248596191406,0.21742160618305206,0.059305448085069656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014134989120066166,5.0,0.2,0.2,0,3.0000009536743164,0.21799401938915253,,,,,,,,,,,,,,,,3.6463191509246826,0,,
6,2.272555351257324,0.11646251380443573,2.110525608062744,0.13348856568336487,0.03878200799226761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00911345612257719,5.0,0.2,0.2,0,3.0000009536743164,0.22154569625854492,,,,,,,,,,,,,,,,2.272555351257324,0,,
7,1.4929468631744385,0.24560749530792236,1.1815807819366455,0.0777631402015686,0.020197469741106033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013151710852980614,5.0,0.2,0.2,0,3.0000009536743164,0.22537483274936676,,,,,,,,,,,,,,,,1.4929468631744385,0,,
8,1.181881308555603,0.38037747144699097,0.7542862296104431,0.06519967317581177,0.0051144747994840145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009443518705666065,5.0,0.2,0.2,0,3.0000009536743164,0.22942900657653809,,,,,,,,,,,,,,,,1.181881308555603,0,,
9,1.0816656351089478,0.2164396345615387,0.826740026473999,0.07775799930095673,0.002458000322803855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007697203196585178,5.0,0.2,0.2,0,3.0000009536743164,0.23380210995674133,,,,,,,,,,,,,,,,1.0816656351089478,0,,
10,1.4471083879470825,0.13529177010059357,1.298845887184143,0.10176517069339752,0.014059709385037422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002594136167317629,5.0,0.2,0.2,0,3.0000009536743164,0.23806311190128326,,,,,,,,,,,,,,,,1.4471083879470825,0,,
