alpha,Mach,ci,omega_i,source,primary_ci,primary_omega_i,primary_mismatch,primary_success,secondary_ci,secondary_omega_i,secondary_stage1_mismatch,secondary_stage2_mismatch
0.02,0.0,0.9649306042437953,0.019298612084875905,primary,0.9649306042437953,0.019298612084875905,2.3711140341442505e-07,True,,,,
0.09,0.0,0.8515788008550877,0.0766420920769579,primary,0.8515788008550877,0.0766420920769579,6.922820491011422e-07,True,,,,
0.15999999999999998,0.0,0.7505592220759084,0.12008947553214533,primary,0.7505592220759084,0.12008947553214533,2.057444089764715e-06,True,,,,
0.22999999999999995,0.0,0.6595692639822727,0.1517009307159227,primary,0.6595692639822727,0.1517009307159227,1.6465112699978052e-06,True,,,,
0.3,0.0,0.5769084932481647,0.1730725479744494,primary,0.5769084932481647,0.1730725479744494,3.255552429149919e-06,True,,,,
0.37,0.0,0.5011149748590683,0.18541254069785526,primary,0.5011149748590683,0.18541254069785526,2.6318117806534494e-06,True,,,,
0.43999999999999995,0.0,0.4310990371207175,0.1896835763331157,primary,0.4310990371207175,0.1896835763331157,3.6004610106873947e-07,True,,,,
0.5099999999999999,0.0,0.365996265592167,0.18665809545200515,primary,0.365996265592167,0.18665809545200515,1.2213187235033535e-06,True,,,,
0.58,0.0,0.3050697418259626,0.17694045025905827,primary,0.3050697418259626,0.17694045025905827,3.395467580564332e-06,True,,,,
0.6499999999999999,0.0,0.24769103814971763,0.16099917479731643,primary,0.24769103814971763,0.16099917479731643,9.838777957097908e-07,True,,,,
0.72,0.0,0.19342099083578657,0.1392631134017663,primary,0.19342099083578657,0.1392631134017663,9.177112036008045e-07,True,,,,
0.7899999999999999,0.0,0.14183841656904606,0.11205234908954638,primary,0.14183841656904606,0.11205234908954638,1.6861101615438245e-07,True,,,,
0.8599999999999999,0.0,0.09258170002587389,0.07962026202225153,secondary,0.09257634031731544,0.07961565267289127,6.530715384121116e-07,True,0.09258170002587389,0.07962026202225153,5.9882737949001785e-05,5.539775706914555e-28
0.9299999999999999,0.0,0.045402229713991805,0.04222407363401238,secondary,0.0453813138234774,0.04220462185583398,1.3998193033838355e-07,True,0.045402229713991805,0.04222407363401238,6.361535859662873e-05,6.634320212908709e-28
1.0,0.0,0.0,0.0,stable,0.0,0.0,0.0,True,,,,
0.02,0.06999999999999999,0.9602584955873333,0.01920516991174667,primary,0.9602584955873333,0.01920516991174667,2.814904145406619e-07,True,,,,
0.09,0.06999999999999999,0.8474875635759124,0.07627388072183211,primary,0.8474875635759124,0.07627388072183211,1.6676902476475686e-06,True,,,,
0.15999999999999998,0.06999999999999999,0.7469764770330446,0.11951623632528711,primary,0.7469764770330446,0.11951623632528711,5.155261708608737e-07,True,,,,
0.22999999999999995,0.06999999999999999,0.6564276553678214,0.1509783607345989,primary,0.6564276553678214,0.1509783607345989,1.4901101689675234e-06,True,,,,
0.3,0.06999999999999999,0.5740734604265086,0.1722220381279526,primary,0.5740734604265086,0.1722220381279526,7.24847244558055e-07,True,,,,
0.37,0.06999999999999999,0.49853851934669624,0.1844592521582776,primary,0.49853851934669624,0.1844592521582776,3.469436705002757e-06,True,,,,
0.43999999999999995,0.06999999999999999,0.4287822878906653,0.1886642066718927,primary,0.4287822878906653,0.1886642066718927,3.3562194911122833e-06,True,,,,
0.5099999999999999,0.06999999999999999,0.36382612441459333,0.18555132345144257,primary,0.36382612441459333,0.18555132345144257,3.714220036326113e-06,True,,,,
0.58,0.06999999999999999,0.30306178239471704,0.17577583378893588,primary,0.30306178239471704,0.17577583378893588,2.1983764747421364e-06,True,,,,
0.6499999999999999,0.06999999999999999,0.24582191501400663,0.1597842447591043,primary,0.24582191501400663,0.1597842447591043,1.4293224815469484e-06,True,,,,
0.72,0.06999999999999999,0.1916482583113496,0.1379867459841717,primary,0.1916482583113496,0.1379867459841717,7.642212809903792e-07,True,,,,
0.7899999999999999,0.06999999999999999,0.14013040900902268,0.1107030231171279,primary,0.14013040900902268,0.1107030231171279,2.118884486531497e-07,True,,,,
0.8599999999999999,0.06999999999999999,0.0909453880330697,0.07821303370843993,secondary,0.09093854402141675,0.0782071478584184,3.1298020317788167e-07,True,0.0909453880330697,0.07821303370843993,4.716032158380077e-06,1.6585800532271773e-28
0.9299999999999999,0.06999999999999999,0.04380041638845841,0.04073438724126632,secondary,0.04378151264272993,0.04071680675773884,1.537962944567206e-07,True,0.04380041638845841,0.04073438724126632,3.325134525930055e-05,1.050959940980693e-27
1.0,0.06999999999999999,0.0,0.0,stable,0.0,0.0,0.0,True,,,,
0.02,0.13999999999999999,0.9466454918758707,0.018932909837517414,primary,0.9466454918758707,0.018932909837517414,2.5544594602793826e-07,True,,,,
0.09,0.13999999999999999,0.8355930658429563,0.07520337592586607,primary,0.8355930658429563,0.07520337592586607,1.5977331087662847e-06,True,,,,
0.15999999999999998,0.13999999999999999,0.7364665322399737,0.11783464515839577,primary,0.7364665322399737,0.11783464515839577,2.0659824581876e-07,True,,,,
0.22999999999999995,0.13999999999999999,0.6470956652779009,0.14883200301391716,primary,0.6470956652779009,0.14883200301391716,3.6109691334330375e-06,True,,,,
0.3,0.13999999999999999,0.5656968600570731,0.1697090580171219,primary,0.5656968600570731,0.1697090580171219,2.254070174300543e-06,True,,,,
0.37,0.13999999999999999,0.49094892556353303,0.1816511024585072,primary,0.49094892556353303,0.1816511024585072,1.576751743670446e-06,True,,,,
0.43999999999999995,0.13999999999999999,0.42180654597722395,0.18559488022997853,primary,0.42180654597722395,0.18559488022997853,2.51923580026547e-06,True,,,,
0.5099999999999999,0.13999999999999999,0.3573980424098559,0.18227300162902646,primary,0.3573980424098559,0.18227300162902646,4.151531223435881e-06,True,,,,
0.58,0.13999999999999999,0.29705429864302135,0.17229149321295237,primary,0.29705429864302135,0.17229149321295237,4.69353450698734e-07,True,,,,
0.6499999999999999,0.13999999999999999,0.2401603355816476,0.1561042181280709,primary,0.2401603355816476,0.1561042181280709,1.5824142278221542e-06,True,,,,
0.72,0.13999999999999999,0.18629674499436044,0.13413365639593952,primary,0.18629674499436044,0.13413365639593952,1.781726428052438e-06,True,,,,
0.7899999999999999,0.13999999999999999,0.13499865501554012,0.10664893746227669,primary,0.13499865501554012,0.10664893746227669,1.9315414623299887e-07,True,,,,
0.8599999999999999,0.13999999999999999,0.08598387558249466,0.07394613300094541,secondary,0.08601156648405285,0.07396994717628544,5.994934319402713e-07,True,0.08598387558249466,0.07394613300094541,6.546376625738657e-05,5.539775706914555e-28
0.9299999999999999,0.13999999999999999,0.03900082833378181,0.03627077035041708,secondary,0.03898242266861322,0.0362536530818103,1.725613074166684e-08,True,0.03900082833378181,0.03627077035041708,0.00011705568729279896,9.663546088957395e-28
1.0,0.13999999999999999,0.0,0.0,stable,0.0,0.0,0.0,True,,,,
0.02,0.20999999999999996,0.9250304716516716,0.018500609433033433,primary,0.9250304716516716,0.018500609433033433,1.1114094693349952e-07,True,,,,
0.09,0.20999999999999996,0.8164838181561901,0.07348354363405711,primary,0.8164838181561901,0.07348354363405711,7.286359636963884e-07,True,,,,
0.15999999999999998,0.20999999999999996,0.7195206389143353,0.11512330222629362,primary,0.7195206389143353,0.11512330222629362,3.149781130371357e-07,True,,,,
0.22999999999999995,0.20999999999999996,0.631922622087932,0.14534220308022433,primary,0.631922622087932,0.14534220308022433,2.7010775843130247e-06,True,,,,
0.3,0.20999999999999996,0.5519836420902591,0.16559509262707772,primary,0.5519836420902591,0.16559509262707772,2.765779810445443e-06,True,,,,
0.37,0.20999999999999996,0.4784802080803676,0.17703767698973602,primary,0.4784802080803676,0.17703767698973602,1.0313726358200659e-06,True,,,,
0.43999999999999995,0.20999999999999996,0.4103555245312873,0.1805564307937664,primary,0.4103555245312873,0.1805564307937664,7.565992724348214e-07,True,,,,
