alpha,ci_reference,omega_i_reference,ci_pinn,ci_abs_err
0.05,0.7373396102339298,0.03686698051169649,0.7279035,0.00943612493577306
0.07,0.7098943759999781,0.04969260631999847,0.70352423,0.0063701440892725
0.09,0.6833774401074406,0.061503969609669654,0.67936623,0.00401120914277997
0.10999999999999999,0.6577194676380136,0.07234914144018148,0.6554548,0.002264653203962075
0.13,0.6328522055255654,0.08227078671832351,0.63181436,0.001037844906974117
0.14999999999999997,0.608697653154457,0.09130464797316853,0.60846955,0.0002281073132399669
0.16999999999999998,0.5852604890303206,0.09949428313515449,0.58544415,0.00018366332487351755
0.19,0.5624209113143993,0.10685997314973587,0.5627612,0.000340276239006454
0.20999999999999996,0.5401987927988501,0.1134417464877585,0.54044276,0.00024397196021364032
0.22999999999999998,0.5185355820762613,0.11926318387754008,0.518509,2.6611338803994578e-05
0.24999999999999994,0.4974042726751259,0.12435106816878144,0.49697915,0.00042512547930984024
0.26999999999999996,0.47677993496620047,0.1287305824408741,0.4758701,0.0009098323222337945
0.29,0.45658049911631576,0.13240834474373156,0.45519692,0.0013835820592784098
0.30999999999999994,0.43687513517510707,0.13543129190428316,0.43497205,0.0019030873693209327
0.32999999999999996,0.41753696106719046,0.13778719715217283,0.4152054,0.002331571805944732
0.3499999999999999,0.3986020173908847,0.1395107060868096,0.39590392,0.0026981022240298302
0.36999999999999994,0.3800696092603615,0.14062575542633374,0.37707105,0.0029985564706733747
0.38999999999999996,0.3618606132085333,0.14112563915132798,0.35870704,0.0031535726602087144
0.4099999999999999,0.34401621833896645,0.14104664951897622,0.34080797,0.0032082440004349566
0.42999999999999994,0.3264621938395461,0.1403787433510048,0.32336566,0.0030965353178938892
0.4499999999999999,0.30923295436726633,0.13915482946526983,0.30636716,0.002865795477495825
0.4699999999999999,0.2922576520110274,0.13736109644518285,0.28979388,0.0024637732173109494
0.48999999999999994,0.275582164720869,0.1350352607132258,0.27362132,0.0019608439963816893
0.5099999999999999,0.25917454886415153,0.13217901992071726,0.2578178,0.001356744050766523
0.5299999999999999,0.24301183612098798,0.12879627314412362,0.24234346,0.0006683805679331689
0.5499999999999999,0.22707558782842732,0.12489157330563501,0.22714922,7.363049241923547e-05
0.57,0.21134946801456672,0.12046919676830302,0.21217583,0.0008263631841256003
0.59,0.19586623769491326,0.11556108023999882,0.19735265,0.001486410086458806
0.61,0.18058759336240346,0.1101584319510661,0.18259898,0.002011384918617659
0.63,0.16549907130794866,0.10426441492400766,0.16782616,0.0023270894805874076
0.6499999999999999,0.15063456017045396,0.09791246411079506,0.1529454,0.002310839113908836
0.6699999999999999,0.13590302813466634,0.09105502885022644,0.1378816,0.0019785786825791407
0.69,0.12137835079592928,0.0837510620491912,0.12259826,0.0012199098451687457
0.71,0.10703779761928515,0.07599683630969245,0.10713351,9.571010929150525e-05
0.73,0.09280776600299877,0.0677496691821891,0.091645904,0.0011618621176342353
0.7499999999999999,0.07876988829586368,0.05907741622189775,0.076454565,0.002315323366855193
0.7699999999999999,0.06485044486393443,0.04993484254522951,0.062043365,0.002807079772848997
0.7899999999999999,0.05111849066657871,0.04038360762659718,0.048992198,0.0021262927059635534
0.8099999999999999,0.03747584053835308,0.030355430836065993,0.037823953,0.0003481121961172867
0.83,0.024007657041622426,0.019926355344546613,0.02882732,0.004819663742707942
0.85,0.010634805770227514,0.009039584904693388,0.021968605,0.011333799226572908
