epoch,loss,loss_pde,loss_bc,loss_norm,loss_phase,loss_ci_supervision,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_high_alpha_ci_mae,audit_high_alpha_ci_max_abs,audit_high_alpha_ci_mean_rel,audit_high_alpha_ci_max_rel
1,2.5566301345825195,0.03529830649495125,0.1388922482728958,0.7189896702766418,0.17811213433742523,0.04706154018640518,3.0000009536743164,0.19707103073596954,0.21261441273041987,0.5573152545839817,1.7093253333676812,19.29259265051797,0.1475664070814369,0.20517316856830398,4.484999769699304,19.29259265051797
2,1.0445116758346558,0.007709551136940718,0.024726279079914093,0.6067377924919128,0.0033779479563236237,0.03588471561670303,3.0000009536743164,0.1942344605922699,,,,,,,,
3,1.545461654663086,0.023627139627933502,0.07057660073041916,0.5832194089889526,0.0526433102786541,0.036041177809238434,3.0000009536743164,0.19152696430683136,,,,,,,,
4,1.48703134059906,0.017582204192876816,0.06130281463265419,0.5714887380599976,0.12569914758205414,0.031846627593040466,3.0000009536743164,0.18911974132061005,,,,,,,,
5,0.9209083318710327,0.009656018577516079,0.030136413872241974,0.431641548871994,0.024498112499713898,0.03074970282614231,3.0000009536743164,0.18717385828495026,,,,,,,,
6,0.7126879692077637,0.006696322467178106,0.01960737816989422,0.36424940824508667,0.0012554577551782131,0.028882598504424095,3.0000009536743164,0.18611329793930054,,,,,,,,
7,0.7977698445320129,0.0076879216358065605,0.027952302247285843,0.3851897120475769,0.003727521514520049,0.02432834357023239,3.0000009536743164,0.18573449552059174,,,,,,,,
8,0.9918026328086853,0.00957092922180891,0.034685276448726654,0.5080152153968811,0.015923576429486275,0.022288033738732338,3.0000009536743164,0.18606622517108917,,,,,,,,
9,0.8917965292930603,0.009933164343237877,0.03670446574687958,0.42865458130836487,0.0003865529433824122,0.017155516892671585,3.0000009536743164,0.18682421743869781,,,,,,,,
10,0.8784863948822021,0.0086192786693573,0.0345577672123909,0.4272584021091461,0.0005851217429153621,0.019289176911115646,3.0000009536743164,0.18814486265182495,,,,,,,,
11,0.7060306668281555,0.0062312292866408825,0.028292065486311913,0.3437584340572357,0.002253686310723424,0.014173328876495361,3.0000009536743164,0.18989640474319458,,,,,,,,
12,0.8013822436332703,0.004280244931578636,0.022293519228696823,0.49057596921920776,0.002973256167024374,0.016123510897159576,3.0000009536743164,0.19210338592529297,,,,,,,,
13,0.5378447771072388,0.002157936105504632,0.010550285689532757,0.3680046498775482,0.0004714870301540941,0.012341570109128952,3.0000009536743164,0.194657564163208,,,,,,,,
14,0.7365173101425171,0.0013477631146088243,0.013616969808936119,0.5427249670028687,0.00032428355189040303,0.01119011640548706,3.0000009536743164,0.19756314158439636,,,,,,,,
15,0.5093178153038025,0.0014969002222642303,0.009695980697870255,0.36029529571533203,0.004351877141743898,0.00924278236925602,3.0000009536743164,0.20078106224536896,,,,,,,,
16,0.5890271663665771,0.002861464163288474,0.015131916850805283,0.398868203163147,0.0001466566463932395,0.0071663400158286095,3.0000009536743164,0.2042994648218155,,,,,,,,
17,0.6460200548171997,0.0044525689445436,0.02124657854437828,0.3773200511932373,0.018854202702641487,0.006585489958524704,3.0000009536743164,0.20813365280628204,,,,,,,,
18,0.6355656981468201,0.004682600498199463,0.020357217639684677,0.4042157828807831,0.0033758131321519613,0.0039438651874661446,3.0000009536743164,0.2121591567993164,,,,,,,,
19,0.6153859496116638,0.00401453860104084,0.019574066624045372,0.395679235458374,0.0005883461562916636,0.0038726378697901964,3.0000009536743164,0.21647170186042786,,,,,,,,
20,0.5144118666648865,0.0027271825820207596,0.013388208113610744,0.3539580702781677,0.009979977272450924,0.002772911451756954,3.0000009536743164,0.2210603952407837,,,,,,,,
21,0.5750252604484558,0.0011228680377826095,0.010052266530692577,0.461568683385849,0.0019950259011238813,0.001963202375918627,3.0000009536743164,0.22581715881824493,,,,,,,,
