level,n_points,mae_omega,median_distance,p90_distance
0.0,74,0.009129520372500663,,
0.05,104,0.0017058958248325196,0.0024376871338155377,0.006112991234403096
0.1,97,0.0009751165696150684,0.0018109661553417625,0.00587878206405393
0.15,48,0.0011392741810994586,0.004180368800966646,0.008052687371142788
0.175,28,0.0008481165363617506,0.005190207035440646,0.009566130601493065
