alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.02,0.0,0.9649500659068188,0.019299001318136375,True,primary,0.9649500659068188,0.019299001318136375,True,1.509149551857567e-07,,,,,,,
0.09,0.0,0.8515629767120177,0.0766406679040816,True,primary,0.8515629767120177,0.0766406679040816,True,6.935309972361595e-07,,,,,,,
0.15999999999999998,0.0,0.7505364177237347,0.12008582683579754,True,primary,0.7505364177237347,0.12008582683579754,True,1.3335603211254987e-06,,,,,,,
0.22999999999999995,0.0,0.6595525547897498,0.15169708760164244,True,primary,0.6595525547897498,0.15169708760164244,True,4.97842209120497e-06,,,,,,,
0.3,0.0,0.5768959252007521,0.17306877756022562,True,primary,0.5768959252007521,0.17306877756022562,True,2.836942618340138e-07,,,,,,,
0.37,0.0,0.5011155110680147,0.18541273909516542,True,primary,0.5011155110680147,0.18541273909516542,True,2.7698778214263475e-06,,,,,,,
0.43999999999999995,0.0,0.43110890041647887,0.18968791618325068,True,primary,0.43110890041647887,0.18968791618325068,True,2.21757796462288e-06,,,,,,,
0.5099999999999999,0.0,0.36599742499401694,0.1866586867469486,True,primary,0.36599742499401694,0.1866586867469486,True,1.509207427262231e-06,,,,,,,
0.58,0.0,0.30505118062436176,0.1769296847621298,True,primary,0.30505118062436176,0.1769296847621298,True,6.912928421018427e-07,,,,,,,
0.6499999999999999,0.0,0.2477046929955636,0.16100805044711633,True,primary,0.2477046929955636,0.16100805044711633,True,1.477265827215437e-06,,,,,,,
0.72,0.0,0.193424241699753,0.13926545402382215,True,primary,0.193424241699753,0.13926545402382215,True,4.846739749212597e-07,,,,,,,
0.7899999999999999,0.0,0.14185540730494364,0.11206577177090547,True,primary,0.14185540730494364,0.11206577177090547,True,1.2752742357610702e-06,,,,,,,
0.8599999999999999,0.0,0.09258170002587389,0.07962026202225153,True,secondary_neutral,0.09259277429319654,0.07962978589214902,True,3.8535182650747957e-08,0.09258170002587389,0.07962026202225153,True,5.9882737949001785e-05,5.539775706914555e-28,1.1074267322649933e-05,9.523869897484771e-06
0.9299999999999999,0.0,0.045402229713991805,0.04222407363401238,True,secondary_neutral,0.0453813138234774,0.04220462185583398,True,1.3998193033838355e-07,0.045402229713991805,0.04222407363401238,True,6.361535859662873e-05,6.634320212908709e-28,2.0915890514408564e-05,1.945177817840038e-05
1.0,0.0,0.0010442295105619946,0.0010442295105619946,True,secondary_neutral,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,True,0.009090048002252419,1.4115009291029042e-25,0.0010442295105619946,0.0010442295105619946
0.02,0.06999999999999999,0.9602875193585173,0.019205750387170345,True,primary,0.9602875193585173,0.019205750387170345,True,2.996536982526922e-07,,,,,,,
0.09,0.06999999999999999,0.847511179262698,0.07627600613364283,True,primary,0.847511179262698,0.07627600613364283,True,4.055098653237693e-07,,,,,,,
0.15999999999999998,0.06999999999999999,0.7469759758751829,0.11951615614002925,True,primary,0.7469759758751829,0.11951615614002925,True,5.901021927937978e-07,,,,,,,
