level,n_points,mae_omega,rmse_omega,median_omega,median_distance,p90_distance
0.0,74,0.008488174380329493,0.009114572338183776,0.00845389261903814,,
0.05,104,0.0017209663091916755,0.0021463010718700275,0.001449062306740908,0.0024874870631566882,0.006108101259752808
0.1,97,0.0009775719654504177,0.0012122749197212201,0.0008482067664504211,0.0018191953064533313,0.00588805199988236
0.15,48,0.0011395462753827895,0.0013660348241987263,0.0010742847753103524,0.004186922135807526,0.008050095094162896
0.175,28,0.0008460295437363903,0.0009730795109441932,0.0009179894992191323,0.005198585351496635,0.009526256768689024
