alpha,Mach,ci,omega_i,mismatch,domain_size,success
0.02,0.0,0.9649464605574145,0.01929892921114829,7.903090800043993e-08,80.0,True
0.09,0.0,0.8515677329311452,0.07664109596380306,2.7700477983096106e-07,80.0,True
0.15999999999999998,0.0,0.7505239903094348,0.12008383844950955,3.181440553085002e-06,50.00000000000001,True
0.22999999999999995,0.0,0.6595804787226354,0.1517035101062061,5.898704997335524e-07,34.78260869565218,True
0.3,0.0,0.5768978415415906,0.17306935246247718,7.368250272699051e-07,26.666666666666668,True
0.37,0.0,0.5011012268544979,0.1854074539361642,9.079658220721362e-07,21.62162162162162,True
0.43999999999999995,0.0,0.4311007455323539,0.18968432803423568,8.640913315774434e-08,18.181818181818183,True
0.5099999999999999,0.0,0.36601896035324444,0.18666966978015462,6.857140825781462e-06,15.686274509803924,True
0.58,0.0,0.30504628348105184,0.17692684441901005,1.7693913764681157e-06,13.793103448275863,True
0.6499999999999999,0.0,0.2476853177958865,0.16099545656732622,2.0147653725962993e-06,12.30769230769231,True
0.72,0.0,0.19343975563099383,0.13927662405431554,1.5822674487801086e-06,11.11111111111111,True
0.7899999999999999,0.0,0.14182684445021287,0.11204320711566816,1.1516313873204814e-06,10.126582278481013,True
0.8599999999999999,0.0,0.09260456495504701,0.07963992586134042,5.350340595757647e-07,9.30232558139535,True
0.9299999999999999,0.0,0.0453922765452934,0.04221481718712286,1.3467541183382475e-08,8.60215053763441,True
1.0,0.0,0.0,0.0,0.0,8.0,True
0.02,0.06999999999999999,0.9602937707559235,0.01920587541511847,4.2482824039083e-07,80.0,True
0.09,0.06999999999999999,0.8475085389001231,0.07627576850101107,1.7371068926526345e-07,80.0,True
0.15999999999999998,0.06999999999999999,0.7469762627841384,0.11951620204546214,5.474080143176921e-07,50.05389962559006,True
0.22999999999999995,0.06999999999999999,0.6564243561843479,0.15097760192239998,8.327798812907128e-07,34.83102699990452,True
0.3,0.06999999999999999,0.574074327722824,0.17222229831684718,9.294111931526516e-07,26.710470504321073,True
0.37,0.06999999999999999,0.49855713403349905,0.18446613959239463,1.3033193426957579e-06,21.661472823583818,True
0.43999999999999995,0.06999999999999999,0.428767104544349,0.18865752599951355,5.884269550227028e-07,18.218243224747617,True
0.5099999999999999,0.06999999999999999,0.363839036213846,0.18555790846906142,5.335632280757674e-07,15.719699881382896,True
0.58,0.06999999999999999,0.3030327868978713,0.17575901640076533,4.120610643140038e-06,13.82388080302403,True
0.6499999999999999,0.06999999999999999,0.24580921984627982,0.15977599290008185,8.291759424961832e-07,12.336113367165673,True
0.72,0.06999999999999999,0.19165102783459853,0.13798874004091094,1.126970958505169e-06,11.137421694451541,True
