alpha,mach,ci_reference,ci_pinn,ci_abs_err
0.85,0.5,0.010634805770227514,0.043322854,0.03268804797380248
0.8366666666666667,0.5,0.019550039951157432,0.047552623,0.028002582903552193
0.85,0.47500000000000003,0.01954012014236455,0.046199854,0.026659734320974304
0.8233333333333334,0.5,0.028497051540532593,0.052232545,0.0237354933286519
0.8366666666666667,0.47500000000000003,0.028479797578899832,0.050745443,0.022265644930751352
0.85,0.45,0.028445434514501603,0.049369555,0.020924120452186553
0.8099999999999999,0.5,0.03747584053835308,0.057376493,0.019900652230172997
0.8233333333333334,0.47500000000000003,0.03745594550822878,0.05576434,0.018308394356025215
0.8366666666666667,0.45,0.037409555206642256,0.05424596,0.016836404760732546
0.85,0.42500000000000004,0.03619681561294546,0.052811496,0.0166146803468133
0.7966666666666666,0.5,0.04657094062383681,0.062989935,0.01641899465505571
0.8099999999999999,0.47500000000000003,0.04646856393035147,0.061267573,0.014799009456079273
0.7833333333333333,0.5,0.0556958087323639,0.06906949,0.013373681104328912
0.8233333333333334,0.45,0.046414839475924986,0.059616428,0.013201588392679674
0.8366666666666667,0.42500000000000004,0.04518318492606563,0.058026697,0.012843512560573395
0.85,0.4,0.04394819671138933,0.056488913,0.012540715841205807
0.16999999999999998,0.0,0.7369850598779304,0.7487367,0.011751619676055203
0.18333333333333335,0.0,0.7192963071968337,0.7310392,0.01174291885831158
0.7966666666666666,0.47500000000000003,0.05557995593735329,0.06725673,0.011676770387204966
0.19666666666666666,0.0,0.70185279492309,0.7134899,0.011637095175481726
0.20999999999999996,0.0,0.6846545230566994,0.69609725,0.01144273169641341
0.15666666666666668,0.0,0.7551974302852075,0.7665739,0.011376475659616747
0.22333333333333333,0.0,0.6679198775453996,0.67886984,0.010949965937571582
0.1433333333333333,0.0,0.7736973473739395,0.78454214,0.01084479597093968
0.77,0.5,0.06485044486393436,0.07560361,0.010753166903357661
0.23666666666666664,0.0,0.6514322685691903,0.66181546,0.010383195927422206
0.16999999999999998,0.025,0.7360791662692581,0.7463573,0.01027815546993871
0.18333333333333335,0.025,0.7184132035687856,0.72862595,0.010212749628693674
0.13,0.0,0.7924848111441262,0.80263275,0.010147937936531792
0.29,0.5,0.45658049911631576,0.46668708,0.010106584128007967
