source_file,source_kind,label,alpha,Mach,candidate_cr,candidate_ci,candidate_omega_i,n_points,family,distance_to_default_shooting,shooting_stage1_mismatch_at_candidate,shooting_stage2_mismatch_at_candidate,overlap_to_reference_high,default_shooting_success,default_shooting_spectral_success,default_shooting_stage1_mismatch,default_shooting_stage2_mismatch,default_stage1_mismatch,default_stage2_mismatch,distance_to_shooting,blumen_cr,blumen_ci,err_cr,err_ci,score_blumen
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,default_shooting,shooting_default,0.2,1.2,0.2398535156249999,0.0634827473958333,0.0126965494791666,,,,,,,True,True,7.409215188710876e-06,3.061490287072225e-26,,,,0.23697519236816028,0.06222266952409093,0.002878323256839621,0.001260077871742371,0.03658762072466466
supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,default_shooting,shooting_default,0.2,1.2,0.2398535156249999,0.0634827473958333,0.012696549479166661,,,,,,,True,,,,7.409215188710876e-06,3.061490287072225e-26,,0.23697519236816028,0.06222266952409093,0.002878323256839621,0.001260077871742371,0.03658762072466466
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,low N=561,0.2,1.2,0.2398685696372749,0.0064309139917956,0.0012861827983591,561.0,low,0.1141036678011339,0.0195368311624428,5.073397984304272e-24,0.5346462308983949,,,,,,,,0.23697519236816028,0.06222266952409093,0.002893377269114622,0.05579175553229533,1.2822893127819504
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=561,0.2,1.2,0.2398685696372749,0.0064309139917956,0.0012861827983591,561.0,low,,,,0.5346462308983949,,,,,,,0.1141036678011339,0.23697519236816028,0.06222266952409093,0.002893377269114622,0.05579175553229533,1.2822893127819504
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=801,0.2,1.2,0.2426492543359124,0.0041676990482935,0.0008335398096587,801.0,low,,,,0.524160945306994,,,,,,,0.1186630355115848,0.23697519236816028,0.06222266952409093,0.005674061967752109,0.058054970475797434,1.3415267580136656
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,high N=561,0.2,1.2,0.6090012944588794,0.0095794091249208,0.0019158818249841,561.0,high,0.3845677601216468,0.0248357714899734,13.4225945627354,0.9697571318409324,,,,,,,,0.23697519236816028,0.06222266952409093,0.3720261020907191,0.05264326039917013,2.211173550546005
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=561,0.2,1.2,0.6090012944588794,0.0095794091249208,0.0019158818249841,561.0,high,,,,0.9697571318409324,,,,,,,0.3845677601216468,0.23697519236816028,0.06222266952409093,0.3720261020907191,0.05264326039917013,2.211173550546005
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=801,0.2,1.2,0.6057386709105839,0.0064323173294803,0.001286463465896,801.0,high,,,,0.968720942193599,,,,,,,0.383263555717706,0.23697519236816028,0.06222266952409093,0.3687634785424236,0.055790352194610635,2.274216474805651
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,default_shooting,shooting_default,0.2,1.25,0.2680387369791667,0.0553479817708333,0.0110695963541666,,,,,,,True,True,2.6701806271945676e-05,8.409434743359659e-26,,,,0.2338874746306954,0.05451369857891339,0.034151262348471295,0.0008342831919199087,0.11164947678687179
supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,default_shooting,shooting_default,0.2,1.25,0.2680387369791667,0.0553479817708333,0.01106959635416666,,,,,,,True,,,,2.6701806271945676e-05,8.409434743359659e-26,,0.2338874746306954,0.05451369857891339,0.034151262348471295,0.0008342831919199087,0.11164947678687179
