epoch,loss,loss_pde,loss_bc,loss_norm,loss_integral_norm,loss_phase,loss_ci_supervision,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,4.805815696716309,0.04288077354431152,0.14983440935611725,0.834240198135376,0.8301995992660522,0.08663251996040344,0.003150621196255088,3.0000009536743164,0.23807662725448608,0.02925748916023796,0.02925748916023796,0.10944165472854699,0.10944165472854699,5.170805829925887,5.170805829925887,5.317093275727077,1.0,0.5,0.5
2,4.235909938812256,0.031558290123939514,0.1239042729139328,0.838516354560852,0.8351208567619324,0.008895170874893665,0.0008559999405406415,3.0000009536743164,0.26633864641189575,,,,,,,,,,
3,4.820753574371338,0.031824566423892975,0.24704957008361816,0.6333616971969604,0.6299859881401062,0.02710421197116375,9.909349500958342e-07,3.0000009536743164,0.29030337929725647,,,,,,,,,,
4,3.923058271408081,0.010340871289372444,0.10329148173332214,0.8153370022773743,0.8149747848510742,0.006448046304285526,0.0005275876028463244,3.0000009536743164,0.3000791072845459,,,,,,,,,,
5,3.587359666824341,0.003962309565395117,0.01785600185394287,0.9723721146583557,0.972025454044342,2.0905885321553797e-05,0.001072235289029777,3.0000009536743164,0.29712018370628357,,,,,,,,,,
6,3.7174830436706543,0.0073519605211913586,0.023210160434246063,0.9854198694229126,0.9844289422035217,0.007316813338547945,0.0008872087928466499,3.0000009536743164,0.28735625743865967,,,,,,,,,,
7,3.9507758617401123,0.011173056438565254,0.05594290420413017,0.9185369610786438,0.9175898432731628,0.04159663990139961,0.0004008878313470632,3.0000009536743164,0.2750471830368042,,,,,,,,,,
8,3.919466018676758,0.010500946082174778,0.05433190241456032,0.9071090817451477,0.90727698802948,0.04757729545235634,5.9491136198630556e-05,3.0000009536743164,0.2631681561470032,,,,,,,,,,
9,3.67891001701355,0.0048331571742892265,0.023926999419927597,0.9560324549674988,0.9558999538421631,0.02223084308207035,1.735511796141509e-05,3.0000009536743164,0.2537864148616791,,,,,,,,,,
10,3.5267043113708496,0.0005864041158929467,0.003287333296611905,0.9953379034996033,0.9952677488327026,0.002333762589842081,0.0001835398725233972,3.0000009536743164,0.24800294637680054,,,,,,,,,,
11,3.544102907180786,0.0015942821046337485,0.0066569652408361435,0.9930205941200256,0.9928014278411865,1.4447259673033841e-05,0.00037369364872574806,3.0000009536743164,0.24600563943386078,,,,,,,,,,
12,3.6099636554718018,0.005133132450282574,0.023599762469530106,0.9608267545700073,0.9603939652442932,0.0014738107565790415,0.00045490337652154267,3.0000009536743164,0.24739804863929749,,,,,,,,,,
