alpha,Mach,reference_cr,reference_ci,stage1_mismatch,stage2_mismatch,status,source_group,source_csv,source_label,line_id,point_id,blumen_ci_corrected,err_ci_abs_corrected,err_ci_rel_corrected
0.1,1.3,0.2292287978156679,0.0908323489283033,1.804350463478206e-06,6.6093091141535265e-19,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary_modal_fallback,M1.30_anchor0.175,M1.30_a0.10000,0.09037979040248759,0.0004525585258157161,0.005007297801868547
0.125,1.3,0.2507322022046491,0.0805622512041191,8.48044792429182e-07,1.4640677329075317e-18,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary_modal_fallback,M1.30_anchor0.175,M1.30_a0.12500,0.07936954287078578,0.00119270833333332,0.015027279863197124
0.15,1.3,0.2679464671366972,0.0699190855162764,2.48584615768089e-06,5.4148242835433054e-20,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary_modal_fallback,M1.30_anchor0.175,M1.30_a0.15000,0.06839717044667962,0.0015219150695967854,0.022251140795118488
0.1625,1.3,0.2753741570531295,0.0644937399606446,3.525295246738324e-06,3.7640925794791796e-19,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_2026-05-28/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,modal_front_spectral_dense,M1.30_anchor0.175,M1.30_a0.16250,0.06301913058564468,0.0014746093749999217,0.023399392554232214
0.175,1.3,0.2821847483866972,0.0590180438496097,2.234820388918325e-06,1.157558020111278e-18,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary_modal_fallback,M1.30_anchor0.175,M1.30_a0.17500,0.05764109072460976,0.0013769531249999412,0.023888394679735882
0.183333,1.3,0.286403134768127,0.0553553184156296,5.897737531703279e-07,1.5236565398847437e-18,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_2026-05-28/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,modal_front_spectral_dense,M1.30_anchor0.175,M1.30_a0.18333,0.05405587423164943,0.0012994441839801682,0.024038907934622773
0.191667,1.3,0.290397275393127,0.0516736777906296,3.697097577497154e-06,1.8110070860450328e-18,validated,reference_core_local_modal,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_2026-05-28/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,modal_front_spectral_dense,M1.30_anchor0.175,M1.30_a0.19167,0.050470227495500224,0.001203450295129374,0.023844756698128022
0.125,1.4,0.303271264704649,0.0535875093459158,0.0017665559834707,3.0047490024189555e-20,validated,M140_branch_guided_reconfirm,assets/classic_supersonic/shooting/experiment_point_batch_M140_branch_guided_reconfirm_2026-06-09/assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_branch_guided_reconfirm_summary.csv,M140_branch_guided_reconfirm,M1.40_a0.12500,M1.40_a0.12500,0.06082861177580035,0.007241102429884551,0.1190410600947711
0.1375,1.4,0.3111424049240388,0.0511307865076858,0.0016248557187462,6.237268754360605e-19,validated,M140_branch_guided_reconfirm,assets/classic_supersonic/shooting/experiment_point_batch_M140_branch_guided_reconfirm_2026-06-09/assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_branch_guided_reconfirm_summary.csv,M140_branch_guided_reconfirm,M1.40_a0.13750,M1.40_a0.13750,0.05683315461283407,0.005702368105148271,0.10033523818965633
0.15,1.4,0.3182275185165742,0.0486740636694557,0.0013443567711178,1.157019368920801e-18,validated,M140_branch_guided_reconfirm,assets/classic_supersonic/shooting/experiment_point_batch_M140_branch_guided_reconfirm_2026-06-09/assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_branch_guided_reconfirm_summary.csv,M140_branch_guided_reconfirm,M1.40_a0.15000,M1.40_a0.15000,0.0528376974498678,0.004163633780412096,0.0788004394847549
