epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_phase,loss_ci_supervision,mapping_scale,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,n_focus_points
1,10.35020923614502,0.768835186958313,8.99795150756836,0.4612140953540802,0.43858104944229126,0.0,0.0,0.11668448895215988,3.0000009536743164,0.2396022664587837,0.6533795356584906,0.7074635876919214,12.115777657970437,12.0
2,4.762413024902344,0.15347358584403992,3.2645490169525146,0.30634647607803345,0.02010844275355339,0.0,0.0,0.2688780426979065,3.0000009536743164,,,,,
3,7.136818885803223,0.28786271810531616,5.637028217315674,0.33716362714767456,0.22653919458389282,0.0,0.0,0.2423856109380722,3.0000009536743164,,,,,
4,5.885544300079346,0.29888659715652466,4.468387603759766,0.24532397091388702,0.20151479542255402,0.0,0.0,0.22365397214889526,3.0000009536743164,,,,,
5,3.8647992610931396,0.18665261566638947,2.706235408782959,0.1983276754617691,0.07229587435722351,0.0,0.0,0.19438225030899048,3.0000009536743164,,,,,
6,3.0247716903686523,0.1801806092262268,2.016911745071411,0.19156353175640106,0.010127636604011059,0.0,0.0,0.1655358523130417,3.0000009536743164,,,,,
7,3.4299051761627197,0.16289030015468597,2.5506410598754883,0.21963007748126984,0.035434018820524216,0.0,0.0,0.14327478408813477,3.0000009536743164,,,,,
8,3.72269868850708,0.11806439608335495,3.048219680786133,0.22874847054481506,0.07607349753379822,0.0,0.0,0.11128291487693787,3.0000009536743164,,,,,
9,3.4724926948547363,0.11135667562484741,2.945732593536377,0.20321479439735413,0.0913584753870964,0.0,0.0,0.08308067917823792,3.0000009536743164,,,,,
10,3.2445173263549805,0.16062425076961517,2.742706775665283,0.19998537003993988,0.07428529858589172,0.0,0.0,0.06823727488517761,3.0000009536743164,,,,,
11,2.7618043422698975,0.220753014087677,2.3010473251342773,0.1863795518875122,0.04372517019510269,0.0,0.0,0.048000793904066086,3.0000009536743164,,,,,
12,2.2722008228302,0.11456729471683502,1.9799213409423828,0.18306873738765717,0.014923390001058578,0.0,0.0,0.03554244711995125,3.0000009536743164,,,,,
13,2.1685972213745117,0.10500919073820114,1.9564552307128906,0.19098837673664093,0.004657146520912647,0.0,0.0,0.021426577121019363,3.0000009536743164,,,,,
14,2.1154274940490723,0.09992766380310059,1.8983187675476074,0.18044757843017578,0.009384304285049438,0.0,0.0,0.023436229676008224,3.0000009536743164,,,,,
15,2.195233106613159,0.11036867648363113,1.955174207687378,0.17369163036346436,0.021825795993208885,0.0,0.0,0.025938017293810844,3.0000009536743164,,,,,
16,2.4593770503997803,0.11760655790567398,2.1941702365875244,0.18692739307880402,0.03248962387442589,0.0,0.0,0.029520023614168167,3.0000009536743164,,,,,
17,2.369236469268799,0.13192348182201385,2.1041500568389893,0.1762716919183731,0.034143321216106415,0.0,0.0,0.02663261815905571,3.0000009536743164,,,,,
18,2.2915406227111816,0.09956477582454681,2.066915512084961,0.17928734421730042,0.02740420028567314,0.0,0.0,0.025012079626321793,3.0000009536743164,,,,,
19,2.1121528148651123,0.10587392002344131,1.8777618408203125,0.16848398745059967,0.019292199984192848,0.0,0.0,0.025703389197587967,3.0000009536743164,,,,,
20,1.9939522743225098,0.0873362123966217,1.815019130706787,0.1706523299217224,0.01084957830607891,0.0,0.0,0.018319398164749146,3.0000009536743164,,,,,
21,1.917758822441101,0.0876091942191124,1.7715193033218384,0.17219007015228271,0.0049618626944720745,0.0,0.0,0.011726079508662224,3.0000009536743164,,,,,
22,1.8820068836212158,0.08252860605716705,1.7507814168930054,0.17238444089889526,0.0026936987414956093,0.0,0.0,0.009739376604557037,3.0000009536743164,,,,,
23,2.0041940212249756,0.08955051004886627,1.8848201036453247,0.18504056334495544,0.0034414364490658045,0.0,0.0,0.005964681040495634,3.0000009536743164,,,,,
24,1.9748152494430542,0.08665549010038376,1.8698631525039673,0.17883270978927612,0.008153604343533516,0.0,0.0,0.0036593088880181313,3.0000009536743164,,,,,
25,2.136730670928955,0.08940672129392624,2.034839153289795,0.19074216485023499,0.012741764076054096,0.0,0.0,0.0024969405494630337,3.0000009536743164,,,,,
26,2.043567657470703,0.08929996937513351,1.9417595863342285,0.17986004054546356,0.014315912500023842,0.0,0.0,0.00250163022428751,3.0000009536743164,,,,,
27,1.9621292352676392,0.09565407037734985,1.8504835367202759,0.17341828346252441,0.011630065739154816,0.0,0.0,0.0031983116641640663,3.0000009536743164,,,,,
28,1.9580687284469604,0.10961835086345673,1.8277734518051147,0.1734173595905304,0.009359994903206825,0.0,0.0,0.004135401453822851,3.0000009536743164,,,,,
29,1.9429302215576172,0.10985806584358215,1.8016576766967773,0.17372316122055054,0.006442603189498186,0.0,0.0,0.006282903254032135,3.0000009536743164,,,,,
30,1.8994503021240234,0.11011341214179993,1.7562742233276367,0.17185041308403015,0.0037770038470625877,0.0,0.0,0.006612543016672134,3.0000009536743164,,,,,
31,1.8782780170440674,0.0873943567276001,1.757691740989685,0.1744256615638733,0.001343508600257337,0.0,0.0,0.006638380698859692,3.0000009536743164,,,,,
32,1.7387222051620483,0.08564483374357224,1.6183274984359741,0.1611749529838562,0.0006577975582331419,0.0,0.0,0.006949963979423046,3.0000009536743164,,,,,
33,1.765032172203064,0.08624069392681122,1.634305477142334,0.16191521286964417,0.0015153451822698116,0.0,0.0,0.00889721792191267,3.0000009536743164,,,,,
34,1.957744836807251,0.0863712877035141,1.8311113119125366,0.1795351207256317,0.003576001152396202,0.0,0.0,0.008052456192672253,3.0000009536743164,,,,,
35,1.877697229385376,0.08099596202373505,1.7652454376220703,0.17145079374313354,0.005073748994618654,0.0,0.0,0.006291170604526997,3.0000009536743164,,,,,
36,1.8649499416351318,0.08270560950040817,1.7608808279037476,0.17077814042568207,0.005309937056154013,0.0,0.0,0.0042726872488856316,3.0000009536743164,,,,,
37,1.7276631593704224,0.08217652142047882,1.6274150609970093,0.15732361376285553,0.005417896434664726,0.0,0.0,0.0036143148317933083,3.0000009536743164,,,,,
38,1.9250046014785767,0.0852246955037117,1.8264877796173096,0.17828069627285004,0.004368077963590622,0.0,0.0,0.002658411394804716,3.0000009536743164,,,,,
39,1.873365879058838,0.08150550723075867,1.7844302654266357,0.17473383247852325,0.003709198907017708,0.0,0.0,0.0014860044466331601,3.0000009536743164,,,,,
