epoch,loss,loss_pde,loss_bc,loss_norm,loss_phase,loss_ci_supervision,mapping_scale,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,n_focus_points
1,1.3552172183990479,0.0012882123701274395,0.026501070708036423,0.4995444416999817,0.0016699092229828238,0.11754079163074493,3.0000009536743164,0.27522706216201653,0.7582953702150977,2.2674985750898844,250.52785843354886,12.0
2,2.7524538040161133,0.00359621224924922,0.0786886066198349,0.35336801409721375,0.018160030245780945,0.31808871030807495,3.0000009536743164,,,,,
3,2.706913948059082,0.001576437964104116,0.037972137331962585,0.7597146034240723,0.007583866361528635,0.31166350841522217,3.0000009536743164,,,,,
4,2.1737542152404785,0.0008517791284248233,0.02896808460354805,0.4882557988166809,0.013380092568695545,0.27631714940071106,3.0000009536743164,,,,,
5,1.9836180210113525,0.0015845430316403508,0.028936516493558884,0.38137727975845337,0.0017808666452765465,0.2619020342826843,3.0000009536743164,,,,,
6,1.8567057847976685,0.0013520666398108006,0.03213023394346237,0.37315845489501953,0.005454824771732092,0.2310876101255417,3.0000009536743164,,,,,
7,1.7462596893310547,0.0008800931391306221,0.027057133615016937,0.37714171409606934,0.0195489302277565,0.21562351286411285,3.0000009536743164,,,,,
8,1.5335376262664795,0.0010479603661224246,0.018248317763209343,0.4148218631744385,0.001978076994419098,0.18664129078388214,3.0000009536743164,,,,,
9,1.4289822578430176,0.0016314223175868392,0.020486686378717422,0.3965005576610565,0.00021646972163580358,0.1651533842086792,3.0000009536743164,,,,,
10,1.3481929302215576,0.0017844507237896323,0.029090333729982376,0.361293762922287,0.0038992639165371656,0.13806241750717163,3.0000009536743164,,,,,
11,1.1779017448425293,0.0013096436159685254,0.02242770791053772,0.3839947581291199,0.0066835228353738785,0.11232735216617584,3.0000009536743164,,,,,
12,1.0468204021453857,0.0005816674092784524,0.015859829261898994,0.4581579267978668,0.0008863969705998898,0.08571922034025192,3.0000009536743164,,,,,
13,0.776400089263916,0.00010134354670299217,0.006375846918672323,0.4050861895084381,6.622332875849679e-05,0.06147757172584534,3.0000009536743164,,,,,
14,0.7066303491592407,0.00011634624388534576,0.007076426409184933,0.43192940950393677,0.002913029631599784,0.04018145799636841,3.0000009536743164,,,,,
15,0.644270122051239,0.0004457620088942349,0.008734260685741901,0.43341636657714844,0.0038129487074911594,0.023850491270422935,3.0000009536743164,,,,,
16,0.6006050705909729,0.0006685621337965131,0.008470088243484497,0.46096813678741455,0.001618511276319623,0.010529791936278343,3.0000009536743164,,,,,
17,0.626322329044342,0.0007376946159638464,0.008342333137989044,0.5037752389907837,3.3416358746762853e-07,0.007677135057747364,3.0000009536743164,,,,,
18,0.6197083592414856,0.0005438971566036344,0.007394483778625727,0.4990044832229614,0.0007535346667282283,0.009092320688068867,3.0000009536743164,,,,,
19,0.6495153903961182,0.0003942644689232111,0.005625036545097828,0.48928794264793396,0.0018533999100327492,0.020345885306596756,3.0000009536743164,,,,,
20,0.6708090901374817,0.0003579375916160643,0.005594184622168541,0.46453526616096497,0.0006707672728225589,0.02986065298318863,3.0000009536743164,,,,,
21,0.6821274757385254,0.0003605442470870912,0.005324453581124544,0.4401209354400635,6.96414863341488e-05,0.03766636550426483,3.0000009536743164,,,,,
22,0.7028392553329468,0.00031910190591588616,0.006051503121852875,0.4511737823486328,0.00020447916176635772,0.03812536597251892,3.0000009536743164,,,,,
23,0.6780003905296326,0.00020699977176263928,0.005064875353127718,0.42351841926574707,0.0008125726599246264,0.04056273400783539,3.0000009536743164,,,,,
24,0.6161694526672363,0.00011184904724359512,0.004226158373057842,0.4200785458087921,0.000986849539913237,0.030546117573976517,3.0000009536743164,,,,,
25,0.5915594100952148,9.365667210659012e-05,0.004798601381480694,0.4255136549472809,0.0001372532860841602,0.02356576919555664,3.0000009536743164,,,,,
26,0.5375564694404602,0.00017601456784177572,0.006822685711085796,0.3779325783252716,1.7698728242976358e-06,0.018243854865431786,3.0000009536743164,,,,,
27,0.5021200776100159,0.0002758025948423892,0.008135247975587845,0.3730979859828949,0.00010597436630632728,0.009457562118768692,3.0000009536743164,,,,,
28,0.5534519553184509,0.0003493602271191776,0.008510928601026535,0.4284650385379791,0.00024192145792767406,0.007857265882194042,3.0000009536743164,,,,,
29,0.4961203932762146,0.000230416189879179,0.007862383499741554,0.3851894438266754,7.766585440549534e-06,0.00641379039734602,3.0000009536743164,,,,,
30,0.4828464984893799,0.00014577709953300655,0.0061531332321465015,0.39035680890083313,0.00018966982315760106,0.0061245872639119625,3.0000009536743164,,,,,
31,0.4819835126399994,0.00010906449460890144,0.005564025603234768,0.39349377155303955,0.0005724037764593959,0.006433600559830666,3.0000009536743164,,,,,
32,0.5539414286613464,9.486357885180041e-05,0.005319676361978054,0.4560709297657013,0.0002507821482140571,0.008865623734891415,3.0000009536743164,,,,,
33,0.4958602786064148,8.907094888854772e-05,0.004693353548645973,0.40020906925201416,0.00015697386697866023,0.009694327600300312,3.0000009536743164,,,,,
34,0.5226819515228271,6.545993528561667e-05,0.004964867606759071,0.4179975390434265,3.423489033593796e-05,0.010987200774252415,3.0000009536743164,,,,,
35,0.5191551446914673,4.797607471118681e-05,0.0038376562297344208,0.42310887575149536,0.00023066239373292774,0.011478214524686337,3.0000009536743164,,,,,
36,0.5232265591621399,2.3776074158377014e-05,0.0030027045868337154,0.43387922644615173,0.0002753803273662925,0.011804232373833656,3.0000009536743164,,,,,
37,0.5205281972885132,2.5962561267078854e-05,0.0019318757113069296,0.44445833563804626,6.744278653059155e-05,0.011331543326377869,3.0000009536743164,,,,,
38,0.5260058045387268,5.168121060705744e-05,0.0022285287268459797,0.4482501447200775,2.5940222258213907e-05,0.011078550480306149,3.0000009536743164,,,,,
39,0.5168431401252747,7.55361033952795e-05,0.0031935633160173893,0.42918306589126587,0.00023109193716663867,0.011083556339144707,3.0000009536743164,,,,,
40,0.5007142424583435,8.228274964494631e-05,0.004487479105591774,0.4081019163131714,0.0002936915843747556,0.009472314268350601,3.0000009536743164,,,,,
