level,n_points,mae_omega,median_distance,p90_distance
0.0,74,0.007655657950935533,,
0.05,104,0.001726352012481039,0.0024867918965751678,0.006112924505713882
0.1,97,0.000976808537438426,0.0018245324724201221,0.005885796141868071
0.15,48,0.0011394624524509178,0.004193981728793537,0.008033405218248742
0.175,28,0.0008497762839587261,0.005204918797243479,0.009571024694984456
