alpha,Mach,cr,ci,stage1_mismatch,distance_to_center
0.2,1.2,0.1869751923681603,0.04222266952409093,0.020897260271815994,0.05385164807134503
0.2,1.2,0.19114185903482694,0.04222266952409093,0.019360283569183265,0.050006943962258334
0.2,1.2,0.19530852570149362,0.04222266952409093,0.017847518817672995,0.04621808207954015
0.2,1.2,0.1994751923681603,0.04222266952409093,0.01636857677637253,0.04249999999999998
0.2,1.2,0.20364185903482696,0.04222266952409093,0.014933432428511376,0.038873012632302
0.2,1.2,0.2078085257014936,0.04222266952409093,0.01355305297387679,0.03536515862320492
0.2,1.2,0.2119751923681603,0.04222266952409093,0.012240295904698203,0.032015621187164243
0.2,1.2,0.21614185903482697,0.04222266952409093,0.011011109157463565,0.028879539085272417
0.2,1.2,0.22030852570149362,0.04222266952409093,0.009886016177636273,0.026034165586355514
0.2,1.2,0.22447519236816027,0.04222266952409093,0.008891651715405501,0.023584952830141517
0.2,1.2,0.22864185903482695,0.04222266952409093,0.008061542081466774,0.02166666666666667
0.2,1.2,0.23280852570149363,0.04222266952409093,0.007434305061458051,0.020429417786885437
0.2,1.2,0.23697519236816028,0.04222266952409093,0.007046755986385787,0.020000000000000004
0.2,1.2,0.24114185903482693,0.04222266952409093,0.006921597933593653,0.020429417786885437
0.2,1.2,0.2453085257014936,0.04222266952409093,0.007055851912658074,0.02166666666666667
0.2,1.2,0.2494751923681603,0.04222266952409093,0.0074197796526900665,0.023584952830141517
0.2,1.2,0.25364185903482694,0.04222266952409093,0.007967827946695528,0.026034165586355514
0.2,1.2,0.2578085257014936,0.04222266952409093,0.008652471425298364,0.028879539085272417
0.2,1.2,0.26197519236816025,0.04222266952409093,0.009432832395202925,0.03201562118716422
0.2,1.2,0.26614185903482696,0.04222266952409093,0.010277222745424437,0.03536515862320492
0.2,1.2,0.2703085257014936,0.04222266952409093,0.011162327385908574,0.038873012632302
0.2,1.2,0.27447519236816026,0.04222266952409093,0.012071362786240668,0.04249999999999998
0.2,1.2,0.27864185903482697,0.04222266952409093,0.012992304817612947,0.04621808207954018
0.2,1.2,0.2828085257014936,0.04222266952409093,0.013916501894926794,0.050006943962258334
0.2,1.2,0.28697519236816027,0.04222266952409093,0.014837674441123855,0.05385164807134503
0.2,1.2,0.1869751923681603,0.04422266952409093,0.020511432307843178,0.05314132102234568
0.2,1.2,0.19114185903482694,0.04422266952409093,0.01897156444096007,0.04924118646462984
0.2,1.2,0.19530852570149362,0.04422266952409093,0.017453019452533095,0.04538844689027276
0.2,1.2,0.1994751923681603,0.04422266952409093,0.01596465995296949,0.04159627387158612
