epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
11,1.6942397356033325,0.5120487213134766,1.1130688190460205,0.0909600779414177,0.010173404589295387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013824447989463806,5.0,0.2,0.2,0,3.0000009536743164,0.22477054595947266,,,,,,,,,,,,,,,,1.6942397356033325,0,,
12,1.991334319114685,0.35499805212020874,1.5652062892913818,0.13513797521591187,0.010691329836845398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014225974678993225,5.0,0.2,0.2,0,3.0000009536743164,0.2289489209651947,,,,,,,,,,,,,,,,1.991334319114685,0,,
13,1.7640472650527954,0.2573482394218445,1.4451342821121216,0.11402025818824768,0.015246587805449963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012312966398894787,5.0,0.2,0.2,0,3.0000009536743164,0.23358455300331116,,,,,,,,,,,,,,,,1.7640472650527954,0,,
14,1.4374066591262817,0.16472792625427246,1.2377924919128418,0.09790846705436707,0.012935392558574677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006977236829698086,5.0,0.2,0.2,0,3.0000009536743164,0.23851026594638824,,,,,,,,,,,,,,,,1.4374066591262817,0,,
15,1.4087259769439697,0.19609975814819336,1.1959681510925293,0.0872163400053978,0.016190234571695328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033316167537122965,5.0,0.2,0.2,0,3.0000009536743164,0.24354879558086395,,,,,,,,,,,,,,,,1.4087259769439697,0,,
16,1.009907841682434,0.22236444056034088,0.7739253044128418,0.05078066885471344,0.01330593042075634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027236221358180046,5.0,0.2,0.2,0,3.0000009536743164,0.24873089790344238,,,,,,,,,,,,,,,,1.009907841682434,0,,
17,0.6850388646125793,0.14722654223442078,0.5277706980705261,0.03565208613872528,0.008562492206692696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020083291456103325,5.0,0.2,0.2,0,3.0000009536743164,0.2539539635181427,,,,,,,,,,,,,,,,0.6850388646125793,0,,
18,0.6148395538330078,0.10087592154741287,0.5058937072753906,0.04434901103377342,0.003120178822427988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001613982254639268,5.0,0.2,0.2,0,3.0000009536743164,0.2591800391674042,,,,,,,,,,,,,,,,0.6148395538330078,0,,
19,0.4182642996311188,0.12301698327064514,0.2813398241996765,0.027235256507992744,0.000449361716164276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027814980130642653,5.0,0.2,0.2,0,3.0000009536743164,0.263774037361145,,,,,,,,,,,,,,,,0.4182642996311188,0,,
20,0.9343932271003723,0.23520325124263763,0.6696410179138184,0.06537869572639465,0.000792702951002866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014956272207200527,0.003107658354565501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005243385210633278,5.0,0.2,0.2,0,3.0000009536743164,0.26678720116615295,,,,,,,,,,,,,,,,0.9343932271003723,0,,
