alpha,mach,ci_classic,ci_pinn,ci_abs_err,p_rel,rho_rel,u_rel,v_rel,amp_rel,phase_rmse
0.2,0.5,0.5512325967833764,0.5529733896255493,0.001740792842172878,0.011948851005744653,0.011948851005744653,0.0520703788575673,0.041830215928191423,0.010087221637930173,0.008302283661229452
0.225,0.5,0.5238999060322365,0.5253177285194397,0.0014178224872032352,0.013967121744546342,0.013967121744546342,0.055756662945759636,0.04480078059150486,0.012427044981843882,0.00834446605246042
0.25,0.5,0.4974041997297217,0.4984429180622101,0.0010387183324883642,0.015108826962259006,0.015108826962259006,0.05526437444334634,0.04573866485766905,0.013752741277599049,0.00832789654181712
0.275,0.5,0.4716931752097593,0.4723370671272278,0.0006438919174684976,0.015379030849947696,0.015379030849947696,0.05179980598244506,0.04489340083102306,0.014174635874652782,0.008398684316405197
0.30000000000000004,0.5,0.44666187673112384,0.4469829201698303,0.0003210434387064809,0.01495719879533372,0.01495719879533372,0.04642251765404081,0.0426251924314859,0.013880677442256144,0.008738733296057042
0.32500000000000007,0.5,0.42234586545964237,0.4223578870296478,1.2021570005460447e-05,0.014130041387643108,0.014130041387643108,0.039796366510895555,0.03924337290151721,0.013074691827279205,0.009459933778644578
0.35000000000000003,0.5,0.39861890579716464,0.3984340727329254,0.0001848330642392204,0.012941350798333954,0.012941350798333954,0.032678769418055496,0.035168544955331615,0.011903276643361261,0.010596942808387003
0.37500000000000006,0.5,0.3754695743142033,0.3751782476902008,0.000291326624002497,0.011522773728903112,0.011522773728903112,0.025588172143821405,0.03074862209710814,0.010510026310450733,0.012084773651668022
0.4,0.5,0.3529088784061722,0.35255298018455505,0.0003558982216171347,0.010064027348913755,0.010064027348913755,0.019026638510881978,0.02630935225852419,0.009019818945406072,0.013816003327104238
0.42500000000000004,0.5,0.3308226097887601,0.3305164873600006,0.00030612242875949214,0.00865853546819226,0.00865853546819226,0.013951167833571339,0.022280698005874455,0.007524189141312024,0.015736076453114697
0.45000000000000007,0.5,0.30920581137200387,0.30902382731437683,0.00018198405762703818,0.007413019956091861,0.007413019956091861,0.011479971584054784,0.019121748795960024,0.006122281951329341,0.017779950758241923
0.4750000000000001,0.5,0.2880686517011536,0.28802764415740967,4.100754374392057e-05,0.006425862717468472,0.006425862717468472,0.01210293527785443,0.017248961528326542,0.004909265574225309,0.019896949450384574
0.5,0.5,0.2673259130218139,0.26747938990592957,0.0001534768841156553,0.005764830757624392,0.005764830757624392,0.014430518433333383,0.016853792121910096,0.003961572174931537,0.022097615111468405
0.5250000000000001,0.5,0.24701380072812232,0.24733096361160278,0.0003171628834804652,0.0054370694269073065,0.0054370694269073065,0.017022239130384597,0.017591236524401848,0.0033350606474305128,0.02435116993586625
0.55,0.5,0.22706065143509818,0.22753562033176422,0.00047496889666603925,0.005382343257625966,0.005382343257625966,0.019095330681815834,0.018895859095325273,0.003000376282646205,0.026682705123285258
0.5750000000000001,0.5,0.20747863712043907,0.2080499529838562,0.0005713158634171323,0.005500969832767181,0.005500969832767181,0.020461471851380995,0.020202411993352567,0.0028463134146798704,0.02907497057625026
0.6000000000000001,0.5,0.1881916656541145,0.1888340413570404,0.0006423757029259125,0.005728274396128618,0.005728274396128618,0.020911420810401135,0.021162640888840473,0.0027624513212861994,0.03154799492189112
0.6250000000000001,0.5,0.16924960800980315,0.16985251009464264,0.000602902084839485,0.006052223492250949,0.006052223492250949,0.02071448153099652,0.021545363599593702,0.0027448802042376636,0.03403912682565909
0.6500000000000001,0.5,0.15061113300287549,0.1510745882987976,0.00046345529592212165,0.0065522874652764,0.0065522874652764,0.0199751142793058,0.021312260140439392,0.0029857282650926644,0.036515391585344205
0.675,0.5,0.1322828038113441,0.13247761130332947,0.0001948074919853604,0.007375632326874934,0.007375632326874934,0.01902686464144568,0.02058663159854052,0.003804215101669117,0.038012482595911855
0.7000000000000002,0.5,0.11418047871820669,0.11406087130308151,0.00011960741512517803,0.008700178883182414,0.008700178883182414,0.017802260303529795,0.01970818360479786,0.0053921678247249635,0.03907315145246123
0.7250000000000001,0.5,0.09636272646318243,0.09588314592838287,0.0004795805347995591,0.010688925619847698,0.010688925619847698,0.016793395776896026,0.019342683651228917,0.007790795881547956,0.03993748817788698
0.7500000000000002,0.5,0.07876502193706367,0.07814234495162964,0.0006226769854340286,0.01346825581209328,0.01346825581209328,0.015009043747357894,0.020510727582262384,0.0110223914048954,0.040573683600016015
0.7750000000000001,0.5,0.061428940157203064,0.061287231743335724,0.0001417084138673405,0.017158009707563374,0.017158009707563374,0.010324241544345861,0.025005235282097315,0.015158149659262994,0.040930580067331246
0.8,0.5,0.044283907611436094,0.046071890741586685,0.0017879831301505916,0.02188460697149807,0.02188460697149807,0.047468313671444995,0.03749857306341088,0.020303089332077622,0.04108614698509451
