regime,n_alpha,ci_abs_err_mean,ci_abs_err_max,p_rel_mean,p_rel_max,rho_rel_mean,rho_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,amp_rel_mean,amp_rel_max,phase_rmse_mean,phase_rmse_max
low_alpha,13,0.0005145338009346057,0.001740792842172878,0.011406267040077104,0.015379030849947696,0.011406267040077104,0.015379030849947696,0.033105252276586734,0.055756662945759636,0.032835642100340505,0.04573866485766905,0.010103649521736731,0.014174635874652782,0.012583100708229437,0.022097615111468405
high_alpha,12,0.0005348787248844345,0.0017879831301505916,0.009494064766001349,0.02188460697149807,0.009494064766001349,0.02188460697149807,0.020383681497442095,0.047468313671444995,0.02194681725202426,0.03749857306341088,0.006762134944962597,0.020303089332077622,0.03515207432058317,0.04108614698509451
