band,n_alpha,ci_abs_err_mean,ci_abs_err_max,p_rel_mean,p_rel_max,rho_rel_mean,rho_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,amp_rel_mean,amp_rel_max,phase_rmse_mean,phase_rmse_max
full_range,25,0.0005242993644304711,0.0017879831301505,0.010488409948520693,0.021884606971498,0.010488409948520693,0.021884606971498,0.026998898302597253,0.0557566629457596,0.027609006173148657,0.045738664857669,0.0084997225248851,0.0203030893320776,0.023416208042159187,0.0410861469850945
lower_edge,5,0.0010324538036078203,0.0017407928421728,0.01427220587156624,0.0153790308499476,0.01427220587156624,0.0153790308499476,0.052262747976631795,0.0557566629457596,0.04397765092797482,0.045738664857669,0.012864464242856342,0.0141746358746527,0.008422412773593799,0.008738733296057
core,15,0.000319577240889752,0.0006423757029259,0.00792994949073344,0.0141300413876431,0.00792994949073344,0.0141300413876431,0.02041743084254654,0.0397963665108955,0.023218099767003023,0.0392433729015172,0.005900276520355806,0.0130746918272792,0.02277947246021472,0.0380124825959118
upper_edge,5,0.0006303112958752799,0.0017879831301505,0.0143799953988369,0.021884606971498,0.0143799953988369,0.021884606971498,0.021479451008714838,0.0474683136714449,0.02441308063675942,0.0374985730634108,0.01193331882050174,0.0203030893320776,0.04032021005655796,0.0410861469850945
