epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.833634853363037,0.1556868702173233,0.4152657687664032,0.0,0.0,0.06443547457456589,0.34888651967048645,0.00010387360816821456,0.0004722820012830198,0.0001482279330957681,0.035677824169397354,16.310108184814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01633809320628643,2.0,0.0,0.0,0,3.0000009536743164,0.15318189561367035,0.10890823678084058,0.10890823678084058,2.4598873247225232,2.4598873247225232,7.687334025476608,7.687334025476608,7.687109807390054,7.687109807390054,0.014296781942752301,0.014296781942752301,74.24251556396484,74.24251556396484,7.687109807390054,0.014296781942752301,74.24251556396484,26.799428273256844,1,0.8,0.8
2,4.861445426940918,0.062269844114780426,0.1649775505065918,0.0,0.0,0.18353675305843353,0.7120584845542908,0.0005347065161913633,3.033536995644681e-05,0.00039597833529114723,0.06048385053873062,8.625678062438965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011861000210046768,2.0,0.0,0.0,0,3.0000009536743164,0.13647229969501495,,,,,,,,,,,,,,,,4.861445426940918,0,,
3,4.6634016036987305,0.024269424378871918,0.07006734609603882,0.0,0.0,0.27890539169311523,0.8757725358009338,2.3394420622935286e-06,5.8386426644574385e-06,0.00015733599138911813,0.00016913117724470794,11.21474838256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008500591851770878,2.0,0.0,0.0,0,3.0000009536743164,0.12182899564504623,,,,,,,,,,,,,,,,4.6634016036987305,0,,
4,4.635239124298096,0.010338917374610901,0.032420117408037186,0.0,0.0,0.3442356586456299,0.9430492520332336,2.969088382087648e-05,8.430324669461697e-06,5.478446837514639e-05,0.013220288790762424,3.3123960494995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006014829967170954,2.0,0.0,0.0,0,3.0000009536743164,0.10907739400863647,,,,,,,,,,,,,,,,4.635239124298096,0,,
5,4.643507957458496,0.005021216347813606,0.016699399799108505,0.0,0.0,0.38616320490837097,0.9709282517433167,3.393545193830505e-05,4.464193352760049e-06,1.9190116290701553e-05,0.23783156275749207,30.44210433959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041995239444077015,2.0,0.0,0.0,0,3.0000009536743164,0.09802354872226715,,,,,,,,,,,,,,,,4.643507957458496,0,,
6,4.657230377197266,0.002810024656355381,0.009663545526564121,0.0,0.0,0.4124602973461151,0.9833089113235474,2.0164121451671235e-05,2.018758323174552e-06,7.440488843712956e-06,0.0988817811012268,14.292428016662598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028890506364405155,2.0,0.0,0.0,0,3.0000009536743164,0.08847082406282425,,,,,,,,,,,,,,,,4.657230377197266,0,,
7,4.668893814086914,0.0017812219448387623,0.006265903823077679,0.0,0.0,0.42897793650627136,0.989261269569397,8.669439012010116e-06,9.722490403873962e-07,3.344397555338219e-06,0.0070202243514359,2.702026844024658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953389262780547,2.0,0.0,0.0,0,3.0000009536743164,0.08023059368133545,,,,,,,,,,,,,,,,4.668893814086914,0,,
8,4.677167892456055,0.0012771326582878828,0.004509251564741135,0.0,0.0,0.4394058585166931,0.9922731518745422,2.7377523110772017e-06,5.21995957569743e-07,1.7565032521815738e-06,0.010423530824482441,27.201459884643555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012929016957059503,2.0,0.0,0.0,0,3.0000009536743164,0.07312878221273422,,,,,,,,,,,,,,,,4.677167892456055,0,,
9,4.682672023773193,0.0010138672078028321,0.0035626613534986973,0.0,0.0,0.4458991587162018,0.9938788414001465,5.453160838442273e-07,3.207882173228427e-07,1.0756109531939728e-06,0.0644197091460228,22.94571304321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008326180977746844,2.0,0.0,0.0,0,3.0000009536743164,0.06700904667377472,,,,,,,,,,,,,,,,4.682672023773193,0,,
10,4.685872554779053,0.0008767974795773625,0.003057630266994238,0.0,0.0,0.4497014582157135,0.9947081804275513,1.569354850516902e-07,2.2808441713095817e-07,7.614015657964046e-07,0.001711054123006761,12.933085441589355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005168978241272271,2.0,0.0,0.0,0,3.0000009536743164,0.06173376366496086,,,,,,,,,,,,,,,,4.685872554779053,0,,
11,4.687383651733398,0.0008143843151628971,0.002824157476425171,0.0,0.0,0.4515196979045868,0.9951092600822449,3.615141679347289e-07,1.8970456494571408e-07,6.171473501126457e-07,0.008303951472043991,21.882917404174805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030485523166134953,2.0,0.0,0.0,0,3.0000009536743164,0.05718344449996948,,,,,,,,,,,,,,,,4.687383651733398,0,,
