rank_by_ci,alpha,Mach,n_points,mapping_kind,mapping_L,xi_max,target_source,target_cr,target_ci,cr,ci,omega_i,abs_cr,distance_to_target
1,0.2,1.2,1601,finite_box,8.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.24015722353755928,0.06291929124723149,0.012583858249446299,0.24015722353755928,0.0006347446038153756
2,0.2,1.2,1601,finite_box,8.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.2437528083670195,0.038039519298881955,0.007607903859776392,0.2437528083670195,0.02574519410867788
3,0.2,1.2,1601,finite_box,8.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.22601707940965016,0.03777494350266569,0.007554988700533139,0.22601707940965016,0.02921802335473598
4,0.2,1.2,1601,finite_box,8.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.26152730815323605,0.036500489341557155,0.007300097868311432,0.26152730815323605,0.03459737976300571
5,0.2,1.2,1601,finite_box,8.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.20839933747899678,0.036280241039902246,0.00725604820798045,0.20839933747899678,0.04161508145621657
