epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,7.057394981384277,0.36456945538520813,6.4270219802856445,0.47279682755470276,0.08495268225669861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053160618990659714,5.0,0.2,0.35,0,3.0000009536743164,0.20395620167255402,0.2002430557343336,0.5310806725174447,1.593114137570461,17.952647496364225,0.6719467046179374,1.2880319617527338,0.43232792797228337,0.9578581501497608,0.3632829641763525,0.5975161438917324,2.3068210193089107,14.66289682388306,3.1931052222310234,8.0,0.05,0.85
2,17.43935775756836,3.9729254245758057,12.903602600097656,0.5667775273323059,0.36179137229919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11256608366966248,5.0,0.2,0.35,0,3.0000009536743164,0.20709559321403503,,,,,,,,,,,,,,,,
3,6.011112213134766,0.5673315525054932,4.926660537719727,0.4353516101837158,0.028657235205173492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10342410206794739,5.0,0.2,0.35,0,3.0000009536743164,0.21068830788135529,,,,,,,,,,,,,,,,
4,3.858323335647583,0.6151050925254822,2.8197641372680664,0.1848592907190323,0.0485585555434227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08469082415103912,5.0,0.2,0.35,0,3.0000009536743164,0.2145582139492035,,,,,,,,,,,,,,,,
5,4.5756731033325195,0.7252458333969116,3.4780139923095703,0.18283328413963318,0.08248405158519745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07448265701532364,5.0,0.2,0.35,0,3.0000009536743164,0.2186688780784607,,,,,,,,,,,,,,,,
6,4.5706305503845215,0.32932722568511963,3.897017478942871,0.28048789501190186,0.054606929421424866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06885716319084167,5.0,0.2,0.35,0,3.0000009536743164,0.22304478287696838,,,,,,,,,,,,,,,,
7,3.648667573928833,0.12281002849340439,3.2516188621520996,0.2716026306152344,0.026779623702168465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05484772473573685,5.0,0.2,0.35,0,3.0000009536743164,0.22770725190639496,,,,,,,,,,,,,,,,
8,3.404664993286133,0.22797322273254395,2.931783437728882,0.25308141112327576,0.020048459991812706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04898165166378021,5.0,0.2,0.35,0,3.0000009536743164,0.2327074557542801,,,,,,,,,,,,,,,,
9,3.5784332752227783,0.3616299033164978,3.032608985900879,0.2672210931777954,0.018019896000623703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03683885931968689,5.0,0.2,0.35,0,3.0000009536743164,0.2380707561969757,,,,,,,,,,,,,,,,
10,2.997553586959839,0.38809841871261597,2.4739747047424316,0.21026401221752167,0.018566731363534927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027096059173345566,5.0,0.2,0.35,0,3.0000009536743164,0.24383550882339478,,,,,,,,,,,,,,,,
11,2.1563162803649902,0.3112218379974365,1.7537901401519775,0.1364237666130066,0.019477620720863342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018260857090353966,5.0,0.2,0.35,0,3.0000009536743164,0.24998994171619415,,,,,,,,,,,,,,,,
12,2.017186403274536,0.16959622502326965,1.7900409698486328,0.14356285333633423,0.017720624804496765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011509839445352554,5.0,0.2,0.35,0,3.0000009536743164,0.2565159797668457,,,,,,,,,,,,,,,,
13,2.036099672317505,0.14804336428642273,1.8566468954086304,0.16345643997192383,0.011104125529527664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006281889043748379,5.0,0.2,0.35,0,3.0000009536743164,0.26333364844322205,,,,,,,,,,,,,,,,
14,1.9494127035140991,0.20575003325939178,1.7292113304138184,0.16430291533470154,0.004309107083827257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002890277188271284,5.0,0.2,0.35,0,3.0000009536743164,0.27016204595565796,,,,,,,,,,,,,,,,
15,1.984087347984314,0.24894872307777405,1.7256296873092651,0.1673894226551056,0.0025867773219943047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019018021412193775,5.0,0.2,0.35,0,3.0000009536743164,0.27654963731765747,,,,,,,,,,,,,,,,
16,1.8532154560089111,0.20290738344192505,1.6362481117248535,0.1523725539445877,0.00562613271176815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002811993472278118,5.0,0.2,0.35,0,3.0000009536743164,0.281878799200058,,,,,,,,,,,,,,,,
17,1.985447883605957,0.15032871067523956,1.8014116287231445,0.15949511528015137,0.010323023423552513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006741498596966267,5.0,0.2,0.35,0,3.0000009536743164,0.28501737117767334,,,,,,,,,,,,,,,,
18,2.0334367752075195,0.142666757106781,1.8436447381973267,0.16354429721832275,0.010410088114440441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009425083175301552,5.0,0.2,0.35,0,3.0000009536743164,0.2859172224998474,,,,,,,,,,,,,,,,
19,1.9532456398010254,0.22251009941101074,1.671971321105957,0.15055504441261292,0.008321046829223633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011752840131521225,5.0,0.2,0.35,0,3.0000009536743164,0.28473129868507385,,,,,,,,,,,,,,,,
20,1.9132440090179443,0.17210352420806885,1.6751511096954346,0.15724557638168335,0.005134765058755875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013197879306972027,5.0,0.2,0.35,0,3.0000009536743164,0.28187885880470276,,,,,,,,,,,,,,,,
21,1.991568922996521,0.17723704874515533,1.7555171251296997,0.17086437344551086,0.0023436720948666334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011762945912778378,5.0,0.2,0.35,0,3.0000009536743164,0.2778625786304474,,,,,,,,,,,,,,,,
22,1.6093136072158813,0.12687639892101288,1.4300719499588013,0.14161303639411926,0.0006970848189666867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01047306414693594,5.0,0.2,0.35,0,3.0000009536743164,0.2730729281902313,,,,,,,,,,,,,,,,
23,1.603053092956543,0.11401146650314331,1.4476388692855835,0.14322519302368164,0.0007693456718698144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008280565962195396,5.0,0.2,0.35,0,3.0000009536743164,0.26787006855010986,,,,,,,,,,,,,,,,
24,1.6590697765350342,0.1293109804391861,1.5090506076812744,0.14693675935268402,0.001984148286283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041416301392018795,5.0,0.2,0.35,0,3.0000009536743164,0.26273876428604126,,,,,,,,,,,,,,,,
25,1.6827017068862915,0.13530224561691284,1.5337460041046143,0.14688347280025482,0.003245563479140401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027306899428367615,5.0,0.2,0.35,0,3.0000009536743164,0.2578556537628174,,,,,,,,,,,,,,,,
26,1.5372434854507446,0.12417025119066238,1.4041550159454346,0.13257399201393127,0.003920759540051222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017836244078353047,5.0,0.2,0.35,0,3.0000009536743164,0.2534164488315582,,,,,,,,,,,,,,,,
27,1.7365765571594238,0.11752377450466156,1.6115450859069824,0.15410476922988892,0.0035248673520982265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015015318058431149,5.0,0.2,0.35,0,3.0000009536743164,0.2494596242904663,,,,,,,,,,,,,,,,
28,1.6832774877548218,0.11900366097688675,1.5561363697052002,0.14990732073783875,0.002853152807801962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016274971421808004,5.0,0.2,0.35,0,3.0000009536743164,0.24604113399982452,,,,,,,,,,,,,,,,
29,1.5341126918792725,0.11311653256416321,1.4107918739318848,0.13673797249794006,0.002170608611777425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408746786415577,5.0,0.2,0.35,0,3.0000009536743164,0.24320454895496368,,,,,,,,,,,,,,,,
30,1.5324431657791138,0.10675305128097534,1.4123752117156982,0.13770568370819092,0.0017659186851233244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026629790663719177,5.0,0.2,0.35,0,3.0000009536743164,0.24094906449317932,,,,,,,,,,,,,,,,
31,1.4818530082702637,0.0988912582397461,1.3667024374008179,0.133487731218338,0.0015912578674033284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032518613152205944,5.0,0.2,0.35,0,3.0000009536743164,0.23923611640930176,,,,,,,,,,,,,,,,
32,1.6031880378723145,0.10091950744390488,1.483831524848938,0.14561736583709717,0.001382890623062849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036874120123684406,5.0,0.2,0.35,0,3.0000009536743164,0.23802450299263,,,,,,,,,,,,,,,,
33,1.7906277179718018,0.106673464179039,1.664340615272522,0.16355274617671967,0.0014406557893380523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003922729287296534,5.0,0.2,0.35,0,3.0000009536743164,0.23728784918785095,,,,,,,,,,,,,,,,
34,1.6230452060699463,0.10820092260837555,1.4937098026275635,0.14655303955078125,0.0014089676551520824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004226903431117535,5.0,0.2,0.35,0,3.0000009536743164,0.23702813684940338,,,,,,,,,,,,,,,,
35,1.5572972297668457,0.11107390373945236,1.4260187149047852,0.139602392911911,0.001499738427810371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004040940199047327,5.0,0.2,0.35,0,3.0000009536743164,0.23720766603946686,,,,,,,,,,,,,,,,
36,1.577449083328247,0.10823491215705872,1.4507648944854736,0.1420164704322815,0.0015300123486667871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003689864184707403,5.0,0.2,0.35,0,3.0000009536743164,0.23772092163562775,,,,,,,,,,,,,,,,
37,1.7474279403686523,0.10755828022956848,1.6237305402755737,0.15908455848693848,0.0016442489577457309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003227823879569769,5.0,0.2,0.35,0,3.0000009536743164,0.23851247131824493,,,,,,,,,,,,,,,,
38,1.4421889781951904,0.1065317913889885,1.3217815160751343,0.1297856569290161,0.0011962485732510686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00277513824403286,5.0,0.2,0.35,0,3.0000009536743164,0.2395453155040741,,,,,,,,,,,,,,,,
39,1.4971842765808105,0.11336889863014221,1.3720591068267822,0.13520020246505737,0.0010028542019426823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023512495681643486,5.0,0.2,0.35,0,3.0000009536743164,0.2407577484846115,,,,,,,,,,,,,,,,
