epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
40,1.7527587413787842,0.11049947887659073,1.6331229209899902,0.16126520931720734,0.0010235455119982362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018272687448188663,5.0,0.2,0.35,0,3.0000009536743164,0.24202458560466766,,,,,,,,,,,,,,,,
41,1.5891550779342651,0.11548235267400742,1.46597158908844,0.14549632370471954,0.0005504201399162412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001540226861834526,5.0,0.2,0.35,0,3.0000009536743164,0.24332556128501892,,,,,,,,,,,,,,,,
42,1.6108558177947998,0.1296912133693695,1.4735435247421265,0.14640873670578003,0.0004728107887785882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015242068329825997,5.0,0.2,0.35,0,3.0000009536743164,0.2445656955242157,,,,,,,,,,,,,,,,
43,1.496902585029602,0.11937928199768066,1.3710142374038696,0.13618817925453186,0.00045662536285817623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001301814103499055,5.0,0.2,0.35,0,3.0000009536743164,0.24564634263515472,,,,,,,,,,,,,,,,
44,1.4918482303619385,0.11995455622673035,1.363720178604126,0.13539044559001923,0.0004907870315946639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016346845077350736,5.0,0.2,0.35,0,3.0000009536743164,0.24649250507354736,,,,,,,,,,,,,,,,
45,1.5427625179290771,0.10859182476997375,1.4267677068710327,0.1412690281867981,0.0007038722978904843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014806038234382868,5.0,0.2,0.35,0,3.0000009536743164,0.24711444973945618,,,,,,,,,,,,,,,,
46,1.6303080320358276,0.11421424150466919,1.5076364278793335,0.14911827445030212,0.0008226805948652327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016914651496335864,5.0,0.2,0.35,0,3.0000009536743164,0.2474147081375122,,,,,,,,,,,,,,,,
47,1.6149731874465942,0.10923890769481659,1.496772050857544,0.1472301483154297,0.0012235285248607397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792453695088625,5.0,0.2,0.35,0,3.0000009536743164,0.2474316507577896,,,,,,,,,,,,,,,,
48,1.5199558734893799,0.0976085364818573,1.413493275642395,0.138628751039505,0.001360288355499506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017708109226077795,5.0,0.2,0.35,0,3.0000009536743164,0.24715150892734528,,,,,,,,,,,,,,,,
49,1.5604345798492432,0.10555295646190643,1.444056510925293,0.14201709628105164,0.0011942738201469183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002165022771805525,5.0,0.2,0.35,0,3.0000009536743164,0.24655844271183014,,,,,,,,,,,,,,,,
50,1.5919262170791626,0.1037667840719223,1.4795900583267212,0.1456110179424286,0.0011739901965484023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017138808034360409,5.0,0.2,0.35,0,3.0000009536743164,0.24577154219150543,,,,,,,,,,,,,,,,
51,1.5633739233016968,0.10483287274837494,1.45046067237854,0.14335185289382935,0.0008471042383462191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001616066787391901,5.0,0.2,0.35,0,3.0000009536743164,0.24484023451805115,,,,,,,,,,,,,,,,
52,1.713286280632019,0.10104064643383026,1.6033530235290527,0.15878689289093018,0.0007742054294794798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017785424133762717,5.0,0.2,0.35,0,3.0000009536743164,0.24377356469631195,,,,,,,,,,,,,,,,
53,1.3877434730529785,0.10938704758882523,1.2696534395217896,0.1258600652217865,0.0005526376771740615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017406092956662178,5.0,0.2,0.35,0,3.0000009536743164,0.24258382618427277,,,,,,,,,,,,,,,,
54,1.5627988576889038,0.10883892327547073,1.4466906785964966,0.1435232162475586,0.0005729255499318242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014538629911839962,5.0,0.2,0.35,0,3.0000009536743164,0.2414030283689499,,,,,,,,,,,,,,,,
55,1.5565249919891357,0.11117012798786163,1.438562035560608,0.14294958114624023,0.00045330944703891873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013585668057203293,5.0,0.2,0.35,0,3.0000009536743164,0.2403394877910614,,,,,,,,,,,,,,,,
56,1.52156400680542,0.11230810731649399,1.402266025543213,0.13922196626663208,0.0005023193079978228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013979612849652767,5.0,0.2,0.35,0,3.0000009536743164,0.23942527174949646,,,,,,,,,,,,,,,,
57,1.5743701457977295,0.11446207761764526,1.4524695873260498,0.14422303438186646,0.0005119619308970869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014876900240778923,5.0,0.2,0.35,0,3.0000009536743164,0.23862279951572418,,,,,,,,,,,,,,,,
58,1.5850173234939575,0.10393467545509338,1.4747697114944458,0.146168053150177,0.0006544584175571799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012625830713659525,5.0,0.2,0.35,0,3.0000009536743164,0.23790444433689117,,,,,,,,,,,,,,,,
59,1.5267832279205322,0.1096096932888031,1.410509467124939,0.13969992101192474,0.0006755113718099892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013328080531209707,5.0,0.2,0.35,0,3.0000009536743164,0.23731034994125366,,,,,,,,,,,,,,,,
60,1.5681978464126587,0.10359033197164536,1.4575096368789673,0.14452660083770752,0.0006121798069216311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014195599360391498,5.0,0.2,0.35,0,3.0000009536743164,0.23687152564525604,,,,,,,,,,,,,,,,
61,1.5539188385009766,0.10840793699026108,1.4383162260055542,0.14233514666557312,0.0007482331129722297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014389161951839924,5.0,0.2,0.35,0,3.0000009536743164,0.23651517927646637,,,,,,,,,,,,,,,,
62,1.5373362302780151,0.10222773253917694,1.4283732175827026,0.14157429337501526,0.0006315196515060961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001347062992863357,5.0,0.2,0.35,0,3.0000009536743164,0.23625199496746063,,,,,,,,,,,,,,,,
63,1.6107804775238037,0.09911712259054184,1.5049880743026733,0.1491173356771469,0.0006907329079695046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013350374065339565,5.0,0.2,0.35,0,3.0000009536743164,0.23609064519405365,,,,,,,,,,,,,,,,
64,1.4256606101989746,0.10710347443819046,1.311394453048706,0.12944316864013672,0.000848136842250824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014325316296890378,5.0,0.2,0.35,0,3.0000009536743164,0.236031174659729,,,,,,,,,,,,,,,,
65,1.5207926034927368,0.09836699813604355,1.4153931140899658,0.14008647203445435,0.0007264182204380631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014064933639019728,5.0,0.2,0.35,0,3.0000009536743164,0.23609612882137299,,,,,,,,,,,,,,,,
66,1.6779037714004517,0.10334086418151855,1.5686488151550293,0.15532620251178741,0.0007693387451581657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001182815060019493,5.0,0.2,0.35,0,3.0000009536743164,0.2362048327922821,,,,,,,,,,,,,,,,
67,1.545018196105957,0.11406560242176056,1.424382209777832,0.14104241132736206,0.0006979040917940438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013140621595084667,5.0,0.2,0.35,0,3.0000009536743164,0.23640663921833038,,,,,,,,,,,,,,,,
68,1.474983811378479,0.11175428330898285,1.356958031654358,0.13450747728347778,0.0005941626150161028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012542897602543235,5.0,0.2,0.35,0,3.0000009536743164,0.23661144077777863,,,,,,,,,,,,,,,,
69,1.6010537147521973,0.10901285707950592,1.485226035118103,0.14748525619506836,0.0005186725175008178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013629714958369732,5.0,0.2,0.35,0,3.0000009536743164,0.23684875667095184,,,,,,,,,,,,,,,,
70,1.5974169969558716,0.1091734990477562,1.481663465499878,0.14688436686992645,0.000640988175291568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013159883674234152,5.0,0.2,0.35,0,3.0000009536743164,0.23703427612781525,,,,,,,,,,,,,,,,
71,1.4888149499893188,0.1046370416879654,1.3779494762420654,0.13668984174728394,0.0005525529850274324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012457005213946104,5.0,0.2,0.35,0,3.0000009536743164,0.2371547520160675,,,,,,,,,,,,,,,,
72,1.498274803161621,0.10780828446149826,1.383540391921997,0.13716775178909302,0.000593144737649709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001385233597829938,5.0,0.2,0.35,0,3.0000009536743164,0.23724710941314697,,,,,,,,,,,,,,,,
73,1.617384672164917,0.10881568491458893,1.5020416975021362,0.1489628106355667,0.0006206785328686237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001305461279116571,5.0,0.2,0.35,0,3.0000009536743164,0.2372034341096878,,,,,,,,,,,,,,,,
74,1.488481044769287,0.11359558999538422,1.3683950901031494,0.13584604859352112,0.0004967348068021238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012980790343135595,5.0,0.2,0.35,0,3.0000009536743164,0.23701255023479462,,,,,,,,,,,,,,,,
75,1.4339913129806519,0.11416357755661011,1.3127411603927612,0.1302226036787033,0.0005257573211565614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014173181261867285,5.0,0.2,0.35,0,3.0000009536743164,0.23670397698879242,,,,,,,,,,,,,,,,
76,1.5690839290618896,0.11107604950666428,1.4510526657104492,0.14390374720096588,0.0006007611518725753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013910493580624461,5.0,0.2,0.35,0,3.0000009536743164,0.23633483052253723,,,,,,,,,,,,,,,,
77,1.6792280673980713,0.1155456155538559,1.5577292442321777,0.15447533130645752,0.0006487983046099544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011906474828720093,5.0,0.2,0.35,0,3.0000009536743164,0.23594900965690613,,,,,,,,,,,,,,,,
78,1.5158262252807617,0.11237849295139313,1.3972848653793335,0.13847246766090393,0.0006280126399360597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012325765565037727,5.0,0.2,0.35,0,3.0000009536743164,0.23553381860256195,,,,,,,,,,,,,,,,
79,1.5432672500610352,0.11008917540311813,1.426416277885437,0.1413845419883728,0.0006285436684265733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013523655943572521,5.0,0.2,0.35,0,3.0000009536743164,0.2351437658071518,,,,,,,,,,,,,,,,
80,1.476879358291626,0.10717929154634476,1.36329984664917,0.13497024774551392,0.0006798669928684831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012800359399989247,5.0,0.2,0.35,0,3.0000009536743164,0.2347819060087204,,,,,,,,,,,,,,,,
81,1.655946135520935,0.10986575484275818,1.539610505104065,0.15250438451766968,0.0007283338345587254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012939664302393794,5.0,0.2,0.35,0,3.0000009536743164,0.23439456522464752,,,,,,,,,,,,,,,,
82,1.502055048942566,0.10604594647884369,1.3898125886917114,0.13767512142658234,0.0006530730170197785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001239293022081256,5.0,0.2,0.35,0,3.0000009536743164,0.2340041548013687,,,,,,,,,,,,,,,,
83,1.4735820293426514,0.09798748791217804,1.3683092594146729,0.13563479483127594,0.0005980654386803508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014570575440302491,5.0,0.2,0.35,0,3.0000009536743164,0.23363569378852844,,,,,,,,,,,,,,,,
84,1.5646477937698364,0.11176659166812897,1.446209192276001,0.14329370856285095,0.0006636047037318349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013344102771952748,5.0,0.2,0.35,0,3.0000009536743164,0.23334190249443054,,,,,,,,,,,,,,,,
85,1.658778190612793,0.10078351944684982,1.5514898300170898,0.15373888611793518,0.0007050541462376714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001300989417359233,5.0,0.2,0.35,0,3.0000009536743164,0.23305006325244904,,,,,,,,,,,,,,,,
86,1.590492606163025,0.10711192339658737,1.4771615266799927,0.14624661207199097,0.0007347673526965082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012438207631930709,5.0,0.2,0.35,0,3.0000009536743164,0.2328529804944992,,,,,,,,,,,,,,,,
87,1.6305923461914062,0.10719600319862366,1.5166733264923096,0.15036550164222717,0.000650918111205101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013446094235405326,5.0,0.2,0.35,0,3.0000009536743164,0.2327313870191574,,,,,,,,,,,,,,,,
88,1.6175906658172607,0.10292583703994751,1.5080866813659668,0.1495915800333023,0.0006085464265197515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013156331842765212,5.0,0.2,0.35,0,3.0000009536743164,0.2326650768518448,,,,,,,,,,,,,,,,
89,1.5822645425796509,0.10752581804990768,1.4680436849594116,0.14554795622825623,0.0006282002432271838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001339007169008255,5.0,0.2,0.35,0,3.0000009536743164,0.23266927897930145,,,,,,,,,,,,,,,,
90,1.5597566366195679,0.10591372847557068,1.447546362876892,0.14361661672592163,0.0005690075922757387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001259314245544374,5.0,0.2,0.35,0,3.0000009536743164,0.23267589509487152,,,,,,,,,,,,,,,,
91,1.5811082124710083,0.10533227026462555,1.4688869714736938,0.14563409984111786,0.0006272966274991632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013777895364910364,5.0,0.2,0.35,0,3.0000009536743164,0.23268777132034302,,,,,,,,,,,,,,,,
92,1.4926843643188477,0.10404219478368759,1.381506085395813,0.13693290948867798,0.0006088487571105361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014272104017436504,5.0,0.2,0.35,0,3.0000009536743164,0.23274914920330048,,,,,,,,,,,,,,,,
93,1.4539024829864502,0.10594148933887482,1.342079520225525,0.13279308378696442,0.0007074340828694403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011762818321585655,5.0,0.2,0.35,0,3.0000009536743164,0.23283764719963074,,,,,,,,,,,,,,,,
94,1.6222214698791504,0.09819626808166504,1.5178853273391724,0.1500844955444336,0.000852018769364804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001227971282787621,5.0,0.2,0.35,0,3.0000009536743164,0.23289959132671356,,,,,,,,,,,,,,,,
95,1.5658174753189087,0.10398294031620026,1.455100417137146,0.1439511775970459,0.00077943125506863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013468184042721987,5.0,0.2,0.35,0,3.0000009536743164,0.23293046653270721,,,,,,,,,,,,,,,,
96,1.640660285949707,0.10377072542905807,1.5302913188934326,0.15185418725013733,0.0005874724593013525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013196433428674936,5.0,0.2,0.35,0,3.0000009536743164,0.23286321759223938,,,,,,,,,,,,,,,,
97,1.5569148063659668,0.1092183068394661,1.440908432006836,0.14309820532798767,0.0004963146639056504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013575991615653038,5.0,0.2,0.35,0,3.0000009536743164,0.23280087113380432,,,,,,,,,,,,,,,,
98,1.5872125625610352,0.1116136759519577,1.4698799848556519,0.14596712589263916,0.0005104347364977002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011437939247116446,5.0,0.2,0.35,0,3.0000009536743164,0.2328028678894043,,,,,,,,,,,,,,,,
99,1.4947357177734375,0.11072014272212982,1.3773218393325806,0.1365496814250946,0.0005912467604503036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013387535000219941,5.0,0.2,0.35,0,3.0000009536743164,0.23278996348381042,,,,,,,,,,,,,,,,
