alpha,Mach,y,p_real,p_imag,p_abs,p_phase,rho_real,rho_imag,rho_abs
0.2,1.2,-80.0,0.19810844715531248,0.0,0.19810844715531248,0.0,0.28527616390364996,0.0,0.28527616390364996
0.2,1.2,-78.78973267448637,0.19589094429201914,-0.05361311741488683,0.20309512159222678,-0.26714660027641324,0.28208295978050757,-0.07720288907743703,0.29245697509280655
0.2,1.2,-77.61496545990641,0.17988330573314373,-0.10454237167087035,0.20805554824626538,-0.526457135238744,0.25903196025572695,-0.1505410152060533,0.2995999894746221
0.2,1.2,-76.47415858691252,0.15167509875323693,-0.149528480764555,0.21298850236940037,-0.7782714829972418,0.21841214220466115,-0.21532101230095918,0.3067034434119365
0.2,1.2,-75.36586006393593,0.11349690501020537,-0.18599934213241523,0.21789286982502856,-1.02291014707011,0.16343554321469572,-0.2678390526706779,0.31376573254804113
0.2,1.2,-74.28869951012976,0.06798280017741934,-0.21214089729185884,0.22276763998336457,-1.2606756184096342,0.09789523225548384,-0.30548289210027674,0.320785401576045
0.2,1.2,-73.24138250105172,0.01794964305693528,-0.22690303395633904,0.22761189886397182,-1.4918536165879988,0.025847486001986802,-0.3267403688971282,0.3277611343641194
0.2,1.2,-72.2226853780217,-0.033794721476598545,-0.22995481111569557,0.23242482301797304,-1.7167142456895517,-0.0486643989263019,-0.3311349280066016,0.3346917451458812
0.2,1.2,-71.23145047739936,-0.08460762463750059,-0.22160343271968425,0.2372056734986493,-1.9355130434599337,-0.12183497947800084,-0.3191089431163453,0.341576169838055
0.2,1.2,-70.26658174067263,-0.1321297429089266,-0.2026903242672858,0.24195379003594156,-2.148491940235224,-0.19026682978885429,-0.29187406694489154,0.3484134576517558
0.2,1.2,-69.32704067035749,-0.1743661985770186,-0.17447584438250993,0.2466685863242219,-2.3558801765822355,-0.25108732595090677,-0.2512452159108143,0.3552027643068795
