alpha,Mach,reference_cr,reference_ci,reference_omega_i,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,best_err_cr_abs,best_err_ci_abs,best_err_ci_rel,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,best_status,line_id,anchor_alpha,continuation_direction,continuation_step_index,continuation_anchor,continuation_accepted,continuation_stop_reason,acceptance_mode,trusted_spectral,trusted_modal,source_csv,source_label
0.15,1.2,0.209251477505801,0.0890539934231143,0.0133580990134671,0.2051508095184417,0.087158103780471,True,True,0.0041006679873592,0.0018958896426432,0.0217523048392441,2.732693095535446e-06,1.1680993728282036e-18,True,True,validated,M1.20_anchor0.200,0.2,left,2,False,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.175,1.2,0.2259107392431602,0.0762428518157576,0.0133424990677575,0.221063000943301,0.0742500213715962,True,True,0.0048477382998592,0.0019928304441614,0.0268394595361525,2.48514172215903e-06,1.0773235011332662e-20,True,True,validated,M1.20_anchor0.200,0.2,left,1,False,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.2,1.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,0.2369751923681602,0.0622226695240909,True,True,0.002861328125,0.0012760416666666,0.0205076650749068,8.439710203642677e-07,1.359169398096911e-18,True,True,validated,M1.20_anchor0.200,0.2,anchor,0,True,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.225,1.2,0.2516865204931603,0.0508381785200832,0.0114385901670187,,0.0506276458494088,False,True,,0.0002105326706743,0.0041584527019207,1.5483509708789435e-05,7.245568433035257,True,False,spectral_only,M1.20_anchor0.200,0.2,right,1,False,True,,spectral,True,False,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.25,1.2,0.2620365204931603,0.0382335435989964,0.0095583858997491,,0.0377196274731454,False,True,,0.000513916125851,0.0136246341832751,9.192902843490068e-06,240.8475515773175,True,False,spectral_only,M1.20_anchor0.200,0.2,right,2,False,True,,spectral,True,False,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.275,1.2,0.2711302704931603,0.0257089817829667,0.0070699699903158,,0.0262156699669369,False,True,,0.0005066881839702,0.0193276839618928,1.4555697424311276e-05,1329.77652511517,True,False,spectral_only,M1.20_anchor0.200,0.2,right,3,False,True,,spectral,True,False,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.1,1.3,0.2292287978156679,0.0908323489283033,0.0090832348928303,0.2226082059266866,0.0903797904024875,True,True,0.0066205918889812,0.0004525585258157,0.005007297801869,1.804350463478206e-06,6.6093091141535265e-19,True,True,validated,M1.30_anchor0.175,0.175,left,3,False,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.125,1.3,0.2507322022046491,0.0805622512041191,0.0100702814005148,0.2468161865796491,0.0793695428707857,True,True,0.0039160156249999,0.0011927083333333,0.0150272798631973,8.48044792429182e-07,1.4640677329075317e-18,True,True,validated,M1.30_anchor0.175,0.175,left,2,False,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.15,1.3,0.2679464671366972,0.0699190855162764,0.0104878628274414,0.2568936438445621,0.0683971704466796,True,True,0.011052823292135,0.0015219150695968,0.022251140795119,2.48584615768089e-06,5.4148242835433054e-20,True,True,validated,M1.30_anchor0.175,0.175,left,1,False,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
0.175,1.3,0.2821847483866972,0.0590180438496097,0.0103281576736817,0.2648312327616972,0.0576410907246097,True,True,0.0173535156249999,0.001376953125,0.0238883946797369,2.234820388918325e-06,1.157558020111278e-18,True,True,validated,M1.30_anchor0.175,0.175,anchor,0,True,True,,spectral,True,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_summary.csv,spectral_summary
