alpha,Mach,n_points,rank_cr,candidate_cr,candidate_ci,candidate_omega_i,err_cr,err_ci,distance_to_blumen,classification,blumen_cr,blumen_ci
0.2,1.2,1001,1,0.2375310967797008,0.0031168603217157907,0.0006233720643431582,0.0005559044115405198,0.05910580920237514,0.11821292550133876,good_cr_low_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,2,0.23204110833597041,0.0030797516973066013,0.0006159503394613203,0.004934084032189867,0.05914291782678433,0.11838869921364863,good_cr_low_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,3,0.24302504608537348,0.0031536454058526276,0.0006307290811705256,0.006049853717213199,0.059069024118238306,0.11829285342371175,good_cr_low_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,4,0.22655502703372776,0.0030423218133813277,0.0006084643626762656,0.010420165334432518,0.059180347710709603,0.11881849210555938,near_cr_off_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,5,0.2485230064555751,0.00319010197300069,0.000638020394600138,0.011547814087414815,0.059032567551090244,0.11862853002922032,near_cr_off_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,6,0.22107279584568973,0.003004570154196764,0.0006009140308393529,0.015902396522470552,0.05921809936989417,0.11949903508852498,near_cr_off_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,7,0.2540250243587029,0.0032262224854852656,0.0006452444970970532,0.017049831990542608,0.05899644703860567,0.11921837032782215,near_cr_off_ci,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,8,0.2155943546290149,0.002966493248712808,0.0005932986497425616,0.02138083773914537,0.059256176275378124,0.12042557008186594,off_family,0.23697519236816028,0.06222266952409093
0.2,1.25,1001,1,0.23207908495479315,0.0032642654848933778,0.0006528530969786756,0.0018083896759022444,0.05124943309402001,0.10251481767556163,good_cr_low_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,2,0.23757046047432126,0.0033040063606474043,0.0006608012721294809,0.0036829858436258633,0.05120969221826598,0.10248558285477267,good_cr_low_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,3,0.22659163980963423,0.003224228786817274,0.0006448457573634548,0.0072958348210611645,0.051289469792096115,0.10283806713446908,good_cr_low_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,4,0.243065818052853,0.0033434466972663106,0.0006686893394532621,0.009178343422157592,0.051170251881647075,0.10275125643270688,good_cr_low_ci,0.2338874746306954,0.05451369857891339
