alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.0,561,0.064710155275093,0.0038463602432228,0.0007692720486445,0.182123724241564,0.182123724241564,,nearest_to_target,152,True,False,0.0504150390624999,0.0946272786458333,shooting_anchor,0.0504150390624999,0.0946272786458333,0.0189254557291666,True
0.2,1.025,561,0.1033341618783322,0.0044445716480873,0.0008889143296174,0.1774911918912149,0.1774911918912149,,nearest_to_target,150,True,False,0.0983573404947916,0.0931552734374999,shooting_anchor,0.0983573404947916,0.0931552734374999,0.0186310546874999,True
0.2,1.05,561,0.132402350771861,0.0047958985565459,0.0009591797113091,0.1699547523930356,0.1699547523930356,,nearest_to_target,148,True,False,0.1281298828124999,0.0897464192708333,shooting_anchor,0.1281298828124999,0.0897464192708333,0.0179492838541666,True
0.2,1.075,561,0.1518494099492841,0.0050202863675668,0.0010040572735133,0.1612401970911865,0.1612401970911865,,nearest_to_target,152,True,False,0.1520841471354166,0.0856402994791666,shooting_anchor,0.1520841471354166,0.0856402994791666,0.0171280598958333,True
0.2,1.1,561,0.1810509468958581,0.005396560006735,0.001079312001347,0.1518854550037185,0.1518854550037185,,nearest_to_target,150,True,False,0.1726953125,0.0812242838541666,shooting_anchor,0.1726953125,0.0812242838541666,0.0162448567708333,True
0.2,1.125,561,0.1908473143071656,0.0055510794790364,0.0011102158958072,0.1423604239271963,0.1423604239271963,,nearest_to_target,147,True,False,0.19137939453125,0.0767307942708333,shooting_anchor,0.19137939453125,0.0767307942708333,0.0153461588541666,True
0.2,1.15,561,0.2104100527338083,0.0058554723358275,0.0011710944671655,0.1327753212411552,0.1327753212411552,,nearest_to_target,150,True,False,0.2086507161458333,0.0722373046874999,shooting_anchor,0.2086507161458333,0.0722373046874999,0.0144474609374999,True
0.2,1.175,561,0.2300220911326719,0.0061871107804319,0.0012374221560863,0.123382085300943,0.123382085300943,,nearest_to_target,151,True,False,0.2247257486979167,0.0678212890625,shooting_anchor,0.2247257486979167,0.0678212890625,0.0135642578125,True
0.2,1.2,561,0.2398685696372749,0.0064309139917956,0.0012861827983591,0.1141036678011339,0.1141036678011339,,nearest_to_target,151,True,False,0.2398535156249999,0.0634827473958333,shooting_anchor,0.2398535156249999,0.0634827473958333,0.0126965494791666,True
0.2,1.225,561,0.2595619836121656,0.0068247416507851,0.001364948330157,0.105234630655869,0.105234630655869,,nearest_to_target,152,True,False,0.2543155924479165,0.0593766276041666,shooting_anchor,0.2543155924479165,0.0593766276041666,0.0118753255208333,True
