mode_index,alpha,Mach,accepted,gep_cr,gep_ci,distance_to_shooting,gep_omega_i,selection_source,N
0,0.18,1.7,True,0.7575446870377205,0.0052555043912058015,0.01121707105897379,,,
1,0.1815,1.7,True,0.7484741557264956,0.005401873152090592,0.01691602741286776,,,
2,0.18,1.705,True,0.7575462784292886,0.005267152160430624,0.011231804255485468,,,
3,0.1815,1.705,True,0.7484759736195814,0.005414143693993669,0.016930289613528635,,,
4,0.18,1.71,True,0.7575478935754532,0.00527919115309353,0.011260280959392873,,,
5,0.1815,1.71,True,0.7484778188304566,0.005426814607211714,0.016924338346254383,,,
6,0.18,1.7149999999999999,True,0.7575495327240496,0.0052916209436483265,0.011252609819394884,,,
7,0.1815,1.7149999999999999,True,0.7484796916957125,0.005439885586992177,0.016960360202024453,,,
8,0.18,1.72,True,0.7575511961383506,0.005304441269819796,0.01131944673720607,,,
9,0.1815,1.72,True,0.7484815925707088,0.005453356490221581,0.016985094016451513,,,
10,0.18,1.725,True,0.7575528840984583,0.005317652023637032,0.011330590270614664,,,
11,0.1815,1.725,True,0.7484835218306599,0.005467227334122175,0.016992504312003484,,,
12,0.18,1.73,True,0.7575545969005388,0.00533125324834403,0.011355493456629619,,,
13,0.1815,1.73,True,0.748485479870608,0.0054814982939287715,0.016988500634722924,,,
14,0.18,1.7349999999999999,True,0.7575563348583628,0.005345245145684419,0.011381131537734337,,,
15,0.1815,1.7349999999999999,True,0.7484874671062419,0.005496169703116871,0.01702673973821604,,,
16,0.18,1.74,True,0.7575580983007063,0.005359628056677519,0.011407505846831086,,,
17,0.1815,1.74,True,0.7484894839742445,0.005511242052595312,0.01704464833332722,,,
18,0.18,1.745,True,0.7575598875771824,0.005374402492285842,0.0114346180419223,,,
19,0.1815,1.745,True,0.7484915309329842,0.005526715987378375,0.01704212312926769,,,
20,0.18,1.75,True,0.7575617030532625,0.005389569098077035,0.011462470041638178,,,
21,0.1815,1.75,True,0.7484936084633143,0.005542592314403442,0.017061060572192303,,,
22,0.18,1.755,True,0.7575635451138778,0.00540512867707697,0.011460598196007091,,,
23,0.1815,1.755,True,0.7484957170690639,0.005558871988169907,0.01711060343513792,,,
24,0.18,1.76,True,0.7575654141628652,0.005421082185761407,0.011489924476396346,,,
25,0.1815,1.76,True,0.7484978572778254,0.00557555613047547,0.017100551503809295,,,
26,0.18,1.7650000000000001,True,0.7575673106244337,0.005437430728079158,0.011550488543199138,,,
27,0.1815,1.7650000000000001,True,0.7485000296420963,0.005592646014778254,0.017142230906819173,,,
28,0.18,1.77,True,0.7575692349427428,0.005454175565345444,0.011550821617720872,,,
29,0.1815,1.77,True,0.7485022347396733,0.005610143073385055,0.0171422239735104,,,
30,0.18,1.775,True,0.7575711875833153,0.005471318105281814,0.011612915078326756,,,
31,0.1815,1.775,True,0.7485044731752056,0.005628048900367004,0.01716388927880736,,,
32,0.18,1.78,True,0.7575731690333978,0.005488859915095046,0.011614733683042642,,,
33,0.1815,1.78,True,0.7485067455808254,0.005646365249907515,0.017186113672433927,,,
34,0.18,1.7850000000000001,True,0.47667853652505665,0.009135683636330284,0.009764662191988821,,,
35,0.1815,1.7850000000000001,True,0.46684349447084433,0.009092909945897844,0.010230184316722485,,,
36,0.183,1.7850000000000001,True,0.4569988506863867,0.009024511685364556,0.01807930135142338,,,
37,0.186,1.7850000000000001,True,0.45707322941949413,0.008885315117496297,0.01833781009757211,,,
38,0.1875,1.7850000000000001,True,0.45710719244149894,0.008820175793492901,0.018108850461287136,,,
39,0.189,1.7850000000000001,True,0.4571392304612862,0.008757944861278113,0.01829205442215725,,,
40,0.1905,1.7850000000000001,True,0.45716949600867524,0.008698567933925455,0.01852667751972752,,,
41,0.192,1.7850000000000001,True,0.45719812900423096,0.008641987687256214,0.018770429036578284,,,
42,0.1935,1.7850000000000001,True,0.45722525763902855,0.008588145141480017,0.019058519298749504,,,
43,0.195,1.7850000000000001,True,0.4572509992528735,0.00853698069844044,0.019360506040164004,,,
44,0.1965,1.7850000000000001,True,0.4572754612167753,0.008488434954748738,0.019699497181422377,,,
45,0.18,1.79,True,0.4767255420306803,0.009107031767603467,0.008972697766990981,,,
46,0.1815,1.79,True,0.466888316088121,0.00905800066422619,0.01078880716429058,,,
47,0.183,1.79,True,0.45704037232829625,0.008984300167353862,0.019080961685077443,,,
48,0.1845,1.79,True,0.4570772817689999,0.00891369521021123,0.0192436914536145,,,
49,0.186,1.79,True,0.45711199260796676,0.008846150583211039,0.019430741585961555,,,
50,0.1875,1.79,True,0.4571446827698159,0.008781613822549997,0.019641957783304017,,,
51,0.189,1.79,True,0.4571755155225907,0.00872002727551181,0.019857660906806393,,,
52,0.18,1.795,True,0.4767717337194822,0.009077567318498389,0.008234885623301012,,,
53,0.1815,1.795,True,0.46693204354909584,0.009022530786666835,0.011418728183763082,,,
54,0.19949999999999998,1.795,True,0.46729534047063653,0.008397725219617925,0.013083373430419808,,,
55,0.20099999999999998,1.795,True,0.46731717596516054,0.008361750814315849,0.013535471435820111,,,
56,0.20249999999999999,1.795,True,0.46733812362027904,0.00832804887943632,0.01401457056188416,,,
57,0.204,1.795,True,0.46735824721573327,0.008296578647958366,0.014534022801293733,,,
58,0.2055,1.795,True,0.46737760571321907,0.008267301038767896,0.015084860949052791,,,
59,0.207,1.795,True,0.4673962536702472,0.008240178787458566,0.015664387022159002,,,
60,0.2085,1.795,True,0.46741424163472123,0.008215176523891908,0.015852991572674252,,,
61,0.21,1.795,True,0.46743161649659765,0.008192260830322852,0.01648750243494887,,,
62,0.18,1.8,True,0.47681705761763665,0.00904735184451605,0.007731948242007057,0.0016285233320128887,nearest_to_target,561.0
