alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_previous,distance_to_shooting,peak_y,peak_amp,centroid_y,spread_y,phase_span,overlap_to_previous,overlap_to_reference,blumen_ci_target,blumen_ci_abs_err,cr_floor_term,score,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.3,1,0.7759311465185519,0.0176845305247577,0.00353690610495154,0.0,0.038157298707916516,-7.105263157894739,1.0,0.1485521102214623,1.8854973859276718,3.1259669930195475,1.0,1.0,0.020247231045348518,0.002562700520590818,0.0,0.18271518051424088,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,2,0.7508856100150109,0.01925802043390501,0.0038516040867810023,0.025242471763418088,0.03997877630249239,-7.105263157894739,1.0,0.14513588360178087,1.8975486618378918,3.122794939150942,0.9997088969741826,0.9997088969741826,0.020247231045348518,0.0009892106114435077,0.0,0.5858021430977886,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,3,0.8002010709638243,0.01613981452141746,0.0032279629042834923,0.02446576838570851,0.050311676923898756,-7.105263157894739,1.0,0.15079098876197986,1.8761062269074997,3.129379484688412,0.9997605899820627,0.9997605899820627,0.020247231045348518,0.004107416523931057,0.0,0.73627155347548,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,4,0.725191253678363,0.020873850689856862,0.0041747701379713726,0.0511392586756582,0.055397547843921056,-7.105263157894739,1.0,0.14025918096013876,1.9125724996181168,3.1197113906247353,0.9987108773818744,0.9987108773818744,0.020247231045348518,0.0006266196445083444,0.0,1.128976433043157,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,5,0.8235644831093317,0.014616573825069272,0.0029233147650138546,0.04802691108134249,0.06850588848344322,-7.105263157894739,1.0,0.15226644577938953,1.868981837630453,3.1322533727809607,0.9991289209535388,0.9991289209535388,0.020247231045348518,0.005630657220279245,0.0,1.2438841087420498,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,6,0.8458868719434711,0.01311251941753707,0.0026225038835074144,0.07055080908100833,0.08826417014364484,-7.105263157894739,1.0,0.15347276646629285,1.8636934641845662,3.1346486920385894,0.9982144798573183,0.9982144798573183,0.020247231045348518,0.007134711627811447,0.0,1.7163858077712377,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,7,0.6989724318763129,0.022554130187867356,0.004510826037573471,0.07757251937961926,0.07718677512125792,-7.105263157894739,1.0,0.133773807529788,1.9308625052642496,3.1159685696121677,0.9967770475977633,0.9967770475977633,0.020247231045348518,0.002306899142518838,0.0,1.8801876206042287,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,8,0.867032028347171,0.011629697628687917,0.0023259395257375836,0.09190220169043468,0.10795886629995122,-7.105263157894739,1.0,0.15448135513385255,1.8601219707425083,3.1366126296063537,0.9971044957209034,0.9971044957209034,0.020247231045348518,0.0086175334166606,0.0,2.1544476093988845,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,9,0.8868651089556343,0.010174124807087306,0.0020348249614174614,0.1119462763925986,0.1268987586646517,-7.105263157894739,1.0,0.15504429040481535,1.8584052840283325,3.1381876760122434,0.9958685054671879,0.9958685054671879,0.020247231045348518,0.010073106238261211,0.0,2.550055722924605,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,10,0.6723570224797837,0.024333406675721918,0.004866681335144384,0.10442427584944788,0.10165635279026054,-7.105263157894739,1.0,0.12533104478309987,1.9528794979800974,3.1113772769619588,0.9936022404095088,0.9936022404095088,0.020247231045348518,0.0040861756303734,0.0,2.7379970963501403,0.7616080729166668,1e-06,2e-07,True
