alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
-0.0,1.4,,,,,,,,no_mode,0,False,False,0.2566649559482439,0.00373642957676,blended_continuation,0.03,0.001,-0.0,True
0.01,1.4,561.0,0.4077749265804066,0.0055607159612668,5.560715961266817e-05,0.0509479873014889,0.3107163129294601,0.9999325965027112,composite_branch_score,138,True,False,0.4067981104607309,0.031030027103998,blended_continuation,0.1243375651041666,0.0692158203125,0.000692158203125,True
0.02,1.4,561.0,0.5951051406984404,0.0055728316316634,0.0001114566326332,0.0036793512165792,0.1663215173939405,0.9999270547315916,composite_branch_score,141,True,False,0.5966695008629559,0.0039077188238768,blended_continuation,0.7610677083333333,0.0001122160011574,2.244320023148148e-06,True
0.03,1.4,561.0,0.4870706958827043,0.0064380540390231,0.0001931416211706,0.0078088997960631,0.2751621266419394,0.9999916437522018,composite_branch_score,139,True,False,0.4840680209296767,0.0028337906208121,blended_continuation,0.7619401041666666,9.368000096450614e-05,2.810400028935184e-06,True
0.04,1.4,561.0,0.2988199654383501,0.0046605310340438,0.0001864212413617,0.0636171686001298,0.1753800764509423,0.9997594608629898,composite_branch_score,142,True,False,0.2817442515490061,0.0353018598884955,blended_continuation,0.2116764322916666,0.0807594401041666,0.0032303776041666,True
0.05,1.4,561.0,0.3284561310538991,0.0049968064113814,0.000249840320569,0.0647975534517124,0.1812736298068875,0.9995045912786602,composite_branch_score,143,True,False,0.3062146499439258,0.0354272165768813,blended_continuation,0.2282519531249999,0.0805270182291666,0.0040263509114583,True
0.06,1.4,561.0,0.3581897811565429,0.0053606821420244,0.0003216409285214,0.0621714422539426,0.1878899862368069,0.9987026050031276,composite_branch_score,140,True,False,0.3418095589860858,0.0353480818024725,blended_continuation,0.2426464843749999,0.0794423828124999,0.0047665429687499,True
0.07,1.4,561.0,0.4079182753934763,0.0059518811291209,0.0004166316790384,0.0635813650496495,0.2096448640675021,0.9968331566089216,composite_branch_score,146,True,False,0.3827794935653001,0.0351521877618096,blended_continuation,0.2552962239583332,0.0778154296874999,0.0054470800781249,True
0.08,1.4,561.0,0.4677683399699447,0.006710026478016,0.0005368021182412,0.0586402142996119,0.2442966121152322,0.9872663974346902,composite_branch_score,145,True,False,0.4526618869524592,0.0350405304019445,blended_continuation,0.266201171875,0.0757236328124999,0.0060578906249999,True
0.09,1.4,561.0,0.576969030337432,0.0079184621282409,0.0007126615915416,0.0545890555483776,0.328289844806994,0.931923703463262,composite_branch_score,143,True,False,0.5655856658935006,0.0346129559406383,blended_continuation,0.2757975260416666,0.0732444661458333,0.0065920019531249,True
0.1,1.4,561.0,0.7587777591280566,0.0088586158038417,0.0008858615803841,0.0091274175748985,0.0179100236740549,0.9741466254955484,composite_branch_score,150,True,True,0.7615656369340555,0.0045130005158362,blended_continuation,0.7615039062499999,7.951000072337964e-06,7.951000072337965e-07,True
0.11,1.4,561.0,0.761606790723426,0.0075163668596789,0.0008268003545646,0.0066586656865123,0.0149847469226927,0.9725181498422216,composite_branch_score,142,True,True,0.7616678003847088,0.0041871737687795,blended_continuation,0.7615039062499999,2.4170000241126547e-05,2.6587000265239203e-06,True
0.12,1.4,561.0,0.7617770631411813,0.0069625096144718,0.0008355011537366,0.005341473858398,0.0139117991924723,0.9759202309214348,composite_branch_score,148,True,True,0.7616899555683507,0.0042921278416393,blended_continuation,0.7615039062499999,7.951000072337964e-06,9.541200086805557e-07,True
0.13,1.4,561.0,0.7618139884472513,0.0071482457360173,0.0009292719456822,0.0043420633216912,0.0142978542940233,0.9823343429407309,composite_branch_score,148,True,True,0.7616233233906009,0.0049793081662755,blended_continuation,0.7615039062499999,1e-06,1.3e-07,True
0.14,1.4,561.0,0.7617029348176682,0.0082981802771259,0.0011617452387976,0.0067152955483482,0.0165816530609954,0.990123365544986,composite_branch_score,148,True,True,0.7592896485206746,0.0051648416603144,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.113140010127315e-06,True
0.15,1.4,561.0,0.7578134767011243,0.0086027687671425,0.0012904153150713,0.0091821063643142,0.0175496067610971,0.9925656436730022,composite_branch_score,149,True,True,0.75912145618078,0.0040585343165893,blended_continuation,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True
0.16,1.4,561.0,0.7575331561346332,0.0067481105274881,0.0010796976843981,0.0065683875426786,0.0140529661743967,0.9953762161351932,composite_branch_score,152,True,True,0.7591011088293718,0.0035588614286453,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.2721600115740744e-06,True
0.17,1.4,561.0,0.7574992438822863,0.005926135047694,0.0010074429581079,0.0055551766872507,0.0124647537627024,0.99695387403893,composite_branch_score,152,True,True,0.7590984194141202,0.0032661244440986,blended_continuation,0.7615039062499999,2.4170000241126547e-05,4.108900040991513e-06,True
0.18,1.4,561.0,0.7574947615235336,0.0054274274066703,0.0009769369332006,0.0049914748367226,0.0115579530229974,0.9978480102513004,composite_branch_score,148,True,True,0.759101585145985,0.0030645404599478,blended_continuation,0.7615039062499999,7.255900065104167e-06,1.30606201171875e-06,True
0.19,1.4,561.0,0.7575000377433084,0.0051027301665363,0.0009695187316418,0.0046022872959695,0.0109177862439963,0.9983354876443692,composite_branch_score,151,True,True,0.7591075998979423,0.0029465302527045,blended_continuation,0.7615039062499999,2.4170000241126547e-05,4.592300045814044e-06,True
0.2,1.4,561.0,0.7575100623299039,0.0048947704210135,0.0009789540842027,0.0105581629779824,0.0105581629779824,,nearest_to_target,126,True,True,0.7615039062499999,7.951000072337961e-06,shooting_anchor,0.7615039062499999,7.951000072337961e-06,1.5902000144675923e-06,True
0.21,1.4,561.0,0.7575229819284087,0.0047761568805471,0.0010029929449149,0.0040046407978769,0.0103467990890701,0.9985672243979624,composite_branch_score,130,True,True,0.7591075998979423,0.0029372622526081,blended_continuation,0.7615039062499999,1e-06,2.1000000000000003e-07,True
0.22,1.4,561.0,0.7575379546468946,0.0047327690327022,0.0010412091871945,0.004035842286297,0.0102182381804374,0.9986194910281634,composite_branch_score,130,True,True,0.7591153516570452,0.0028753621284247,blended_continuation,0.7615039062499999,2.4170000241126547e-05,5.317400053047841e-06,True
0.23,1.4,561.0,0.7575545442289939,0.0047577736251857,0.0010942879337927,0.0041390940130383,0.0102878919246423,0.9985224194192897,composite_branch_score,151,True,True,0.7591243352881367,0.0028428418196503,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.828730016637732e-06,True
0.24,1.4,561.0,0.7575725023504057,0.0048492026080746,0.0011638086259379,0.0042779907570011,0.0104502059859929,0.998273685656946,composite_branch_score,158,True,True,0.7591342890373963,0.0028578445751403,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.9082400173611117e-06,True
0.25,1.4,561.0,0.7575916754420324,0.0050091498049583,0.0012522874512395,0.0044766117264658,0.0107532231340387,0.9978429312466468,composite_branch_score,157,True,True,0.7591450639102434,0.0029099215648447,blended_continuation,0.7615039062499999,1e-06,2.5e-07,True
0.26,1.4,561.0,0.7576119563540584,0.0052440905703621,0.0013634635482941,0.0047353979431058,0.0111851360701871,0.997170904719924,composite_branch_score,155,True,True,0.7591565677652194,0.0030058898829749,blended_continuation,0.7615039062499999,1e-06,2.6e-07,True
0.27,1.4,561.0,0.7576332465590907,0.0055665758364272,0.0015029754758353,0.0050595328807865,0.0117411692882262,0.9961680398503668,composite_branch_score,159,True,True,0.7591687363124351,0.0031561223423137,blended_continuation,0.7615039062499999,2.4170000241126547e-05,6.525900065104168e-06,True
0.28,1.4,561.0,0.7576553897903832,0.0059996403467317,0.0016798992970848,0.0055332124946757,0.0125994374071896,0.994722351586136,composite_branch_score,162,True,True,0.7591815104354545,0.0033403455018563,blended_continuation,0.7615039062499999,1e-06,2.8e-07,True
0.29,1.4,561.0,0.7576779278431633,0.0065886230750441,0.0019107006917628,0.0061609671372476,0.0137061698005983,0.992737855001036,composite_branch_score,158,True,True,0.7591947963742298,0.0036029646080679,blended_continuation,0.7615039062499999,7.951000072337961e-06,2.3057900209780086e-06,True
0.3,1.4,561.0,0.7576985721724614,0.0074410272419064,0.0022323081725719,0.0071183165652114,0.0153140345048145,0.990235317278676,composite_branch_score,163,True,True,0.759208319205898,0.0039628418451229,blended_continuation,0.7615039062499999,2.4170000241126547e-05,7.2510000723379636e-06,True
