Mach,cluster_id,cluster_cr,cluster_ci,cluster_omega_i_max,n_modes,rep_cr,rep_ci,rep_omega_i,distance_to_shooting,peak_y,peak_amp,centroid_y,spread_y,phase_span
1.3,0,9.78753929220332,0.033091791246236395,0.0066183582492472795,1,9.78753929220332,0.033091791246236395,0.0066183582492472795,9.02617385037285,-4.463846013141786,1.0,0.06066330792087321,1.968035154240685,39.11169506172434
1.3,1,8.962940580814008,0.04035857511531074,0.008071715023062148,1,8.962940580814008,0.04035857511531074,0.008071715023062148,8.201729685899824,5.112345367331491,1.0,0.04091111531548808,2.0359860777343,36.03140596615041
1.3,2,8.169748496426623,0.0486774551964045,0.0097354910392809,1,8.169748496426623,0.0486774551964045,0.0097354910392809,7.408780069863338,-5.112345367331481,1.0,0.027765741122675804,2.074361028680498,32.958713691803865
1.3,3,7.398022314879126,0.05546867090832636,0.011093734181665274,1,7.398022314879126,0.05546867090832636,0.011093734181665274,6.6373413834897885,-5.112345367331481,1.0,0.018832426532027796,2.1109512870381484,29.803963700765184
1.3,4,6.634185633856023,0.05630719911301063,0.011261439822602127,1,6.634185633856023,0.05630719911301063,0.011261439822602127,5.873657187943697,5.957419982348398,0.9999999999999999,-0.02889188094188951,2.136219126530476,26.513354486108113
1.3,5,5.874342959435866,0.05115812548512111,0.010231625097024223,1,5.874342959435866,0.05115812548512111,0.010231625097024223,5.113758522435537,-5.957419982348386,1.0,-0.057631697814651855,2.1520821938566757,23.04659260376583
1.3,6,5.096209372878476,0.03106960470118203,0.0062139209402364065,1,5.096209372878476,0.03106960470118203,0.0062139209402364065,4.335046650547479,-5.957419982348386,0.9999999999999999,-0.07094757046152184,2.1550464358768644,19.379365939332263
1.3,7,4.3245586360923545,0.025249496887856753,0.005049899377571351,1,4.3245586360923545,0.025249496887856753,0.005049899377571351,3.563308387161338,-7.105263157894739,1.0,-0.17549236529872977,2.127716240229825,15.966123920881902
1.3,8,2.7491128789598496,0.021650803125371397,0.004330160625074279,1,2.7491128789598496,0.021650803125371397,0.004330160625074279,1.9879764108123161,-7.105263157894739,1.0,-0.2056849537733614,1.9434378712254905,10.035001291000558
1.3,9,1.9164892796446151,0.02892733699003337,0.005785467398006674,1,1.9164892796446151,0.02892733699003337,0.005785467398006674,1.156329336106304,-7.105263157894739,1.0,-0.18773860696333783,2.3847678006039565,6.3299906183297265
