prev_mach,prev_cluster_id,prev_cr,prev_ci,next_mach,next_cluster_id,next_cr,next_ci,match_score
1.3,10,0.8235644831093317,0.014616573825069272,1.275,10,0.8236089337505794,0.014881873866427595,0.0023770049468462492
1.3,16,0.10028587576317469,0.017690903865079977,1.275,16,0.10029914978324085,0.017255284376069158,0.034787379899572195
1.3,11,0.35552862748030517,0.18851486964666406,1.275,11,0.3646043375442132,0.19244029682616384,0.041443173265260494
1.3,9,1.9164892796446151,0.02892733699003337,1.275,9,1.9571253418171801,0.027566805352214334,0.04981837377846013
1.3,12,0.29216093364574014,0.025850852820361755,1.275,12,0.32003452716177583,0.026040552052581104,0.05216759461983533
1.3,13,0.26436667636222044,0.02480729533265556,1.275,13,0.29209775902214324,0.025114834359167275,0.06792219969691454
1.3,14,0.23673313239920607,0.023718693816896192,1.275,14,0.26432344018021353,0.024121833264514395,0.06937221866774412
1.3,7,4.3245586360923545,0.025249496887856753,1.275,7,4.409011239402459,0.02185169526790653,0.08684216792545059
1.3,15,0.20924593068275674,0.022601078193654638,1.275,15,0.23670698567797827,0.02308445201161511,0.09324997946718477
1.3,8,2.7491128789598496,0.021650803125371397,1.275,8,2.798735445756415,0.020443831713621692,0.09806018448784574
1.3,6,5.096209372878476,0.03106960470118203,1.275,6,5.197056289955181,0.02690172441215734,0.10583569348140517
1.3,5,5.874342959435866,0.05115812548512111,1.275,5,5.9899043343904035,0.04998319661535044,0.1086908267903723
1.3,4,6.634185633856023,0.05630719911301063,1.275,4,6.7643668802200985,0.055382588242472414,0.11947871943799333
1.3,3,7.398022314879126,0.05546867090832636,1.275,3,7.54259136877381,0.05521974556280016,0.1311650264845214
1.3,2,8.169748496426623,0.0486774551964045,1.275,2,8.32903573046683,0.048509211619824556,0.14467089827125929
1.3,1,8.962940580814008,0.04035857511531074,1.275,1,9.137600651265027,0.040299023157885375,0.1587597006265877
1.3,0,9.78753929220332,0.033091791246236395,1.275,0,9.978376524113127,0.033051820621227516,0.1722462309223954
