alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,overlap_to_anchor,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.0000000000000016,561,0.15140888900084384,0.005337963369821707,0.0010675926739643416,0.0738020232785014,0.2051586825245393,0.9974117421401905,0.43249397613335594,anchor_tracking_score,149,True,False,0.13440304587366872,0.04124597062285085,blended_continuation,0.05041503906250005,0.09462727864583333,0.018925455729166665,True
0.2,1.0250000000000015,561,0.19039505041444785,0.005658431940862532,0.0011316863881725065,0.07286824541561666,0.19772134213282475,0.997256933103783,0.3692748516666076,anchor_tracking_score,148,True,False,0.17122015789179373,0.04080848416946954,blended_continuation,0.09835734049479179,0.09315527343749998,0.018631054687499995,True
0.2,1.0500000000000014,561,0.21979536948979506,0.005910624657449247,0.0011821249314898493,0.07172702284129458,0.19109244695072436,0.9974053943421504,0.30162024752207967,anchor_tracking_score,148,True,False,0.19495237685286704,0.03955431471411936,blended_continuation,0.12812988281250015,0.08974641927083334,0.017949283854166668,True
0.2,1.0750000000000013,561,0.23950070621311165,0.006092911676310045,0.001218582335262009,0.06795617830227828,0.18152906771648547,0.9964005039109016,0.23384174058915738,anchor_tracking_score,151,True,False,0.21637909663391536,0.038043785451209594,blended_continuation,0.15208414713541676,0.08564029947916667,0.017128059895833336,True
0.2,1.1000000000000012,561,0.2592423962995811,0.0063127760992382044,0.001262555219847641,0.06438415590054755,0.17302408413477738,0.995069438531734,0.15240789593826493,anchor_tracking_score,149,True,False,0.23649594211558134,0.03642887790990259,blended_continuation,0.17269531250000017,0.08122428385416668,0.016244856770833337,True
0.2,1.125000000000001,561,0.27902969519263543,0.006565273947059864,0.0013130547894119728,0.06103444551315467,0.16545505787147968,0.9934172520887876,0.055633224115312796,anchor_tracking_score,148,True,False,0.25587277733376224,0.0348007157462227,blended_continuation,0.19137939453125016,0.0767307942708333,0.015346158854166661,True
0.2,1.150000000000001,561,0.29886836586877025,0.006847330063148954,0.001369466012629791,0.05584322770141259,0.15887926059440102,0.9873002513019684,0.05697036710177959,anchor_tracking_score,152,True,False,0.28067708336328795,0.033245925295270436,blended_continuation,0.2086507161458335,0.07223730468749996,0.014447460937499993,True
0.2,1.175000000000001,561,0.3286946615082576,0.007251672367117413,0.0014503344734234827,0.05435533669410275,0.15963786736694566,0.98461143948921,0.2120597424765696,anchor_tracking_score,148,True,False,0.30507984348007955,0.03173045397806218,blended_continuation,0.22472574869791676,0.0678212890625,0.013564257812500001,True
0.2,1.2000000000000008,561,0.3586492400015214,0.007669897255103629,0.001533979451020726,0.050987319021672486,0.16301141399751307,0.9774444002133804,0.37693464059647086,anchor_tracking_score,147,True,False,0.33518146322557657,0.030302673014012602,blended_continuation,0.23985351562500015,0.06348274739583332,0.012696549479166664,True
0.2,1.2250000000000008,561,0.39873342829262753,0.008182623426132121,0.0016365246852264243,0.047086129613426966,0.17703054980763158,0.967538539692274,0.5613494970613195,anchor_tracking_score,153,True,False,0.37714530704853655,0.029105437667546155,blended_continuation,0.2543155924479167,0.05937662760416666,0.011875325520833334,True
0.2,1.2500000000000007,561,0.45903178344894985,0.008924644376465816,0.0017849288752931633,0.04197715513819529,0.21236489544916273,0.9569197373666326,0.749771886969185,anchor_tracking_score,155,True,False,0.4467196008405602,0.028990110437049754,blended_continuation,0.26803873697916686,0.05534798177083333,0.011069596354166667,True
0.2,1.2750000000000006,561,0.5658401767481558,0.011418196214527363,0.0022836392429054727,0.02465182487225607,0.2956014113889552,0.9578104520283491,0.9074834113537973,anchor_tracking_score,154,True,False,0.5670425844575847,0.023729437878477113,blended_continuation,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.3000000000000005,561,0.7575074975334745,0.005181224589128528,0.0010362449178257056,0.00457977599778105,0.01114242458572154,0.999578024561944,0.989124037956826,anchor_tracking_score,152,True,True,0.7591468951018485,0.0030430756348540228,blended_continuation,0.761608072916667,1e-06,2e-07,True
0.2,1.3250000000000004,561,0.7575061098919694,0.0050711260580900384,0.0010142252116180077,0.0044807385232703435,0.010975792469103782,0.9996391814558292,0.9929402353962071,anchor_tracking_score,152,True,True,0.7591997496468639,0.0029969634502793607,blended_continuation,0.761739908854167,7.951000072337961e-06,1.5902000144675923e-06,True
0.2,1.3500000000000003,561,0.7575063101753284,0.004989638417084043,0.0009979276834168086,0.0042950474634222595,0.010576502712414816,0.9996863965303022,0.9957467888214744,anchor_tracking_score,151,True,True,0.759106187907767,0.002996661751747909,blended_continuation,0.7615039062500002,9.368000096450614e-05,1.873600019290123e-05,True
0.2,1.3750000000000002,561,0.7575077090129448,0.004931982918936845,0.000986396583787369,0.0043006907814982865,0.010647054126894397,0.9997224177085114,0.9977318912971314,anchor_tracking_score,151,True,True,0.7591277821895974,0.002940042652490888,blended_continuation,0.7615543619791668,7.951000072337964e-06,1.590200014467593e-06,True
0.2,1.4000000000000001,561,0.7575100623298846,0.004894770420769922,0.0009789540841539845,0.004250499919166027,0.010571033297793178,0.9997493132049224,0.9990375228445335,anchor_tracking_score,123,True,True,0.759109489846665,0.0029257236221008325,blended_continuation,0.7615039062499999,1e-06,2e-07,True
0.2,1.425,561,0.7575132122444417,0.004875539370168055,0.000975107874033611,0.004217970447958796,0.010534238222637245,0.9997686211191008,0.9997686211191008,anchor_tracking_score,130,True,True,0.7591117956204564,0.00292388584752481,blended_continuation,0.7615039062499999,1e-06,2e-07,True
