alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,overlap_to_anchor,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.1500000000000008,561,0.3286160219102551,0.007135528703814315,0.001427105740762863,0.06708089139952807,0.17704417395687197,0.9942447156393945,0.1727949971027821,anchor_tracking_score,151,True,False,0.2866457752354833,0.03330012494097268,blended_continuation,0.2086507161458334,0.07223730468749996,0.014447460937499993,True
0.2,1.1750000000000007,561,0.3386424812952498,0.0073420051099544964,0.0014684010219908994,0.059208415024622374,0.16615654400384836,0.9894031480957125,0.2761358206919172,anchor_tracking_score,151,True,False,0.3050798434800718,0.031730453977272345,blended_continuation,0.22472574869791676,0.0678212890625,0.013564257812500001,True
0.2,1.2000000000000006,561,0.3586492400015084,0.007669897253787242,0.0015339794507574485,0.05098731902283038,0.16301141399930655,0.9774444002133872,0.41116826716527316,anchor_tracking_score,148,True,False,0.3351814632255348,0.03030267301334089,blended_continuation,0.239853515625,0.06348274739583332,0.012696549479166664,True
0.2,1.2250000000000005,561,0.39873342829255803,0.008182623425012603,0.0016365246850025207,0.04474152928171606,0.17703054980886984,0.9606353175732328,0.5924412248781012,anchor_tracking_score,150,True,False,0.38317549439216575,0.029157341153850342,blended_continuation,0.2543155924479167,0.05937662760416666,0.011875325520833334,True
0.2,1.2500000000000004,561,0.46908209568833187,0.009011150186972792,0.0018022300373945585,0.0425398180455918,0.22137488549062254,0.9594568886489088,0.7911336740480915,anchor_tracking_score,155,True,False,0.4524324607171445,0.02858425529754654,blended_continuation,0.2680387369791668,0.05534798177083333,0.011069596354166667,True
0.2,1.2750000000000004,561,0.5753616098757963,0.010741770982022005,0.002148354196404401,0.027274972951373776,0.3051351514461345,0.9626561867555559,0.9302983358415052,anchor_tracking_score,151,True,False,0.5670425844575798,0.02372943787786245,blended_continuation,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.3000000000000003,561,0.7575074975334665,0.005181224588104085,0.0010362449176208172,0.004579775994824633,0.011142424583819305,0.9995780245619327,0.9945643355553495,anchor_tracking_score,152,True,True,0.7591468951023428,0.0030430756355089694,blended_continuation,0.7616080729166668,1e-06,2e-07,True
0.2,1.3250000000000002,561,0.7575061098927934,0.005071126059181616,0.0010142252118363231,0.004468728609696533,0.010945872075299908,0.9996391814558465,0.9971600318127414,anchor_tracking_score,152,True,True,0.7591997496468551,0.0030034510502293973,blended_continuation,0.7617399088541668,2.4170000241126537e-05,4.834000048225307e-06,True
0.2,1.35,561,0.757506310175314,0.004989638416888245,0.000997927683377649,0.004295047462351534,0.010576502712057642,0.9996863965303012,0.9988200193052799,anchor_tracking_score,153,True,True,0.7591061879077721,0.00299666175213291,blended_continuation,0.76150390625,9.368000096450614e-05,1.873600019290123e-05,True
0.2,1.375,561,0.7575077090129534,0.004931982919578513,0.0009863965839157025,0.004300690782417413,0.010647054128078095,0.9997224177085131,0.9997224177085131,anchor_tracking_score,150,True,True,0.759127782189609,0.0029400426526370563,blended_continuation,0.7615543619791666,7.951000072337961e-06,1.5902000144675923e-06,True
0.2,1.4,561,0.7575100623299039,0.004894770421013535,0.000978954084202707,0.010558162977982465,0.010558162977982465,1.0,1.0,nearest_to_target,126,True,True,0.7615039062499999,7.951000072337961e-06,anchor_shooting,0.7615039062499999,7.951000072337961e-06,1.5902000144675923e-06,True
