alpha,Mach,n_points,cr,ci,omega_i,abs_c,blumen_cr,blumen_ci,err_cr,err_ci,distance_to_blumen,inside_blumen_box
0.2,1.2,121,0.25786823934982545,0.03961670067015958,0.007923340134031917,0.2608936791824744,0.23697519236816028,0.06222266952409093,0.020893046981665164,0.022605968853931353,0.03078228776428065,False
0.2,1.2,121,0.21199671839228154,0.03692122240691929,0.007384244481383859,0.21518779071573166,0.23697519236816028,0.06222266952409093,0.02497847397587874,0.025301447117171638,0.03555400664322777,False
0.2,1.2,121,0.3043010318231006,0.04218674944296168,0.008437349888592335,0.3072113926877825,0.23697519236816028,0.06222266952409093,0.0673258394549403,0.020035920081129255,0.07024390900149134,False
0.2,1.2,121,0.16649726032258638,0.03411120928213305,0.00682224185642661,0.16995561859972907,0.23697519236816028,0.06222266952409093,0.0704779320455739,0.028111460241957882,0.07587748745415672,False
0.2,1.2,121,0.3514494320933719,0.04444832173980376,0.008889664347960752,0.35424900370253515,0.23697519236816028,0.06222266952409093,0.11447423972521165,0.017774347784287173,0.11584592785170318,False
0.2,1.2,121,0.12117193713258263,0.031044087333853738,0.006208817466770748,0.12508546560993605,0.23697519236816028,0.06222266952409093,0.11580325523557765,0.031178582190237194,0.1199270524550225,False
0.2,1.2,121,0.3992488045563228,0.046052454157777506,0.009210490831555502,0.4018960518263485,0.23697519236816028,0.06222266952409093,0.1622736121881625,0.016170215366313426,0.16307728559669835,False
0.2,1.2,121,0.07571816174601544,0.027290953494393953,0.005458190698878791,0.08048624827154592,0.23697519236816028,0.06222266952409093,0.16125703062214486,0.03493171602969698,0.1649971354595308,False
0.2,1.2,121,0.39286662255521454,0.19338907358613655,0.03867781471722731,0.43788527824128265,0.23697519236816028,0.06222266952409093,0.15589143018705426,0.1311664040620456,0.203732087704252,False
0.2,1.2,121,0.4472477820286721,0.04679187067454141,0.009358374134908282,0.44968884541512655,0.23697519236816028,0.06222266952409093,0.21027258966051182,0.015430798849549524,0.21083802198767007,False
0.2,1.2,121,0.0289991840448738,0.021220455736034118,0.004244091147206824,0.035934112162587885,0.23697519236816028,0.06222266952409093,0.20797600832328647,0.04100221378805681,0.21197924797868598,False
0.2,1.2,121,0.49493902646876364,0.04690822720413818,0.009381645440827638,0.49715693870374833,0.23697519236816028,0.06222266952409093,0.25796383410060336,0.01531444231995275,0.2584180176525135,False
0.2,1.2,121,-0.0289991840448562,0.02122045573597953,0.004244091147195906,0.03593411216254144,0.23697519236816028,0.06222266952409093,0.26597437641301647,0.041002213788111405,0.26911623965085973,False
0.2,1.2,121,0.5420770418667702,0.046809095970279616,0.009361819194055923,0.544094303209088,0.23697519236816028,0.06222266952409093,0.3051018494986099,0.015413573553811316,0.30549094392006315,False
0.2,1.2,121,-0.07571816174600997,0.027290953494414703,0.005458190698882941,0.08048624827154781,0.23697519236816028,0.06222266952409093,0.31269335411417026,0.03493171602967623,0.3146384567912,False
0.2,1.2,121,0.5884810550818815,0.04679688466032879,0.009359376932065759,0.5903388015404346,0.23697519236816028,0.06222266952409093,0.35150586271372125,0.015425784863762143,0.351844179091797,False
0.2,1.2,121,-0.1211719371325932,0.031044087333848447,0.00620881746676969,0.125085465609945,0.23697519236816028,0.06222266952409093,0.35814712950075345,0.031178582190242485,0.3595016972936611,False
0.2,1.2,121,0.6337371956732025,0.04707619233570961,0.009415238467141922,0.6354832814988634,0.23697519236816028,0.06222266952409093,0.39676200330504224,0.015146477188381323,0.3970510081058207,False
0.2,1.2,121,-0.16649726032255774,0.03411120928213984,0.006822241856427969,0.16995561859970237,0.23697519236816028,0.06222266952409093,0.403472452690718,0.02811146024195109,0.40445058323261013,False
0.2,1.2,121,0.6768463168179293,0.04756302106791171,0.009512604213582342,0.6785154217577544,0.23697519236816028,0.06222266952409093,0.439871124449769,0.014659648456179224,0.4401153387665135,False
0.2,1.2,121,-0.2119967183922613,0.03692122240691313,0.007384244481382626,0.21518779071571065,0.23697519236816028,0.06222266952409093,0.4489719107604216,0.0253014471171778,0.449684266878537,False
0.2,1.2,121,0.7165937364024277,0.046620782813278354,0.00932415656265567,0.7181086828895157,0.23697519236816028,0.06222266952409093,0.47961854403426746,0.015601886710812578,0.47987223992484457,False
0.2,1.2,121,-0.25786823934981346,0.039616700670183885,0.007923340134036777,0.26089367918246625,0.23697519236816028,0.06222266952409093,0.49484343171797374,0.022605968853907046,0.49535951766595215,False
0.2,1.2,121,0.7548386382284632,0.042079207663019653,0.008415841532603932,0.7560106014337022,0.23697519236816028,0.06222266952409093,0.5178634458603029,0.020143461861071278,0.5182550603844165,False
0.2,1.2,121,-0.30430103182310525,0.042186749442964265,0.008437349888592854,0.30721139268778747,0.23697519236816028,0.06222266952409093,0.5412762241912655,0.020035920081126667,0.5416469227903454,False
0.2,1.2,121,0.7935634430397855,0.03596604456734421,0.007193208913468842,0.7943780551418695,0.23697519236816028,0.06222266952409093,0.5565882506716253,0.026256624956746723,0.5572072245940637,False
0.2,1.2,121,-0.3514494320934355,0.04444832173984429,0.008889664347968859,0.3542490037026033,0.23697519236816028,0.06222266952409093,0.5884246244615958,0.017774347784246643,0.5886930151716814,False
0.2,1.2,121,0.8313624024690536,0.030089869036103303,0.006017973807220661,0.8319067522611693,0.23697519236816028,0.06222266952409093,0.5943872101008933,0.032132800487987626,0.5952551321901596,False
0.2,1.2,121,0.8667706076438559,0.024640844848879816,0.004928168969775964,0.8671207859982171,0.23697519236816028,0.06222266952409093,0.6297954152756957,0.037581824675211116,0.630915730227266,False
