alpha,Mach,n_points,cr,ci,omega_i,abs_c,blumen_cr,blumen_ci,err_cr,err_ci,distance_to_blumen,inside_blumen_box
0.2,1.2,121,0.25786823934982545,0.03961670067015958,0.007923340134031917,0.2608936791824744,0.23697519236816028,0.06222266952409093,0.020893046981665164,0.022605968853931353,0.03078228776428065,False
0.2,1.2,121,0.21199671839228154,0.03692122240691929,0.007384244481383859,0.21518779071573166,0.23697519236816028,0.06222266952409093,0.02497847397587874,0.025301447117171638,0.03555400664322777,False
0.2,1.2,121,0.3043010318231006,0.04218674944296168,0.008437349888592335,0.3072113926877825,0.23697519236816028,0.06222266952409093,0.0673258394549403,0.020035920081129255,0.07024390900149134,False
0.2,1.2,121,0.16649726032258638,0.03411120928213305,0.00682224185642661,0.16995561859972907,0.23697519236816028,0.06222266952409093,0.0704779320455739,0.028111460241957882,0.07587748745415672,False
0.2,1.2,121,0.3514494320933719,0.04444832173980376,0.008889664347960752,0.35424900370253515,0.23697519236816028,0.06222266952409093,0.11447423972521165,0.017774347784287173,0.11584592785170318,False
0.2,1.2,121,0.12117193713258263,0.031044087333853738,0.006208817466770748,0.12508546560993605,0.23697519236816028,0.06222266952409093,0.11580325523557765,0.031178582190237194,0.1199270524550225,False
0.2,1.2,121,0.3992488045563228,0.046052454157777506,0.009210490831555502,0.4018960518263485,0.23697519236816028,0.06222266952409093,0.1622736121881625,0.016170215366313426,0.16307728559669835,False
0.2,1.2,121,0.07571816174601544,0.027290953494393953,0.005458190698878791,0.08048624827154592,0.23697519236816028,0.06222266952409093,0.16125703062214486,0.03493171602969698,0.1649971354595308,False
0.2,1.2,121,0.39286662255521454,0.19338907358613655,0.03867781471722731,0.43788527824128265,0.23697519236816028,0.06222266952409093,0.15589143018705426,0.1311664040620456,0.203732087704252,False
0.2,1.2,121,0.4472477820286721,0.04679187067454141,0.009358374134908282,0.44968884541512655,0.23697519236816028,0.06222266952409093,0.21027258966051182,0.015430798849549524,0.21083802198767007,False
0.2,1.2,121,0.0289991840448738,0.021220455736034118,0.004244091147206824,0.035934112162587885,0.23697519236816028,0.06222266952409093,0.20797600832328647,0.04100221378805681,0.21197924797868598,False
0.2,1.2,121,0.49493902646876364,0.04690822720413818,0.009381645440827638,0.49715693870374833,0.23697519236816028,0.06222266952409093,0.25796383410060336,0.01531444231995275,0.2584180176525135,False
