alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,overlap_to_anchor,score,target_cr,target_ci,shooting_cr,shooting_ci
0.2,1.2000000000000004,1,0.35864924000154214,0.007669897254044323,0.0015339794508088646,0.05098731902207555,0.16301141399897906,0.9774444002134026,0.490449034663735,1.6564676232287392,0.3351814632255714,0.030302673013173582,0.239853515625,0.06348274739583332
0.2,1.2000000000000004,2,0.34867249045476745,0.007585415759515293,0.0015170831519030587,0.04739517828022667,0.15601158937477574,0.9703043235554696,0.46295859100933945,1.6804889212617784,0.3351814632255714,0.030302673013173582,0.239853515625,0.06348274739583332
0.2,1.2000000000000004,3,0.3387091505948708,0.007496598095780629,0.001499319619156126,0.04574836380381788,0.14936610130510702,0.9622092255217044,0.435058904344138,1.7441580709226085,0.3351814632255714,0.030302673013173582,0.239853515625,0.06348274739583332
0.2,1.2000000000000004,4,0.32875971877288723,0.007403699021659179,0.001480739804331836,0.04624598189326065,0.14312145759593578,0.9531857326702673,0.4068275980128925,1.8512631990685593,0.3351814632255714,0.030302673013173582,0.239853515625,0.06348274739583332
0.2,1.2000000000000004,5,0.3188245726927769,0.007307005498954715,0.001461401099790943,0.04881342812792219,0.13732910749386296,0.9432668666501337,0.3783433413852446,2.0002146789153463,0.3351814632255714,0.030302673013173582,0.239853515625,0.06348274739583332
0.2,1.2250000000000003,1,0.398733428292619,0.008182623424733759,0.0016365246849467518,0.04708612961511559,0.17703054980924213,0.9675385396923034,0.6623727798654836,1.6250093128585006,0.37714530704849175,0.029105437667088487,0.2543155924479167,0.05937662760416666
0.2,1.2250000000000003,2,0.3887116914764873,0.008110317419285938,0.0016220634838571878,0.043554122027828004,0.16904215354161514,0.9592340438829208,0.6389492896943325,1.6256118787802505,0.37714530704849175,0.029105437667088487,0.2543155924479167,0.05937662760416666
0.2,1.2250000000000003,3,0.37869966007911215,0.00803408171324588,0.001606816342649176,0.042171366829615003,0.16129359675674368,0.9498941056549515,0.614642724805184,1.6734529149178694,0.37714530704849175,0.029105437667088487,0.2543155924479167,0.05937662760416666
0.2,1.2250000000000003,4,0.36869830458684394,0.007953724135088483,0.0015907448270176966,0.04313851865730037,0.1538202354731562,0.9395126361572748,0.5894968297708298,1.7728018048067977,0.37714530704849175,0.029105437667088487,0.2543155924479167,0.05937662760416666
0.2,1.2250000000000003,5,0.3587085058756574,0.007869162326504552,0.0015738324653009105,0.04630154639805241,0.14666272972793748,0.928091628598931,0.5635631330012476,1.920367325445069,0.37714530704849175,0.029105437667088487,0.2543155924479167,0.05937662760416666
