alpha,Mach,n_points,rank,cand_cr,cand_ci,cand_omega_i,distance_to_shooting,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.2,561,1,0.23986856963727496,0.006430913991795688,0.0012861827983591378,0.11410366780113398,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,2,0.2496879705873072,0.006548200391679267,0.0013096400783358534,0.11429298786311677,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,3,0.230062686995214,0.006311840443871657,0.0012623680887743315,0.11476023149199929,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,4,0.25952123409985495,0.006663618922959153,0.0013327237845918308,0.11532767487326741,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,5,0.2202699400710173,0.006191011121918056,0.0012382022243836114,0.11624495091227824,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,6,0.2693686597969454,0.006777042549872176,0.0013554085099744353,0.11718912741291221,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,7,0.2104899132039203,0.0060684046847854336,0.0012136809369570868,0.11852361850243125,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,8,0.27923049529916355,0.006888301054632778,0.0013776602109265557,0.1198426967108451,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,9,0.20072216197238435,0.005943942935545081,0.0011887885871090164,0.12154883345208711,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,10,0.2891069278106119,0.006997184714906824,0.0013994369429813649,0.12324112048114985,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,11,0.1909662166403012,0.005817485422366918,0.0011634970844733837,0.12526411200297302,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,12,0.2989980747780591,0.007103448979424675,0.0014206897958849351,0.12732863007633258,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,13,0.18122158483288234,0.005688822237117496,0.0011377644474234994,0.1296080801856761,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,14,0.3089039738718668,0.0072068205830679456,0.0014413641166135891,0.13204501330472576,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,15,0.17148775352576975,0.0055576643155416374,0.0011115328631083276,0.1345181713629921,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,16,0.3188245726927779,0.007307005499190084,0.001461401099838017,0.13732910749347846,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,17,0.1617641903846064,0.005423630324268672,0.0010847260648537344,0.1399335092714342,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,18,0.32875971877282667,0.007403699021924954,0.001480739804384991,0.14312145759548164,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,19,0.15205034452427896,0.005286228837975724,0.0010572457675951448,0.1457968996390621,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,20,0.3387091505948392,0.007496598096036648,0.0014993196192073298,0.14936610130470232,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,21,0.14234564660338503,0.0051448339764146415,0.0010289667952829284,0.15205601957720308,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,22,0.3486724904547838,0.007585415759790105,0.001517083151958021,0.15601158937439336,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,23,0.13264950823334995,0.004998651688045208,0.0009997303376090417,0.15866397512939043,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,24,0.3586492400015338,0.0076698972543993976,0.0015339794508798796,0.16301141399848676,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,25,0.12296132048036001,0.0048466724292541225,0.0009693344858508245,0.16557941428715636,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,26,0.3686387791626672,0.0077498370156831985,0.0015499674031366397,0.17032402444233694,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,27,0.11328045118414229,0.004687603360903266,0.0009375206721806532,0.17276636388574654,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,28,0.3786403688858713,0.0078250954745207,0.00156501909490414,0.17791258389341272,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,29,0.1036062405138511,0.004519768865647897,0.0009039537731295793,0.1801939269892787,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,30,0.38865315770479947,0.007895614414266646,0.0015791228828533291,0.18574458510416383,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,31,0.0939379938280467,0.004340959956586428,0.0008681919913172857,0.18783594860226668,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,32,0.3986761916380875,0.007961429643553678,0.0015922859287107356,0.19379140671287926,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,33,0.08427497014170619,0.004148197661893057,0.0008296395323786114,0.195670741254831,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,34,0.40870842642322547,0.008022679987795666,0.0016045359975591332,0.20202786245538762,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,35,0.07461636308539733,0.0039373434595257216,0.0007874686919051443,0.20368096891744217,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,36,0.4187487407080191,0.008079612041886211,0.0016159224083772423,0.2104317732323121,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,37,0.06496126832109818,0.0037024189322202804,0.0007404837864440562,0.2118538384166758,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,38,0.42879594862968257,0.008132580723780548,0.0016265161447561096,0.21898357653537642,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,39,0.0553086249421805,0.003434322765375325,0.000686864553075065,0.220181901798338,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,40,0.4388488102692761,0.008182046293689548,0.0016364092587379097,0.22766597782742343,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,41,0.0456571029298759,0.003118144728485875,0.0006236289456971751,0.22866523068538833,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,42,0.4489060387387225,0.00822856905860196,0.0016457138117203921,0.2364636426918603,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,43,0.03600486730678544,0.002726616719068679,0.0005453233438137358,0.23731730042373964,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,44,0.4589663030715763,0.008272803376910732,0.0016545606753821465,0.24536292567724818,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,45,0.02634902122107113,0.002199595747203431,0.0004399191494406862,0.24618421524263723,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,46,0.469028226535898,0.00831549280020181,0.0016630985600403622,0.25435163069964895,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,47,0.01668404192755766,0.0013326465441524835,0.0002665293088304967,0.25545088399512295,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,48,0.4790903803364076,0.008357468265511108,0.0016714936531022216,0.26341879779872984,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,49,0.008437612159646524,5.565050125654355e-16,1.113010025130871e-16,0.26395749135870006,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,50,0.005554309946511773,1.0578104327863356e-15,2.1156208655726714e-16,0.26648893907489424,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,51,0.48915127288990384,0.008399651290804392,0.0016799302581608786,0.2725545113979484,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,52,0.499209334795734,0.008443064219966726,0.0016886128439933452,0.28174972552625777,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,53,0.5092628993134924,0.00848884990609196,0.0016977699812183921,0.29099610145818466,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,54,0.5193101774898634,0.008538303979948954,0.001707660795989791,0.3002858526633879,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,55,0.3917388157095406,0.19530527412757753,0.03906105482551551,0.3042660983375188,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,56,0.5293492258321371,0.00859292424389929,0.001718584848779858,0.3096115904983809,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,57,0.5393779023502098,0.008654484380269679,0.001730896876053936,0.3189661611273653,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,58,0.5493938028805656,0.00872514347898426,0.001745028695796852,0.3283424586938403,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,59,0.5593941621478089,0.008807610903040056,0.0017615221806080114,0.33773318904460226,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,60,0.5693756885320099,0.00890539984671933,0.001781079969343866,0.3471305372613371,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,61,0.5793342672644561,0.009023228889191957,0.0018046457778383915,0.35652564754529376,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,62,0.5892643849198655,0.00916767808423993,0.001833535616847986,0.3659077241582725,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,63,0.5991579150456476,0.009348289819816981,0.0018696579639633963,0.3752623208253534,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,64,0.6090012944588794,0.00957940912492088,0.001915881824984176,0.3845677601216468,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,65,0.6187681989175434,0.009882834280510577,0.0019765668561021153,0.3937869220258199,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
0.2,1.2,561,66,0.6283986476560927,0.010287583870267859,0.002057516774053572,0.40284764032460946,0.23985351562499993,0.06348274739583332,0.012696549479166664,True
