epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,8.525818824768066,0.8879826068878174,7.4228925704956055,0.6686320900917053,0.036828577518463135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04298868775367737,5.0,0.2,0.2,0,3.0000009536743164,0.20356595516204834,0.1635340965656234,0.43925561942162716,1.0971098714150218,11.862845856327201,0.7334167097897138,1.3946343184243486,0.5276935160023793,0.9082482405140608,0.24920313941122144,0.5760972568671899,2.5984880447387746,16.147747135162362,2.9372580625489175,8.0,0.05,0.29
2,3.9167532920837402,0.9769360423088074,2.5606279373168945,0.05670422688126564,0.09967927634716034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07583784312009811,5.0,0.2,0.2,0,3.0000009536743164,0.20701855421066284,,,,,,,,,,,,,,,,
3,2.600588798522949,0.40281856060028076,1.8888295888900757,0.14065083861351013,0.02411605790257454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06178811192512512,5.0,0.2,0.2,0,3.0000009536743164,0.21070386469364166,,,,,,,,,,,,,,,,
4,2.039267063140869,0.17945626378059387,1.5969114303588867,0.1369006484746933,0.011395248584449291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05257989466190338,5.0,0.2,0.2,0,3.0000009536743164,0.214608833193779,,,,,,,,,,,,,,,,
5,2.109550952911377,0.44976916909217834,1.4579684734344482,0.10909043252468109,0.018353205174207687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04036266356706619,5.0,0.2,0.2,0,3.0000009536743164,0.21873760223388672,,,,,,,,,,,,,,,,
6,2.7256181240081787,0.7384830117225647,1.8325417041778564,0.15584397315979004,0.013705099932849407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030918709933757782,5.0,0.2,0.2,0,3.0000009536743164,0.22310777008533478,,,,,,,,,,,,,,,,
7,1.8536499738693237,0.3924160599708557,1.3513668775558472,0.1236090362071991,0.00576382502913475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021973390132188797,5.0,0.2,0.2,0,3.0000009536743164,0.22773568332195282,,,,,,,,,,,,,,,,
8,1.1984267234802246,0.09412388503551483,1.0397822856903076,0.09062513709068298,0.006676545832306147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012904131785035133,5.0,0.2,0.2,0,3.0000009536743164,0.2325984388589859,,,,,,,,,,,,,,,,
9,0.9610327482223511,0.23012495040893555,0.6974563598632812,0.04781671240925789,0.010964460670948029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006690283305943012,5.0,0.2,0.2,0,3.0000009536743164,0.23765794932842255,,,,,,,,,,,,,,,,
10,0.8931940197944641,0.3323386013507843,0.5486771464347839,0.0272626094520092,0.013802552595734596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243564834818244,5.0,0.2,0.2,0,3.0000009536743164,0.2427552193403244,,,,,,,,,,,,,,,,
11,0.7352666854858398,0.31280842423439026,0.4160894751548767,0.024326667189598083,0.008641140535473824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012737519573420286,5.0,0.2,0.2,0,3.0000009536743164,0.24759753048419952,,,,,,,,,,,,,,,,
12,0.6192519068717957,0.11701760441064835,0.48671483993530273,0.039281100034713745,0.004695191513746977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031038923189044,5.0,0.2,0.2,0,3.0000009536743164,0.25155818462371826,,,,,,,,,,,,,,,,
13,0.761497974395752,0.15164944529533386,0.5793560147285461,0.053849902004003525,0.0020428518764674664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006098506040871143,5.0,0.2,0.2,0,3.0000009536743164,0.2541859447956085,,,,,,,,,,,,,,,,
14,0.9723837971687317,0.205429345369339,0.7219128608703613,0.0680236965417862,0.0020837951451539993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009008328430354595,5.0,0.2,0.2,0,3.0000009536743164,0.2553469240665436,,,,,,,,,,,,,,,,
15,1.1231757402420044,0.3594735562801361,0.706027626991272,0.06559044867753983,0.0025061576161533594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01153491623699665,5.0,0.2,0.2,0,3.0000009536743164,0.2551015317440033,,,,,,,,,,,,,,,,
16,1.0220919847488403,0.2933293879032135,0.6728190779685974,0.06310349702835083,0.0020892061293125153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011188693344593048,5.0,0.2,0.2,0,3.0000009536743164,0.25382333993911743,,,,,,,,,,,,,,,,
17,0.6633893847465515,0.15290787816047668,0.4603472054004669,0.04384947568178177,0.0010926229879260063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010026855394244194,5.0,0.2,0.2,0,3.0000009536743164,0.25180211663246155,,,,,,,,,,,,,,,,
18,0.47490817308425903,0.06831568479537964,0.3638741970062256,0.03296434134244919,0.001711537828668952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008543655276298523,5.0,0.2,0.2,0,3.0000009536743164,0.24929313361644745,,,,,,,,,,,,,,,,
19,0.4779239892959595,0.1153210997581482,0.33266502618789673,0.025590255856513977,0.0038381232880055904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005987572483718395,5.0,0.2,0.2,0,3.0000009536743164,0.2465386688709259,,,,,,,,,,,,,,,,
