epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_classic_mode_supervision,loss_classic_full_mode_supervision,loss_classic_balanced_full_mode_supervision,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,17.155426025390625,0.0012590548722073436,9.004019148051157e-07,0.0,0.0,0.49312153458595276,0.9994047284126282,0.00026832768344320357,2.2751269618259684e-11,0.0,0.00716292904689908,0.34493324160575867,0.0,0.0,0.7962551116943359,0.0,1.7117533683776855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,0.0015545657411131265,0.0015545657411131265,0.14617702597775628,0.14617702597775628,0.977699446034395,0.977699446034395,0.7952398261299429,0.7952398261299429,0.5004083197816598,0.5004083197816598,10.51768970489502,10.51768970489502,0.7952398261299429,0.5004083197816598,10.51768970489502,40.92054677389679,1,0.85,0.85
2,16.338844299316406,0.0020942185074090958,8.992493008008751e-07,0.0,0.0,0.4933501183986664,0.9993935823440552,0.0002813324681483209,7.285586717253878e-11,0.0,5.28802556800656e-05,0.1677313596010208,0.0,0.0,0.7305904030799866,0.0,1.7175828218460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,16.338844299316406,0,,
3,16.06629180908203,0.001960133668035269,9.09095831502782e-07,0.0,0.0,0.4935815930366516,0.9993679523468018,0.0002942135906778276,4.632017339134542e-11,0.0,0.007547469809651375,0.28296759724617004,0.0,0.0,0.6783338785171509,0.0,1.7493852376937866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,16.06629180908203,0,,
4,15.738761901855469,0.002232101047411561,9.335417985312233e-07,0.0,0.0,0.4938011169433594,0.9993692636489868,0.00030690626590512693,3.091324418669217e-11,0.0,3.834189919871278e-05,0.21198847889900208,0.0,0.0,0.6394461393356323,0.0,1.784217357635498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.738761901855469,0,,
5,15.515728950500488,0.0028306555468589067,9.613285101295332e-07,0.0,0.0,0.49399086833000183,0.9993664026260376,0.0003196764155291021,4.1576225101591646e-11,0.0,5.419747708401701e-07,0.1318655163049698,0.0,0.0,0.6117866635322571,0.0,1.8174488544464111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.515728950500488,0,,
6,15.54745101928711,0.00255197798833251,9.930653277478996e-07,0.0,0.0,0.4941386878490448,0.9993411302566528,0.0003320945252198726,1.7893721226958093e-11,0.0,0.000673245289362967,0.2687533497810364,0.0,0.0,0.5924273133277893,0.0,1.8394267559051514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.54745101928711,0,,
7,15.319442749023438,0.001994913909584284,1.0123037554876646e-06,0.0,0.0,0.4942333996295929,0.9993078708648682,0.000344420550391078,4.133414097107213e-12,0.0,0.00011966598685830832,0.1353791207075119,0.0,0.0,0.5786202549934387,0.0,1.8505491018295288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.319442749023438,0,,
8,15.204938888549805,0.0026860893703997135,1.0419101954539656e-06,0.0,0.0,0.4942839741706848,0.9992783069610596,0.000355710944859311,5.780671774591184e-11,0.0,0.00020124783623032272,0.12200763076543808,0.0,0.0,0.5681087374687195,0.0,1.8513472080230713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.204938888549805,0,,
9,15.143274307250977,0.0030962922610342503,1.0786089887915296e-06,0.0,0.0,0.494291752576828,0.9992712736129761,0.0003659308422356844,3.1973920039396475e-11,0.0,0.0005181265878491104,0.17539985477924347,0.0,0.0,0.5596158504486084,0.0,1.843631625175476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,15.143274307250977,0,,
10,14.981040954589844,0.0026012095622718334,1.119417106565379e-06,0.0,0.0,0.49425971508026123,0.9992516040802002,0.00037522861384786665,1.171940322564069e-10,0.0,0.0010326234623789787,0.13789282739162445,0.0,0.0,0.5524840950965881,0.0,1.8302874565124512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.981040954589844,0,,
