epoch,loss,loss_pde,loss_bc,loss_norm,loss_phase,loss_ci_supervision,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,1.2560133934020996,0.00497586652636528,0.04973854124546051,0.5703627467155457,0.002323166001588106,0.03619323670864105,3.0000009536743164,0.20355094969272614,0.1490470207783762,0.3938266537135874,1.3015307525134205,17.79499895914202,8.0,0.05,0.16374999999999998
2,1.59608793258667,0.005907764658331871,0.06783129274845123,0.507348358631134,0.018154839053750038,0.07727280259132385,3.0000009536743164,0.20671814680099487,,,,,,,
3,1.2198477983474731,0.003759741084650159,0.03981100767850876,0.4626156687736511,0.0021434761583805084,0.07064375281333923,3.0000009536743164,0.21009038388729095,,,,,,,
4,0.9623391628265381,0.0008183246245607734,0.024368008598685265,0.43597254157066345,9.75864240899682e-05,0.05635412782430649,3.0000009536743164,0.21359366178512573,,,,,,,
5,0.9671972990036011,0.0010135232005268335,0.022925300523638725,0.4809098243713379,0.019525719806551933,0.04729905724525452,3.0000009536743164,0.21720819175243378,,,,,,,
6,0.8301346898078918,0.001936155604198575,0.020975884050130844,0.42338627576828003,0.001245208433829248,0.03876163810491562,3.0000009536743164,0.22093220055103302,,,,,,,
7,0.7425646781921387,0.0015198535984382033,0.015662595629692078,0.4454472064971924,0.0013221787521615624,0.027529912069439888,3.0000009536743164,0.22474946081638336,,,,,,,
8,0.7892562747001648,0.0006223807577043772,0.01574609987437725,0.5117289423942566,0.012034093961119652,0.021481968462467194,3.0000009536743164,0.22867299616336823,,,,,,,
9,0.7600106000900269,0.00018011366773862392,0.017770200967788696,0.48632967472076416,0.02088548243045807,0.014982663094997406,3.0000009536743164,0.2327040731906891,,,,,,,
10,0.6150022745132446,0.00024598048184998333,0.015986952930688858,0.4146091938018799,0.001069967052899301,0.007841525599360466,3.0000009536743164,0.23680908977985382,,,,,,,
11,0.537778377532959,0.00038956745993345976,0.010061661712825298,0.419887900352478,0.0009752916521392763,0.003181795123964548,3.0000009536743164,0.24090921878814697,,,,,,,
12,0.4907950460910797,0.000515621853992343,0.006926104426383972,0.41643956303596497,0.0006113902782090008,0.0007934825262054801,3.0000009536743164,0.24487128853797913,,,,,,,
13,0.5320116281509399,0.000544446986168623,0.008498743176460266,0.44463858008384705,0.00025404823827557266,0.000317428435664624,3.0000009536743164,0.24846318364143372,,,,,,,
14,0.5169079303741455,0.0002985084429383278,0.011875275522470474,0.3798372447490692,0.008489759638905525,0.0019059341866523027,3.0000009536743164,0.25138717889785767,,,,,,,
15,0.5429667830467224,0.0002140275464626029,0.011260747909545898,0.40763115882873535,0.0005662931362167001,0.004389557987451553,3.0000009536743164,0.253385990858078,,,,,,,
16,0.5902383923530579,0.0002534965460654348,0.007381853647530079,0.47477543354034424,0.002927682362496853,0.007692661136388779,3.0000009536743164,0.2542625963687897,,,,,,,
17,0.5250205993652344,0.0002602733438834548,0.005805858876556158,0.4188147187232971,2.0193678210489452e-05,0.009573368355631828,3.0000009536743164,0.25413399934768677,,,,,,,
18,0.5101814866065979,0.00020491887698881328,0.00515213655307889,0.41056519746780396,3.1587283046974335e-06,0.009577373042702675,3.0000009536743164,0.25321975350379944,,,,,,,
19,0.589157223701477,0.00019003469788003713,0.007881540805101395,0.46633225679397583,0.00198427215218544,0.008367050439119339,3.0000009536743164,0.2517426908016205,,,,,,,
20,0.5507215857505798,0.0002758936898317188,0.009993522427976131,0.41498780250549316,0.0007281980942934752,0.006958885118365288,3.0000009536743164,0.24987781047821045,,,,,,,
21,0.5510597825050354,0.0003776534867938608,0.013033188879489899,0.39628103375434875,1.6672952369845007e-06,0.0048135011456906796,3.0000009536743164,0.2477993220090866,,,,,,,
22,0.5780889987945557,0.00033078534761443734,0.011358441784977913,0.44434478878974915,0.004108238499611616,0.0031441524624824524,3.0000009536743164,0.24563097953796387,,,,,,,
23,0.5123826861381531,0.00015256281767506152,0.006982841063290834,0.4333403408527374,0.0011416225461289287,0.0015839624684304,3.0000009536743164,0.24351249635219574,,,,,,,
24,0.4634893834590912,0.00010416538134450093,0.004898518789559603,0.40954428911209106,0.0003159403277095407,0.0009079610463231802,3.0000009536743164,0.24150922894477844,,,,,,,
25,0.44422340393066406,0.00011196864943485707,0.002907482674345374,0.4131908118724823,0.0001495528849773109,0.00033925374737009406,3.0000009536743164,0.2397015243768692,,,,,,,
26,0.5508621335029602,0.00016108305135276169,0.004229666665196419,0.5052629709243774,0.0016840186435729265,0.00029147512395866215,3.0000009536743164,0.2381366342306137,,,,,,,
27,0.5702606439590454,0.00012110118404962122,0.004542057402431965,0.5188502073287964,0.003544091247022152,0.0004649448674172163,3.0000009536743164,0.23684123158454895,,,,,,,
28,0.45843958854675293,9.735531057231128e-05,0.0039802733808755875,0.4134488105773926,9.959977614926174e-05,0.0009982164483517408,3.0000009536743164,0.23583641648292542,,,,,,,
29,0.49482107162475586,8.316202001878992e-05,0.0035193441435694695,0.45113736391067505,0.0009573439019732177,0.0014899559319019318,3.0000009536743164,0.23511292040348053,,,,,,,
30,0.47922056913375854,5.798377242172137e-05,0.0036528948694467545,0.4334586560726166,5.966263927348336e-08,0.0018349821912124753,3.0000009536743164,0.2346639186143875,,,,,,,
31,0.45818260312080383,0.0001280542928725481,0.0028761771973222494,0.4191913604736328,1.3165307791496161e-05,0.002017644699662924,3.0000009536743164,0.23446382582187653,,,,,,,
32,0.4963734745979309,0.00026691314997151494,0.003444257890805602,0.45091813802719116,2.663881423359271e-05,0.002143844496458769,3.0000009536743164,0.2345007210969925,,,,,,,
33,0.49691542983055115,0.00032780488254502416,0.003869909793138504,0.4473152458667755,5.05684795371053e-07,0.002114557893946767,3.0000009536743164,0.23474285006523132,,,,,,,
