ci_level,alpha_at_focus_mach,n_intersections_at_focus_mach,intersections_at_focus_mach,mach_min,mach_max,n_points
0.01,0.2713298449523548,1,0.271330,0.9529737206085752,2.1009681881051177,31
0.03,0.1636853485647648,1,0.212175,0.9598893499308436,1.752420470262794,32
0.05,0.061923767604288416,1,0.158878,0.970954356846473,1.5587828492392806,29
0.07,0.009382331140200081,2,0.009382 0.096307,0.9792531120331952,1.432918395573997,20
0.1,,0,,1.0110650069156293,1.351313969571231,15
