job_id,alpha,Mach,seed,stem,campaign,state,audit_dir,out_log,err_log
939329,0.1,1.8,0.24:0.0015,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015,slurm/log/KH_shoot_multi_939329.out,slurm/log/KH_shoot_multi_939329.err
939330,0.1,1.8,0.30:0.0040,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040,slurm/log/KH_shoot_multi_939330.out,slurm/log/KH_shoot_multi_939330.err
939331,0.1,1.8,0.36:0.0100,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100,slurm/log/KH_shoot_multi_939331.out,slurm/log/KH_shoot_multi_939331.err
939332,0.1,1.8,0.42:0.0160,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr042_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr042_ci00160,slurm/log/KH_shoot_multi_939332.out,slurm/log/KH_shoot_multi_939332.err
939333,0.15,1.8,0.24:0.0015,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015,slurm/log/KH_shoot_multi_939333.out,slurm/log/KH_shoot_multi_939333.err
939334,0.15,1.8,0.30:0.0040,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040,slurm/log/KH_shoot_multi_939334.out,slurm/log/KH_shoot_multi_939334.err
939335,0.15,1.8,0.36:0.0100,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100,slurm/log/KH_shoot_multi_939335.out,slurm/log/KH_shoot_multi_939335.err
939336,0.15,1.8,0.42:0.0160,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr042_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr042_ci00160,slurm/log/KH_shoot_multi_939336.out,slurm/log/KH_shoot_multi_939336.err
939337,0.225,1.8,0.36:0.0120,supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr036_ci00120,slurm/log/KH_shoot_multi_939337.out,slurm/log/KH_shoot_multi_939337.err
939338,0.225,1.8,0.40:0.0240,supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr040_ci00240,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr040_ci00240,slurm/log/KH_shoot_multi_939338.out,slurm/log/KH_shoot_multi_939338.err
939339,0.225,1.8,0.42:0.0120,supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr042_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr042_ci00120,slurm/log/KH_shoot_multi_939339.out,slurm/log/KH_shoot_multi_939339.err
939340,0.225,1.8,0.44:0.0240,supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr044_ci00240,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr044_ci00240,slurm/log/KH_shoot_multi_939340.out,slurm/log/KH_shoot_multi_939340.err
939341,0.3,1.8,0.36:0.0120,supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr036_ci00120,slurm/log/KH_shoot_multi_939341.out,slurm/log/KH_shoot_multi_939341.err
939342,0.3,1.8,0.40:0.0240,supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr040_ci00240,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr040_ci00240,slurm/log/KH_shoot_multi_939342.out,slurm/log/KH_shoot_multi_939342.err
939343,0.3,1.8,0.42:0.0120,supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr042_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr042_ci00120,slurm/log/KH_shoot_multi_939343.out,slurm/log/KH_shoot_multi_939343.err
