alpha,ci_reference,ci_pinn,ci_abs_err
0.2,0.55125676002392,0.5529734,0.001716629601629327
0.21500000000000002,0.5347319636118296,0.5362859,0.0015539136159535838
0.23,0.5185355820762612,0.5198807,0.0013451299560569563
0.24500000000000002,0.50263369252431,0.50375587,0.0011221749569216843
0.26,0.48702535308197387,0.48790914,0.00088378512069337
0.275,0.4716854078187272,0.47233707,0.0006516593085005851
0.29000000000000004,0.4565804991163158,0.45703572,0.00045522123204233544
0.30500000000000005,0.44176552948412456,0.44200042,0.00023488941731891755
0.32000000000000006,0.42713491643995743,0.4272259,9.097133546370761e-05
0.3350000000000001,0.4127594021695114,0.412706,5.341447763212992e-05
0.35000000000000003,0.39860201739088436,0.398434,0.00016800426260371593
0.36500000000000005,0.38466874468608714,0.38440272,0.00026602256580210426
0.38000000000000006,0.37092728633781413,0.37060404,0.0003232480992887421
0.395,0.3573843366854192,0.35702947,0.0003548688642979747
0.41000000000000003,0.34401621833896634,0.3436702,0.0003460289583205878
0.42500000000000004,0.3308178503111241,0.33051646,0.0003013927534458727
0.44000000000000006,0.31779839040828073,0.31755865,0.00023974420619332637
0.45500000000000007,0.3049413237717954,0.3047864,0.00015490986379063099
0.4700000000000001,0.2922576520110273,0.29218948,6.817313682078163e-05
0.48500000000000004,0.2797371675620205,0.2797573,2.012351654701039e-05
0.5,0.26733411641472404,0.26747945,0.0001453330958502974
0.5150000000000001,0.2551087143626409,0.2553454,0.00023668978546093067
0.53,0.24301183612098975,0.24334513,0.00033329038867668803
0.5450000000000002,0.23103415288424112,0.23146862,0.00043446503186606034
0.56,0.21918559934451057,0.21970652,0.0005209210936837072
0.5750000000000001,0.20744487914232654,0.20804995,0.000605073841529663
0.5900000000000001,0.1958662377691919,0.1964904,0.0006241692208593663
0.6050000000000001,0.1843949267857915,0.18502001,0.0006250878578776264
0.6200000000000001,0.1730343252984549,0.1736316,0.0005972682865594547
0.6350000000000001,0.16175932727635503,0.16231844,0.0005591110151946521
0.6500000000000001,0.15063456010505893,0.15107462,0.00044005799606106066
0.665,0.13959095142389022,0.13989551,0.0003045622298649686
0.6800000000000002,0.12863779144821041,0.12877919,0.00014139635028964648
0.6950000000000001,0.11776130437857436,0.117728315,3.298908478545359e-05
0.7100000000000002,0.1070377975752353,0.10675425,0.0002835467507838474
0.7250000000000001,0.0963680155181172,0.095883146,0.0004848695897343297
0.7400000000000002,0.08575720229144798,0.08516443,0.0005927745341847979
0.7550000000000001,0.0753037580404892,0.07468055,0.000623206153930661
0.77,0.06485044486393379,0.06455511,0.00029533631672309935
0.7850000000000001,0.05453498375837383,0.054953925,0.000418941553191568
0.8,0.0442736588328293,0.046071902,0.0017982430846282815
