alpha,ci_reference,ci_experts,ci_light_anchor,err_experts,err_light_anchor
0.05,0.7373396102339298,0.73720974,0.73625684,0.00012987293305699588,0.0010827723890811658
0.07,0.7098943759999781,0.71129274,0.71024567,0.0013983676828832614,0.0003512928881139743
0.09,0.6833774401074406,0.6857619,0.68468636,0.0023844884509089947,0.001308922635937071
0.10999999999999999,0.6577194676380136,0.66063744,0.659589,0.00291797065925814,0.001869524957659019
0.13,0.6328522055255654,0.63593876,0.63496226,0.0030865580929038128,0.002110055197548588
0.14999999999999997,0.608697653154457,0.6116845,0.61081433,0.0029868480166550526,0.002116679807579125
0.16999999999999998,0.5852604890303206,0.5878916,0.5871516,0.002631089643995832,0.0018910979791093574
0.19,0.5624209113143993,0.5645763,0.56397986,0.0021554164863514247,0.0015589528060840907
0.20999999999999996,0.5401987927988501,0.5417533,0.541304,0.001554499284890154,0.0011051994725732595
0.22999999999999998,0.5185355820762613,0.5194352,0.51912725,0.0008996448410055757,0.0005916676414511324
0.24999999999999994,0.4974042726751259,0.4976337,0.4974522,0.0002294229272911119,4.792678395004746e-05
0.26999999999999996,0.47677993496620047,0.47635803,0.4762802,0.00042190870010244685,0.0004997225638567193
0.29,0.45658049911631576,0.45561555,0.4556112,0.0009649488366984538,0.0009692999757670573
0.30999999999999994,0.43687513517510707,0.4354112,0.4354437,0.0014639203466158546,0.0014314358152132667
0.32999999999999996,0.41753696106719046,0.41574764,0.41577524,0.001789318550100616,0.00176172159956961
0.3499999999999999,0.3986020173908847,0.39662454,0.39660144,0.0019774820686953576,0.0020005788685458215
0.36999999999999994,0.3800696092603615,0.37803838,0.37791622,0.0020312326906135603,0.0021533924100807234
0.38999999999999996,0.3618606132085333,0.35998207,0.35971144,0.0018785399014959459,0.002149174791098607
0.4099999999999999,0.34401621833896645,0.34244415,0.34197643,0.0015720666990280963,0.0020397843465805865
0.42999999999999994,0.3264621938395461,0.32540816,0.3246976,0.001054033153053191,0.0017645801234206226
0.4499999999999999,0.30923295436726633,0.30885154,0.30785757,0.00038141427861276833,0.0013753813348871824
0.4699999999999999,0.2922576520110274,0.29274437,0.2914339,0.0004867163037156619,0.0008237514163160764
0.48999999999999994,0.275582164720869,0.27704757,0.2753983,0.00146540979924209,0.00018385072169296857
0.5099999999999999,0.25917454886415153,0.2617113,0.2597146,0.0025367505552515435,0.0005400545599207329
0.5299999999999999,0.24301183612098798,0.24667206,0.24433653,0.003660227944945249,0.0013246944452275367
0.5499999999999999,0.22707558782842732,0.23185073,0.2292048,0.004775140564173691,0.002129215876788132
0.57,0.21134946801456672,0.21715008,0.21424478,0.0058006092092110495,0.002895314910085378
0.59,0.19586623769491326,0.20245378,0.19936277,0.006587539499109868,0.003496532028025273
0.61,0.18058759336240346,0.18762809,0.1844446,0.007040497019218855,0.003857012941765242
0.63,0.16549907130794866,0.17252897,0.1693569,0.007029895953365728,0.003857826165386602
0.6499999999999999,0.15063456017045396,0.15701824,0.15395552,0.006383684096056053,0.0033209590289173807
0.6699999999999999,0.13590302813466634,0.14099388,0.13810639,0.005090850110687356,0.0022033626991883326
0.69,0.12137835079592928,0.124437466,0.12172769,0.0030591154678417803,0.00034933930474058406
0.71,0.10703779761928515,0.10747548,0.10485717,0.00043768430810971204,0.0021806285275836473
0.73,0.09280776600299877,0.090438165,0.0877396,0.002369601232395588,0.005068164271698414
0.7499999999999999,0.07876988829586368,0.07387892,0.070898965,0.00489096672746997,0.007870923294757415
0.7699999999999999,0.06485044486393443,0.058508314,0.055121824,0.006342130671639357,0.009728620718617353
0.7899999999999999,0.05111849066657871,0.045027215,0.041282896,0.006091275632809104,0.009835594714115561
0.8099999999999999,0.03747584053835308,0.033915024,0.030039767,0.0035608162876073074,0.0074360737349692535
0.83,0.024007657041622426,0.02529031,0.021579947,0.0012826533412205916,0.0024277097190153855
0.85,0.010634805770227514,0.018927606,0.015611714,0.008292800052454866,0.004976907981923021
