epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.134005546569824,0.31782466173171997,4.599217414855957,0.3717415928840637,0.04409008100628853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043392691761255264,5.0,0.2,0.2,0,3.0000009536743164,0.2039899230003357,0.16925611833837134,0.4555098358541986,1.167935158240197,12.719870128410324,0.5787925331963354,1.322618332588047,0.4082664045860484,0.939061157818515,0.2824190305771118,0.6339357437418239,2.3068210193089107,14.848503112792969,2.8187423580855455,8.0,0.05,0.85
2,3.450000524520874,1.0074294805526733,2.0610175132751465,0.07600447535514832,0.06504863500595093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07631067931652069,5.0,0.2,0.2,0,3.0000009536743164,0.20788179337978363,,,,,,,,,,,,,,,,
3,2.5326826572418213,0.5051351189613342,1.6817567348480225,0.12321161478757858,0.02248203009366989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691581666469574,5.0,0.2,0.2,0,3.0000009536743164,0.21196171641349792,,,,,,,,,,,,,,,,
4,2.393998622894287,0.10899563878774643,1.9843027591705322,0.1442868411540985,0.02707171067595482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06014004349708557,5.0,0.2,0.2,0,3.0000009536743164,0.2162209302186966,,,,,,,,,,,,,,,,
5,2.6369311809539795,0.18499168753623962,2.23394775390625,0.18166396021842957,0.020865406841039658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04359835386276245,5.0,0.2,0.2,0,3.0000009536743164,0.22065578401088715,,,,,,,,,,,,,,,,
6,1.5686317682266235,0.1756775677204132,1.2270506620407104,0.092307910323143,0.015198574401438236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318071365356445,5.0,0.2,0.2,0,3.0000009536743164,0.2252625674009323,,,,,,,,,,,,,,,,
7,0.8694570064544678,0.11382389068603516,0.6298421621322632,0.038744714111089706,0.012119749560952187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025158196687698364,5.0,0.2,0.2,0,3.0000009536743164,0.23007825016975403,,,,,,,,,,,,,,,,
8,0.4842692017555237,0.14445628225803375,0.2624059319496155,0.013421006500720978,0.006409792695194483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015481401234865189,5.0,0.2,0.2,0,3.0000009536743164,0.23508229851722717,,,,,,,,,,,,,,,,
9,0.6864352822303772,0.2595531940460205,0.38292068243026733,0.033198319375514984,0.0025468741077929735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008792281150817871,5.0,0.2,0.2,0,3.0000009536743164,0.24024151265621185,,,,,,,,,,,,,,,,
10,0.8856161832809448,0.17741715908050537,0.6882785558700562,0.06457585096359253,0.0021260010544210672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003984093200415373,5.0,0.2,0.2,0,3.0000009536743164,0.24544532597064972,,,,,,,,,,,,,,,,
11,1.0202237367630005,0.14857788383960724,0.8640478849411011,0.07447653263807297,0.005964125506579876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519582699984312,5.0,0.2,0.2,0,3.0000009536743164,0.2504871189594269,,,,,,,,,,,,,,,,
12,0.9820579290390015,0.10173496603965759,0.8724032640457153,0.07000649720430374,0.0086169159039855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015839298721402884,5.0,0.2,0.2,0,3.0000009536743164,0.2549905478954315,,,,,,,,,,,,,,,,
13,0.8218690752983093,0.1115114688873291,0.6895593404769897,0.054646968841552734,0.007154482416808605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004159647971391678,5.0,0.2,0.2,0,3.0000009536743164,0.25844356417655945,,,,,,,,,,,,,,,,
14,0.5069363713264465,0.0971512570977211,0.369538277387619,0.03267630934715271,0.002138759708032012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008049368858337402,5.0,0.2,0.2,0,3.0000009536743164,0.26033031940460205,,,,,,,,,,,,,,,,
15,0.37912243604660034,0.08241571485996246,0.24382448196411133,0.022146737203001976,0.0011178550776094198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01057644933462143,5.0,0.2,0.2,0,3.0000009536743164,0.26071786880493164,,,,,,,,,,,,,,,,
16,0.4597254991531372,0.09972453862428665,0.301006019115448,0.022412467747926712,0.0038440674543380737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179899275302887,5.0,0.2,0.2,0,3.0000009536743164,0.25984880328178406,,,,,,,,,,,,,,,,
17,0.5172317624092102,0.13479095697402954,0.32223665714263916,0.023408716544508934,0.004407475236803293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01204083114862442,5.0,0.2,0.2,0,3.0000009536743164,0.2580104172229767,,,,,,,,,,,,,,,,
18,0.501934289932251,0.11388982832431793,0.3368920683860779,0.028588630259037018,0.002550288336351514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010230484418570995,5.0,0.2,0.2,0,3.0000009536743164,0.25554701685905457,,,,,,,,,,,,,,,,
19,0.3985747694969177,0.07649385929107666,0.2868325114250183,0.0268615260720253,0.0009108626400120556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704967649653554,5.0,0.2,0.2,0,3.0000009536743164,0.2527564465999603,,,,,,,,,,,,,,,,
20,0.46734723448753357,0.07754166424274445,0.3657141327857971,0.03350861743092537,0.0015313983894884586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015250133583322167,0.004787789192050695,5.0,0.2,0.2,0,3.0000009536743164,0.24983333051204681,,,,,,,,,,,,,,,,
21,0.48696228861808777,0.08027316629886627,0.3925475478172302,0.03234671428799629,0.003454020246863365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002828317228704691,5.0,0.2,0.2,0,3.0000009536743164,0.24697045981884003,,,,,,,,,,,,,,,,
22,0.39188119769096375,0.06864342838525772,0.31579795479774475,0.024806205183267593,0.0033867950551211834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014879624359309673,5.0,0.2,0.2,0,3.0000009536743164,0.24431537091732025,,,,,,,,,,,,,,,,
23,0.2871532142162323,0.06638271361589432,0.21332453191280365,0.017272047698497772,0.0020302028860896826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014891931787133217,5.0,0.2,0.2,0,3.0000009536743164,0.24194462597370148,,,,,,,,,,,,,,,,
24,0.27551519870758057,0.08988675475120544,0.17880943417549133,0.016263650730252266,0.0008086469024419785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013638035161420703,5.0,0.2,0.2,0,3.0000009536743164,0.23991511762142181,,,,,,,,,,,,,,,,
25,0.3085959851741791,0.11513236165046692,0.18533402681350708,0.018156081438064575,0.00018866077880375087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259192489087582,5.0,0.2,0.2,0,3.0000009536743164,0.23824205994606018,,,,,,,,,,,,,,,,
26,0.3281107544898987,0.10872943699359894,0.20903195440769196,0.0201531071215868,0.00037504464853554964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002069873735308647,5.0,0.2,0.2,0,3.0000009536743164,0.2369248867034912,,,,,,,,,,,,,,,,
27,0.32697629928588867,0.10894978046417236,0.2048955261707306,0.019181404262781143,0.000654074246995151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002626200672239065,5.0,0.2,0.2,0,3.0000009536743164,0.23600253462791443,,,,,,,,,,,,,,,,
28,0.3193487524986267,0.08639442920684814,0.21705816686153412,0.01973157562315464,0.0009871209040284157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031792304944247007,5.0,0.2,0.2,0,3.0000009536743164,0.2354634553194046,,,,,,,,,,,,,,,,
29,0.3339156210422516,0.07750240713357925,0.23863938450813293,0.021325383335351944,0.0012692776508629322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00355476513504982,5.0,0.2,0.2,0,3.0000009536743164,0.2352781742811203,,,,,,,,,,,,,,,,
