run,state,ci_mae,p_rel,env,phase,peak,metric
Experts,best,0.0030823751803255,0.2975474267580335,0.2397321467035936,0.1131413783360449,2.2272754669189476,0.8839454544046081
Experts,final,0.0028490998715495,0.3375329196721775,0.280950357335835,0.1122785539762265,2.1742450986589716,0.9091419077041866
Experts + light anchor,best,0.0026184206267191,0.2783597195212141,0.2347965173148396,0.103682419124974,2.1742450986589694,0.8563832078092602
Experts + light anchor,final,0.0042246462057581,0.3208230778466633,0.2662943965782333,0.1161975526052696,2.359851387568883,0.9566024818306702
