alpha,mach,ci_reference,ci_pinn,ci_abs_err
0.85,0.5,0.010634805770227514,0.05577823,0.045143425701549444
0.8366666666666667,0.5,0.019550039951157432,0.05948871,0.039938670064854756
0.85,0.47500000000000003,0.01954012014236455,0.058491286,0.03895116574797626
0.8233333333333334,0.5,0.028497051540532593,0.06349379,0.034996736701807495
0.8366666666666667,0.47500000000000003,0.028479797578899832,0.06240396,0.03392416071191552
0.85,0.45,0.028445434514501603,0.061465222,0.033019787874004336
0.8099999999999999,0.5,0.03747584053835308,0.067810565,0.03033472469487751
0.05,0.47500000000000003,0.75151384093156,0.7218364,0.029677452820445538
0.05,0.45,0.7656880716291905,0.7360977,0.029590378185892163
0.8233333333333334,0.47500000000000003,0.03745594550822878,0.06662461,0.02916866610790586
0.05,0.5,0.7373396102339298,0.7082161,0.029123539105084584
0.85,0.42500000000000004,0.03619681561294546,0.064698495,0.028501679357853034
0.05,0.42500000000000004,0.7791847490371435,0.7508412,0.028343548685428432
0.8366666666666667,0.45,0.037409555206642256,0.06559395,0.028184395243778124
0.05,0.4,0.7926814264450964,0.76585895,0.02682247821435302
0.7966666666666666,0.5,0.04657094062383681,0.07245542,0.02588448046628923
0.06333333333333334,0.45,0.7470887791124189,0.72173375,0.02535503019960761
0.06333333333333334,0.47500000000000003,0.7330657832618571,0.7078778,0.025187968492112245
0.8099999999999999,0.47500000000000003,0.04646856393035147,0.071170345,0.02470178101841715
0.05,0.375,0.8053551711083395,0.7809067,0.02444849386224579
