alpha,Mach,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,y_limit,ln_p_start_right,success
0.18,1.1,0.15874999999999995,0.09292968749999998,0.016727343749999995,3.279706924096027e-05,7.119469669619632e-29,80.0,-9.017313639275532,True
0.22,1.1,0.1845833333333333,0.06972656249999999,0.015339843749999998,0.000123988205621096,2.4298888033070216e-25,80.0,-11.1176831178401,True
0.26,1.1,0.20458333333333328,0.04738281250000001,0.012319531250000003,0.00017267607351709662,4.245964936261574e-26,80.0,-13.535080763545228,True
0.3,1.1,0.22125,0.025293294270833332,0.007587988281249999,7.538874510782938e-05,1.6647877423754474,80.0,-14.99999335625205,False
0.18,1.1666666666666667,0.20791666666666664,0.0800390625,0.014407031249999999,5.543195545725884e-05,1.5461673742331831e-28,80.0,-9.361117384349406,True
0.22,1.1666666666666667,0.2295833333333333,0.05855468750000001,0.012882031250000002,5.355429370476651e-05,3.0413208886627602e-24,80.0,-11.378426838410276,True
0.26,1.1666666666666667,0.24708333333333324,0.03764322916666667,0.009787239583333334,9.255732776972911e-05,1.932906433017784e-27,80.0,-13.734329193326003,True
0.3,1.1666666666666667,0.2612499999999999,0.01709038802083333,0.005127116406249999,0.00010227286576438997,1.9490521466212918,80.0,-14.99999335625205,False
0.18,1.2333333333333334,0.24874999999999992,0.06772135416666665,0.012189843749999997,4.4881869273951146e-05,1.262177448353619e-29,80.0,-9.48481689707049,True
0.22,1.2333333333333334,0.26791666666666664,0.04824218750000002,0.010613281250000004,7.8593463606377e-05,4.36897706592248e-23,80.0,-11.462978001508635,True
0.26,1.2333333333333334,0.28374999999999984,0.028763020833333337,0.007478385416666668,5.07087299616532e-05,6.140572172330878e-26,80.0,-13.795134549422993,True
0.3,1.2333333333333334,0.29625,0.009668710937499998,0.0029006132812499992,0.0001834960996352269,1.9910703223024406,80.0,-14.99999335625205,False
0.18,1.3,0.2845833333333332,0.0568359375,0.01023046875,4.6615634349277655e-05,7.119469669619632e-29,80.0,-9.513035734583017,True
0.22,1.3,0.30291666666666667,0.039075520833333335,0.008596614583333334,0.00011952383286157626,1.9493416400032493e-23,80.0,-11.516407604267433,True
0.26,1.3,0.31708333333333333,0.020996533854166666,0.005459098802083334,7.474535874120546e-05,1.9197718989458543e-26,80.0,-13.829218393400534,True
0.3,1.3,0.32874999999999993,0.0030119874131944433,0.000903596223958333,4.7141337056520364e-05,2.1218618429952736,80.0,-14.99999335625205,False
