alpha,Mach,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,y_limit,ln_p_start_right,success
0.18,1.1,0.15874999999999995,0.09292968749999998,0.016727343749999995,3.279706924096027e-05,7.119469669619632e-29,80.0,-9.017313639275532,True
0.22,1.1,0.18492187499999993,0.06984054565429684,0.015364920043945305,1.7535985304922932e-05,4.568459162924976e-25,80.0,-11.12751730638318,True
0.26,1.1,0.20510416666666662,0.047262420654296845,0.01228822937011718,5.7715774582741025e-05,4.430952818535901e-26,80.0,-13.558764176549516,True
0.3,1.1,0.22125,0.025293294270833332,0.007587988281249999,7.538874510782938e-05,1.6647877423754474,80.0,-14.99999335625205,False
0.18,1.1666666666666667,0.20783854166666657,0.07994674682617187,0.014390414428710935,2.4942718666961796e-05,2.8398992587956425e-29,80.0,-9.35952378834248,True
0.22,1.1666666666666667,0.22958333333333322,0.05861862182617187,0.012896096801757812,3.5389083977209555e-05,3.0335811771064105e-24,80.0,-11.377462912016073,True
0.26,1.1666666666666667,0.24690104166666663,0.037759246826171884,0.00981740417480469,8.616485481319883e-06,3.4362781031427274e-27,80.0,-13.72377287529121,True
0.3,1.1666666666666667,0.2612499999999999,0.01709038802083333,0.005127116406249999,0.00010227286576438997,1.9490521466212918,80.0,-14.99999335625205,False
0.18,1.2333333333333334,0.24859374999999992,0.06768112182617186,0.012182601928710936,1.741901804133712e-05,2.8398992587956425e-29,80.0,-9.480102508927029,True
0.22,1.2333333333333334,0.26825520833333333,0.04822799682617187,0.01061015930175781,4.852689665547568e-05,4.232682490769915e-23,80.0,-11.476738590853559,True
0.26,1.2333333333333334,0.2837499999999999,0.028931121826171868,0.007522091674804686,3.234429916930704e-05,7.629941561388148e-26,80.0,-13.791002636319966,True
0.3,1.2333333333333334,0.29625,0.009668710937499998,0.0029006132812499992,0.0001834960996352269,1.9910703223024406,80.0,-14.99999335625205,False
0.18,1.3,0.2846614583333333,0.05682174682617188,0.010227914428710938,2.380757114558612e-05,1.262177448353619e-29,80.0,-9.515865458995515,True
0.22,1.3,0.30250000000000005,0.039087371826171884,0.008599221801757815,4.17076835051458e-05,1.145118378627873e-23,80.0,-11.497934708725753,True
0.26,1.3,0.31686523437499997,0.0210019455353419,0.005460505839188895,3.508427004937037e-05,1.99431925448924e-26,80.0,-13.818083195471864,True
0.3,1.3,0.32874999999999993,0.0030119874131944433,0.000903596223958333,4.7141337056520364e-05,2.1218618429952736,80.0,-14.99999335625205,False
