alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.18,1.2,401,0.2276378635200025,0.08117402299600691,0.014611324139281245,0.01491560696814756,0.01491560696814756,nearest_to_target,148,True,True,0.22874999999999995,0.07373697916666667,shooting_anchor,0.22874999999999995,0.07373697916666667,0.01327265625,True
0.195,1.2,481,0.23743494431232942,0.0711752645089204,0.013879176579239478,0.004501759407038254,0.01035129413869825,nearest_to_target,159,True,True,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.21,1.2,481,0.23154210719313348,0.0653478824299395,0.013723055310287294,0.010763367815678933,0.018832513604520595,nearest_to_target,158,True,True,0.24172397772493173,0.06360291830356817,blended_continuation,0.2445833333333333,0.05855468750000001,0.012296484375000001,True
0.22499999999999998,1.2,481,0.2480726764218442,0.06482378828365701,0.014585352363822825,0.016916082300381653,0.028292661680293492,nearest_to_target,165,True,False,0.2438668428772534,0.05663134047197581,blended_continuation,0.2520833333333333,0.050820312500000006,0.0114345703125,True
0.24,1.2,481,0.24102165759120991,0.06142034894676673,0.014740883747224013,0.02294386430507722,0.039854181436814455,nearest_to_target,165,True,False,0.25397907056873764,0.0519529528134628,blended_continuation,0.2579166666666666,0.04337239583333333,0.010409374999999998,True
