alpha,Mach,N,mapping_kind,mapping_scale,cubic_delta,xi_max,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success
0.18,1.7,561,pin,2.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.44810403685292055,0.018492311577444298,0.0033286160839399734,0.0022246153499981903,nearest_to_target,173,True
0.18,1.7,641,pin,2.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.4502596021656111,0.015879187850231118,0.002858253813041601,0.00566141153968313,nearest_to_target,194,True
0.18,1.7,721,pin,2.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.4434228992755906,0.021469418084696424,0.003864495255245356,0.007719909804716947,nearest_to_target,223,True
0.18,1.7,721,pin,2.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.44586666764620964,0.021973496297905338,0.003955229333622961,0.00820074832539286,nearest_to_target,227,True
0.18,1.7,721,pin,2.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.4419521834588871,0.013640492072685653,0.0024552885730834174,0.009501773655949914,nearest_to_target,219,True
0.18,1.7,721,pin,3.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.4454563031884856,0.023250016224904083,0.0041850029204827345,0.010774098566589554,nearest_to_target,230,True
0.18,1.7,641,pin,2.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.4488711449697864,0.023886721590262058,0.0042996098862471705,0.012300746716962664,nearest_to_target,207,True
0.18,1.7,641,pin,2.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.44834508723338967,0.023943596628726724,0.0043098473931708105,0.012311557525942459,nearest_to_target,209,True
0.18,1.7,641,pin,3.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.44963501688921215,0.026170234573423132,0.0047106422232161636,0.016927173880849085,nearest_to_target,209,True
0.18,1.7,561,pin,2.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.4407446572697907,0.026622941764130152,0.004792129517543427,0.018336644113673074,nearest_to_target,185,True
0.18,1.7,561,pin,2.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.45069395846548505,0.026884335609347217,0.004839180409682499,0.018553533678661825,nearest_to_target,176,True
0.18,1.7,721,pin,3.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.44827681916541556,0.02895091872704279,0.005211165370867702,0.022239181130191087,nearest_to_target,255,True
0.18,1.7,721,pin,3.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.44925773372059785,0.02991963031503376,0.005385533456706076,0.02427113588536492,nearest_to_target,247,True
0.18,1.7,561,pin,3.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.4549982466409403,0.029841887333582312,0.005371539720044816,0.025477600084844895,nearest_to_target,188,True
0.18,1.7,641,pin,3.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.44632306576718256,0.031181562096438124,0.005612681177358862,0.026608016179242848,nearest_to_target,222,True
0.18,1.7,641,pin,3.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.44296452906520967,0.03147784872377193,0.005666012770278946,0.02739819204465208,nearest_to_target,225,True
0.18,1.7,561,pin,3.0,0.2,0.98,0.4462499999999999,0.01787760416666667,0.44128965039161794,0.03507397528095516,0.006313315550571929,0.034748608407225726,nearest_to_target,189,True
0.18,1.7,561,pin,3.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.4535477252517279,0.03503147147927792,0.006305664866270025,0.03507531110288829,nearest_to_target,192,True
0.18,1.7,561,cubic,8.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.43657378634278654,0.0010167918990405512,0.0001830225418272992,0.03508243252735717,nearest_to_target,151,True
0.18,1.7,561,cubic,8.0,0.4,0.95,0.4462499999999999,0.01787760416666667,0.4331879186900062,0.0015382504408130813,0.0002768850793463546,0.03519255445208757,nearest_to_target,157,True
0.18,1.7,721,cubic,5.0,0.2,0.99,0.4462499999999999,0.01787760416666667,0.44619918061231745,9.07848681409976e-12,1.6341276265379568e-12,0.03575524443031849,nearest_to_target,187,True
0.18,1.7,561,cubic,5.0,0.4,0.99,0.4462499999999999,0.01787760416666667,0.4463736771373856,9.961270475563453e-13,1.7930286856014215e-13,0.03575542223008861,nearest_to_target,152,True
0.18,1.7,721,cubic,2.0,0.4,0.98,0.4462499999999999,0.01787760416666667,0.44651354885716266,2.313898792225033e-11,4.165017826005059e-12,0.03575617957291892,nearest_to_target,184,True
0.18,1.7,561,cubic,3.0,0.4,0.99,0.4462499999999999,0.01787760416666667,0.4465382896889366,2.468490539376811e-13,4.4432829708782595e-14,0.035756370535465605,nearest_to_target,145,True
0.18,1.7,721,cubic,2.0,0.4,0.99,0.4462499999999999,0.01787760416666667,0.44663767802123694,8.04994510005321e-12,1.4489901180095778e-12,0.03575730996673142,nearest_to_target,184,True
0.18,1.7,561,cubic,2.0,0.2,0.95,0.4462499999999999,0.01787760416666667,0.44664487282350057,5.545914686527532e-12,9.982646435749557e-13,0.03575738870098917,nearest_to_target,142,True
0.18,1.7,561,cubic,2.0,0.1,0.99,0.4462499999999999,0.01787760416666667,0.4458021067031082,1.5895446127587268e-11,2.861180302965708e-12,0.03575801349476912,nearest_to_target,143,True
0.18,1.7,721,cubic,5.0,0.1,0.95,0.4462499999999999,0.01787760416666667,0.44579277787770166,6.017157829010394e-12,1.083088409221871e-12,0.035758131581062925,nearest_to_target,192,True
0.18,1.7,641,cubic,5.0,0.4,0.95,0.4462499999999999,0.01787760416666667,0.44578639320829094,8.91185180762518e-12,1.6041333253725322e-12,0.035758213782889216,nearest_to_target,168,True
