alpha,Mach,cr,ci,omega_i,n_finite_modes,selection_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,target_cr,target_ci,target_source,success
0.18,1.1,0.1587800777177985,0.09287236778899474,0.016717026202019054,372,target_guided,0.15874999999999995,0.09292968749999998,0.016727343749999995,True,0.15874999999999995,0.09292968749999998,shooting_anchor,True
0.195,1.1,0.16949228364128074,0.0839362283953081,0.01636756453708508,346,target_guided,0.16958333333333334,0.08404947916666668,0.0163896484375,True,0.1587800777177985,0.09287236778899474,gep_continuation,True
0.21,1.1,0.17890230055307632,0.07572119347446711,0.015901450629638093,350,target_guided,0.17874999999999994,0.07545572916666667,0.015845703125,True,0.16949228364128074,0.0839362283953081,gep_continuation,True
0.22499999999999998,1.1,0.1882600877529161,0.06683411040793488,0.015037674841785347,346,target_guided,0.18791666666666665,0.06686197916666668,0.015043945312500003,True,0.17890230055307632,0.07572119347446711,gep_continuation,True
0.24,1.1,0.19457230971367162,0.05838256565741138,0.01401181575777873,354,target_guided,0.19541666666666663,0.05855468750000001,0.014053125000000001,True,0.1882600877529161,0.06683411040793488,gep_continuation,True
0.18,1.1500000000000001,0.19649184429897343,0.08364621180219653,0.015056318124395375,382,target_guided,0.19624999999999998,0.08319010416666665,0.014974218749999997,True,0.1587800777177985,0.09287236778899474,gep_continuation,True
0.195,1.1500000000000001,0.2064673296395728,0.07450094869632819,0.014527684995783998,342,target_guided,0.20541666666666658,0.07488281249999999,0.014602148437499999,True,0.19649184429897343,0.08364621180219653,gep_continuation,True
0.21,1.1500000000000001,0.21280247559752788,0.06659187224381652,0.013984293171201468,354,target_guided,0.21374999999999994,0.06686197916666668,0.014041015625000004,True,0.2064673296395728,0.07450094869632819,gep_continuation,True
0.22499999999999998,1.1500000000000001,0.22251130940153127,0.060346369710517996,0.013577933184866548,353,target_guided,0.22125,0.05884114583333333,0.013239257812499999,True,0.21280247559752788,0.06659187224381652,gep_continuation,True
0.24,1.1500000000000001,0.2296639815425178,0.048209055299441236,0.011570173271865896,360,target_guided,0.22874999999999995,0.050820312500000006,0.012196875000000001,True,0.22251130940153127,0.060346369710517996,gep_continuation,True
0.18,1.2000000000000002,0.22916871310382164,0.0752495751990692,0.013544923535832457,360,target_guided,0.22874999999999995,0.07373697916666667,0.01327265625,True,0.19649184429897343,0.08364621180219653,gep_continuation,True
0.195,1.2000000000000002,0.23955639362625053,0.06487061495591716,0.012649769916403847,349,target_guided,0.23708333333333326,0.06600260416666666,0.0128705078125,True,0.22916871310382164,0.0752495751990692,gep_continuation,True
0.21,1.2000000000000002,0.24127442621352824,0.05787686790599173,0.012154142260258263,355,target_guided,0.2445833333333333,0.05855468750000001,0.012296484375000001,True,0.23955639362625053,0.06487061495591716,gep_continuation,True
0.22499999999999998,1.2000000000000002,0.25252153758185225,0.05463323712523776,0.012292478353178494,355,target_guided,0.2520833333333333,0.050820312500000006,0.0114345703125,True,0.24127442621352824,0.05787686790599173,gep_continuation,True
0.24,1.2000000000000002,0.26127300234272993,0.044093835528763906,0.010582520526903337,361,target_guided,0.2579166666666666,0.04337239583333333,0.010409374999999998,True,0.25252153758185225,0.05463323712523776,gep_continuation,True
0.18,1.25,0.2607059471841938,0.06708913243430609,0.012076043838175095,362,target_guided,0.2579166666666666,0.06485677083333334,0.011674218750000001,True,0.22916871310382164,0.0752495751990692,gep_continuation,True
0.195,1.25,0.26937581215009454,0.05148743716342862,0.010040050246868581,346,target_guided,0.2654166666666667,0.0576953125,0.0112505859375,True,0.2607059471841938,0.06708913243430609,gep_continuation,True
0.21,1.25,0.2674235756213031,0.05359842440092065,0.011255669124193336,350,target_guided,0.2729166666666666,0.050533854166666684,0.010612109375000003,True,0.26937581215009454,0.05148743716342862,gep_continuation,True
0.22499999999999998,1.25,0.28177696555330056,0.049615260049715046,0.011163433511185884,359,target_guided,0.27874999999999994,0.04337239583333333,0.009758789062499997,True,0.2674235756213031,0.05359842440092065,gep_continuation,True
0.24,1.25,0.2739251768720968,0.041754768188773966,0.010021144365305752,363,target_guided,0.28541666666666654,0.0362109375,0.008690624999999999,True,0.28177696555330056,0.049615260049715046,gep_continuation,True
0.18,1.3,0.29266354095753966,0.05378089428972834,0.0096805609721511,367,target_guided,0.2845833333333332,0.0568359375,0.01023046875,True,0.2607059471841938,0.06708913243430609,gep_continuation,True
0.195,1.3,0.2829853540048777,0.0499495969961777,0.009740171414254652,355,target_guided,0.29208333333333336,0.05024739583333335,0.009798242187500004,True,0.29266354095753966,0.05378089428972834,gep_continuation,True
0.21,1.3,0.296515816454772,0.05143257899882581,0.01080084158975342,354,target_guided,0.29875,0.04337239583333333,0.009108203124999999,True,0.2829853540048777,0.0499495969961777,gep_continuation,True
0.22499999999999998,1.3,0.31106859754329513,0.04435606880322276,0.009980115480725119,361,target_guided,0.3045833333333334,0.03678385416666667,0.0082763671875,True,0.296515816454772,0.05143257899882581,gep_continuation,True
0.24,1.3,0.30286863625673766,0.0409285391681085,0.009822849400346039,360,target_guided,0.3104166666666666,0.030195312500000005,0.007246875000000001,True,0.31106859754329513,0.04435606880322276,gep_continuation,True
