alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.18,1.1,241,0.14646065690881913,0.10594607417388326,0.019070293351298985,0.0287877272772433,0.0287877272772433,nearest_to_target,97,True,False,0.15874999999999995,0.09292968749999998,shooting_anchor,0.15874999999999995,0.09292968749999998,0.016727343749999995,True
0.18,1.1,301,0.1552843388418302,0.09827252630316503,0.017689054734569706,0.01123363312422437,0.01123363312422437,nearest_to_target,115,True,True,0.15874999999999995,0.09292968749999998,shooting_anchor,0.15874999999999995,0.09292968749999998,0.016727343749999995,True
0.19333333333333333,1.1,241,0.13977091094093538,0.09860961521524791,0.019064525608281264,0.02368135338358746,0.039491286026646755,nearest_to_target,91,True,False,0.1606706033050981,0.09304164078189903,blended_continuation,0.16874999999999998,0.08519531250000002,0.016471093750000006,True
0.19333333333333333,1.1,301,0.15149518461272882,0.08927877127528343,0.017260562446554797,0.011866973324127339,0.019089976331220688,nearest_to_target,108,True,True,0.1606706033050981,0.09304164078189903,blended_continuation,0.16874999999999998,0.08519531250000002,0.016471093750000006,True
0.20666666666666667,1.1,241,0.13136674039836524,0.09271978191480618,0.019162088262393278,0.034479397006568276,0.054966682645786615,nearest_to_target,93,True,False,0.1617304441009706,0.08455163776517005,blended_continuation,0.1770833333333333,0.07746093749999998,0.016008593749999994,True
0.20666666666666667,1.1,301,0.1432317115970229,0.08256532749469069,0.01706350101556941,0.01892048673303778,0.03535748128826256,nearest_to_target,109,True,False,0.1617304441009706,0.08455163776517005,blended_continuation,0.1770833333333333,0.07746093749999998,0.016008593749999994,True
0.20666666666666667,1.1,361,0.1801323098857117,0.0837887205257315,0.017316335575317844,0.018465016523592802,0.013017665309105813,nearest_to_target,122,True,True,0.1617304441009706,0.08455163776517005,blended_continuation,0.1770833333333333,0.07746093749999998,0.016008593749999994,True
0.22,1.1,241,0.17006560967383308,0.09739737743584165,0.021427423035885164,0.04025005826762478,0.05721416168317074,nearest_to_target,92,True,False,0.18191271926476033,0.0781638573154389,blended_continuation,0.1845833333333333,0.06972656249999999,0.015339843749999998,True
0.22,1.1,301,0.1735209702853073,0.08664540291475735,0.019061988641246617,0.018925324672179958,0.03560006348486529,nearest_to_target,108,True,False,0.18191271926476033,0.0781638573154389,blended_continuation,0.1845833333333333,0.06972656249999999,0.015339843749999998,True
0.22,1.1,361,0.17808322221586895,0.07957647228151489,0.017506823901933276,0.004758883463271112,0.020744501328190924,nearest_to_target,124,True,False,0.18191271926476033,0.0781638573154389,blended_continuation,0.1845833333333333,0.06972656249999999,0.015339843749999998,True
0.22,1.1,401,0.1876760878937271,0.07662058747521297,0.016856529244546854,0.006537824190995225,0.014130656467633696,nearest_to_target,139,True,True,0.18191271926476033,0.0781638573154389,blended_continuation,0.1845833333333333,0.06972656249999999,0.015339843749999998,True
