alpha,Mach,N,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success,accepted
0.24,1.2,241,0.2579166666666666,0.04337239583333333,0.28022732616151813,0.0946170831087971,0.022708099946111303,0.10488964402139767,nearest_to_target,97,True,False
0.24,1.2,301,0.2579166666666666,0.04337239583333333,0.2604444663801065,0.08329949701681309,0.019991879284035143,0.07989420133560753,nearest_to_target,115,True,False
0.24,1.2,361,0.2579166666666666,0.04337239583333333,0.24981325157814546,0.07447730996800746,0.01787455439232179,0.06273538132026198,nearest_to_target,126,True,False
