alpha,Mach,cr,ci,omega_i,n_finite_modes,selection_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,target_cr,target_ci,target_source,success
0.18,1.3,0.29266354095753966,0.05378089428972834,0.0096805609721511,367,target_guided,0.2845833333333332,0.0568359375,0.01023046875,True,0.2845833333333332,0.0568359375,shooting_anchor,True
0.195,1.3,0.2829853540048777,0.0499495969961777,0.009740171414254652,355,target_guided,0.29208333333333336,0.05024739583333335,0.009798242187500004,True,0.29266354095753966,0.05378089428972834,gep_continuation,True
0.21,1.3,0.296515816454772,0.05143257899882581,0.01080084158975342,354,target_guided,0.29875,0.04337239583333333,0.009108203124999999,True,0.2829853540048777,0.0499495969961777,gep_continuation,True
0.22499999999999998,1.3,0.31106859754329513,0.04435606880322276,0.009980115480725119,361,target_guided,0.3045833333333334,0.03678385416666667,0.0082763671875,True,0.296515816454772,0.05143257899882581,gep_continuation,True
0.24,1.3,0.30286863625673766,0.0409285391681085,0.009822849400346039,360,target_guided,0.3104166666666666,0.030195312500000005,0.007246875000000001,True,0.31106859754329513,0.04435606880322276,gep_continuation,True
0.18,1.35,0.298793042309196,0.048557400785852065,0.008740332141453372,373,target_guided,0.3095833333333334,0.049674479166666674,0.00894140625,True,0.29266354095753966,0.05378089428972834,gep_continuation,True
0.195,1.35,0.3125363728839194,0.051775585697751335,0.01009623921106151,357,target_guided,0.31625,0.04337239583333333,0.008457617187499999,True,0.298793042309196,0.048557400785852065,gep_continuation,True
0.21,1.35,0.3286450363512478,0.0472169324104022,0.009915555806184462,356,target_guided,0.3229166666666667,0.037070312499999994,0.007784765624999999,True,0.3125363728839194,0.051775585697751335,gep_continuation,True
0.22499999999999998,1.35,0.3397695694314172,0.040242875448407954,0.009054646975891789,367,target_guided,0.3279166666666666,0.030768229166666675,0.006922851562500001,True,0.3286450363512478,0.0472169324104022,gep_continuation,True
0.24,1.35,0.3319970317491616,0.04043090213192816,0.009703416511662758,367,target_guided,0.33374999999999994,0.024512065104166668,0.0058828956250000005,True,0.3397695694314172,0.040242875448407954,gep_continuation,True
0.18,1.4,0.33127642970541066,0.053197593971501346,0.009575566914870243,377,target_guided,0.3329166666666667,0.043085937500000004,0.00775546875,True,0.298793042309196,0.048557400785852065,gep_continuation,True
0.195,1.4,0.3471762855067208,0.04776576772857758,0.009314324707072628,357,target_guided,0.3395833333333333,0.03735677083333333,0.0072845703125,True,0.33127642970541066,0.053197593971501346,gep_continuation,True
0.21,1.4,0.358937588242876,0.04042617882895776,0.008489497554081129,362,target_guided,0.34541666666666665,0.03162760416666667,0.0066417968750000006,True,0.3471762855067208,0.04776576772857758,gep_continuation,True
0.22499999999999998,1.4,0.350619609242671,0.03912309302688836,0.008802695931049879,364,target_guided,0.35041666666666665,0.025488601562499994,0.005734935351562498,True,0.358937588242876,0.04042617882895776,gep_continuation,True
0.24,1.4,0.3496635479819659,0.04043847340760307,0.009705233617824736,369,target_guided,0.35541666666666666,0.0196293828125,0.0047110518749999995,True,0.350619609242671,0.03912309302688836,gep_continuation,True
0.18,1.45,0.36849014744580333,0.04493898536152454,0.008089017365074417,385,target_guided,0.3545833333333333,0.03735677083333333,0.006724218749999999,True,0.33127642970541066,0.053197593971501346,gep_continuation,True
0.195,1.45,0.37786741343655894,0.039184434127987125,0.007640964654957489,358,target_guided,0.36041666666666666,0.03191406250000001,0.006223242187500001,True,0.36849014744580333,0.04493898536152454,gep_continuation,True
0.21,1.45,0.3692914961879402,0.03847816847164612,0.008080415379045684,365,target_guided,0.36625,0.02646513802083333,0.005557678984374999,True,0.37786741343655894,0.039184434127987125,gep_continuation,True
0.22499999999999998,1.45,0.3798439564372998,0.03952111531037701,0.008892250944834826,359,target_guided,0.37125,0.020996533854166666,0.0047242201171875,True,0.3692914961879402,0.03847816847164612,gep_continuation,True
0.24,1.45,0.3790983540750439,0.037982323474085575,0.009115757633780537,369,target_guided,0.37625000000000003,0.015137315104166665,0.0036329556249999994,True,0.3798439564372998,0.03952111531037701,gep_continuation,True
0.18,1.5,0.3612683756538235,0.042804550982024625,0.007704819176764432,375,target_guided,0.3754166666666667,0.032486979166666666,0.0058476562499999996,True,0.36849014744580333,0.04493898536152454,gep_continuation,True
0.195,1.5,0.3742420932227388,0.044092574972778215,0.008598052119691751,366,target_guided,0.3812499999999999,0.027330729166666675,0.0053294921875000015,True,0.3612683756538235,0.042804550982024625,gep_continuation,True
0.21,1.5,0.3876373247053547,0.04138543155530193,0.008690940626613405,366,target_guided,0.38625000000000004,0.022174479166666674,0.0046566406250000015,True,0.3742420932227388,0.044092574972778215,gep_continuation,True
0.22499999999999998,1.5,0.39788413202519235,0.03777140326689792,0.008498565735052031,373,target_guided,0.39124999999999993,0.01689508072916666,0.0038013931640624985,True,0.3876373247053547,0.04138543155530193,gep_continuation,True
0.24,1.5,0.3900113280893558,0.036616638907629125,0.00878799333783099,375,target_guided,0.3954166666666666,0.0114264765625,0.0027423543749999996,True,0.39788413202519235,0.03777140326689792,gep_continuation,True
