alpha,Mach,N,mapping_kind,mapping_scale,cubic_delta,xi_max,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success
0.24,1.2,561,pin,3.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.2612730023427827,0.044093835528814955,0.010582520526915589,0.003653339582852405,nearest_to_target,179,True
0.24,1.2,561,pin,3.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.2518106059079632,0.041762413420904365,0.010022979221017048,0.006903053778024614,nearest_to_target,178,True
0.24,1.2,481,pin,3.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.2640051013105638,0.047128273703673,0.01131078568888152,0.0096693076650108,nearest_to_target,160,True
0.24,1.2,561,pin,5.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.25221898681861765,0.04854343467114039,0.011650424321073693,0.011807714694186148,nearest_to_target,186,True
0.24,1.2,481,pin,3.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.2475340828631736,0.04727217840912523,0.011345322818190055,0.012985810062924694,nearest_to_target,160,True
0.24,1.2,481,pin,3.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2497640160869738,0.03164855874908242,0.007595654099779781,0.024824567174208556,nearest_to_target,154,True
0.24,1.2,561,pin,5.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.25392758802156784,0.05715832303018201,0.013717997527243682,0.027858928607253215,nearest_to_target,188,True
0.24,1.2,561,pin,5.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.2470699775773831,0.05657805837384741,0.013578734009723379,0.02855186082789228,nearest_to_target,186,True
0.24,1.2,481,pin,5.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2526535397840941,0.05750796466028975,0.01380191151846954,0.02875687272337773,nearest_to_target,162,True
0.24,1.2,561,pin,3.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2543984224262926,0.02646622244833015,0.006351893387599236,0.03399489427296523,nearest_to_target,176,True
0.24,1.2,481,pin,5.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.2656630523019985,0.062462494950812616,0.014990998788195027,0.03895810605858568,nearest_to_target,165,True
0.24,1.2,481,pin,5.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.26296756725568077,0.0628123973042721,0.015074975353025303,0.03920671148566926,nearest_to_target,162,True
0.24,1.2,561,pin,8.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2497661946141172,0.06582032380316674,0.01579687771276002,0.04562968414568204,nearest_to_target,189,True
0.24,1.2,561,pin,8.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.24585959182324937,0.06669390269994703,0.016006536647987287,0.04817617444232995,nearest_to_target,196,True
0.24,1.2,561,pin,8.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.2653530146541138,0.06764214964879481,0.016234115915710754,0.04910583542149383,nearest_to_target,197,True
0.24,1.2,481,pin,8.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2403039122678375,0.07101437161123315,0.017043449186695956,0.058021758135526,nearest_to_target,166,True
0.24,1.2,481,pin,8.0,0.2,0.98,0.2579166666666666,0.04337239583333333,0.25562802900616755,0.07332212031234502,0.017597308874962803,0.0599431551373124,nearest_to_target,176,True
0.24,1.2,481,pin,8.0,0.2,0.99,0.2579166666666666,0.04337239583333333,0.25136838924056737,0.07357812738654151,0.017658750572769964,0.060765325736863024,nearest_to_target,175,True
0.24,1.2,561,cubic,5.0,0.4,0.95,0.2579166666666666,0.04337239583333333,0.25799257087125027,7.978835547460124e-14,1.91492053139043e-14,0.0867448248756892,nearest_to_target,142,True
0.24,1.2,481,cubic,3.0,0.1,0.98,0.2579166666666666,0.04337239583333333,0.2575231195001765,5.7177173901945235e-15,1.3722521736466856e-15,0.08674568439215675,nearest_to_target,123,True
0.24,1.2,481,cubic,3.0,0.4,0.98,0.2579166666666666,0.04337239583333333,0.25747828163016756,3.397071953390932e-14,8.152972688138236e-15,0.08674589940003988,nearest_to_target,123,True
0.24,1.2,561,cubic,5.0,0.4,0.98,0.2579166666666666,0.04337239583333333,0.25745474778220145,6.562179911035094e-14,1.5749231786484224e-14,0.08674602152448524,nearest_to_target,146,True
0.24,1.2,561,cubic,3.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.25841894963845496,1.0793996400437466e-13,2.5905591361049916e-14,0.08674624585213873,nearest_to_target,148,True
0.24,1.2,481,cubic,5.0,0.2,0.95,0.2579166666666666,0.04337239583333333,0.2584636335832533,6.878846869169606e-14,1.6509232486007056e-14,0.08674651609187181,nearest_to_target,126,True
0.24,1.2,561,cubic,8.0,0.4,0.99,0.2579166666666666,0.04337239583333333,0.2586220708490227,2.1753440404228285e-16,5.220825697014788e-17,0.0867476597745081,nearest_to_target,151,True
