alpha,Mach,cr,ci,omega_i,n_finite_modes,selection_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,success
0.18,1.1,0.1552843388418302,0.09827252630316503,0.017689054734569706,231,target_guided,0.15874999999999995,0.09292968749999998,0.016727343749999995,True,True
0.19333333333333333,1.1,0.15149518461272882,0.08927877127528343,0.017260562446554797,212,target_guided,0.16874999999999998,0.08519531250000002,0.016471093750000006,True,True
0.20666666666666667,1.1,0.1432317115970229,0.08256532749469069,0.01706350101556941,218,target_guided,0.1770833333333333,0.07746093749999998,0.016008593749999994,True,True
0.22,1.1,0.13470982264590303,0.07808416512566947,0.017178516327647286,216,target_guided,0.1845833333333333,0.06972656249999999,0.015339843749999998,True,True
0.18,1.1333333333333333,0.15191440809217285,0.08710152807194842,0.015678275052950715,230,target_guided,0.1845833333333333,0.08634114583333334,0.01554140625,True,True
0.19333333333333333,1.1333333333333333,0.21590534417576254,0.08928156674978024,0.017261102904957512,213,target_guided,0.19291666666666663,0.07889322916666665,0.015252690972222219,True,True
0.20666666666666667,1.1333333333333333,0.17500908264720558,0.0859460052453571,0.0177621744173738,213,target_guided,0.20124999999999998,0.07144531250000001,0.014765364583333336,True,True
0.22,1.1333333333333333,0.16645679608912767,0.08148376029554921,0.017926427265020826,220,target_guided,0.20791666666666664,0.06428385416666667,0.014142447916666667,True,True
0.18,1.1666666666666667,0.18591902527740994,0.0909553955257432,0.016371971194633773,226,target_guided,0.20791666666666664,0.0800390625,0.014407031249999999,True,True
0.19333333333333333,1.1666666666666667,0.1759484279313821,0.08537249694076292,0.016505349408547497,214,target_guided,0.2154166666666666,0.07287760416666665,0.014089670138888885,True,True
0.20666666666666667,1.1666666666666667,0.16593743674544367,0.08139828004187627,0.01682231120865443,216,target_guided,0.22291666666666665,0.06571614583333334,0.013581336805555556,True,True
0.22,1.1666666666666667,0.19957383198116652,0.08398724841404308,0.018477194651089476,214,target_guided,0.2295833333333333,0.05855468750000001,0.012882031250000002,True,True
0.18,1.2,0.2563014166890343,0.08926123225823336,0.016067021806482003,237,target_guided,0.22874999999999995,0.07373697916666667,0.01327265625,True,True
0.19333333333333333,1.2,0.29035934308977707,0.08378731443463053,0.016198880790695234,213,target_guided,0.23624999999999996,0.06686197916666668,0.012926649305555558,True,True
0.20666666666666667,1.2,0.20105777786518383,0.08388878615628238,0.01733701580563169,212,target_guided,0.24291666666666661,0.05998697916666666,0.012397309027777777,True,True
0.22,1.2,0.31473489831145124,0.08000075031323083,0.01760016506891078,219,target_guided,0.24958333333333324,0.05339843750000001,0.011747656250000002,True,True
